nodeId,X,Y
0,92,88
1,120,88
2,159,88
3,120,89
4,118,90
5,119,90
6,146,90
7,119,91
8,121,91
9,136,91
10,117,92
11,120,92
12,120,92
13,121,92
14,146,92
15,169,92
16,103,93
17,119,93
18,119,93
19,116,94
20,117,95
21,128,95
22,153,96
23,178,97
24,115,98
25,135,98
26,84,99
27,113,99
28,115,99
29,115,99
30,115,99
31,115,100
32,116,100
33,144,100
34,165,100
35,116,101
36,176,102
37,125,103
38,151,103
39,82,104
40,110,105
41,132,105
42,175,105
43,115,106
44,142,106
45,100,107
46,137,107
47,110,108
48,172,108
49,142,109
50,123,110
51,148,111
52,78,112
53,130,112
54,131,112
55,98,113
56,140,113
57,156,113
58,135,114
59,146,114
60,112,115
61,137,115
62,146,115
63,90,116
64,114,116
65,137,116
66,154,116
67,137,117
68,158,117
69,169,117
70,136,118
71,145,118
72,177,118
73,152,119
74,118,120
75,121,120
76,157,120
77,176,120
78,121,121
79,150,121
80,97,122
81,156,122
82,166,122
83,143,123
84,166,123
85,166,123
86,126,124
87,166,124
88,166,124
89,167,124
90,175,124
91,106,125
92,165,125
93,175,125
94,90,126
95,133,126
96,148,127
97,164,127
98,95,128
99,114,128
100,96,129
101,113,129
102,139,129
103,163,129
104,113,130
105,116,130
106,119,130
107,121,130
108,121,130
109,172,130
110,146,131
111,147,131
112,147,131
113,147,131
114,162,131
115,172,131
116,112,132
117,130,132
118,131,132
119,148,132
120,149,132
121,149,132
122,87,133
123,149,133
124,95,134
125,159,134
126,104,135
127,159,135
128,103,136
129,104,136
130,136,136
131,159,136
132,86,137
133,103,137
134,110,137
135,139,137
136,158,137
137,159,137
138,170,137
139,117,138
140,144,138
141,162,138
142,146,139
143,146,139
144,164,139
145,167,139
146,84,140
147,102,140
148,102,140
149,116,140
150,116,140
151,146,140
152,157,140
153,93,141
154,101,141
155,149,141
156,149,141
157,150,141
158,156,141
159,156,141
160,157,141
161,137,148
162,137,148
163,137,148
164,138,148
165,138,148
166,143,148
167,84,149
168,85,149
169,87,149
170,101,149
171,119,149
172,136,149
173,136,149
174,136,149
175,136,149
176,136,149
177,136,149
178,137,149
179,138,149
180,138,149
181,138,149
182,138,149
183,139,149
184,140,149
185,141,149
186,141,149
187,141,149
188,142,149
189,142,149
190,85,150
191,86,150
192,86,150
193,93,150
194,109,150
195,114,150
196,135,150
197,136,150
198,136,150
199,139,150
200,139,150
201,139,150
202,140,150
203,141,150
204,141,150
205,141,150
206,142,150
207,86,151
208,86,151
209,87,151
210,95,151
211,100,151
212,136,151
213,136,151
214,137,151
