nodeId,X,Y
0,162,101
1,166,101
2,171,102
3,180,102
4,184,102
5,165,106
6,171,106
7,161,107
8,181,107
9,159,108
10,165,108
11,87,109
12,89,109
13,84,110
14,92,110
15,171,110
16,82,112
17,119,112
18,131,112
19,132,112
20,152,112
21,179,112
22,121,113
23,122,113
24,81,114
25,123,114
26,124,114
27,125,114
28,127,114
29,128,114
30,130,114
31,132,114
32,133,114
33,172,114
34,174,114
35,79,115
36,130,115
37,178,116
38,130,117
39,131,117
40,132,117
41,133,117
42,134,117
43,173,117
44,178,117
45,129,118
46,173,118
47,178,118
48,135,119
49,174,119
50,176,119
51,128,120
52,128,120
53,174,120
54,175,120
55,175,120
56,176,120
57,74,121
58,127,121
59,174,121
60,115,122
61,173,122
62,72,123
63,115,123
64,172,123
65,97,124
66,171,124
67,171,124
68,170,125
69,169,126
70,169,126
71,126,127
72,169,127
73,168,128
74,91,129
75,92,129
76,125,129
77,125,129
78,126,129
79,126,129
80,168,129
81,93,130
82,94,130
83,167,130
84,95,131
85,96,131
86,97,131
87,97,131
88,125,131
