nodeId,X,Y
0,114,78
1,111,79
2,107,80
3,153,81
4,100,82
5,149,82
6,93,84
7,141,84
8,88,85
9,85,86
10,134,86
11,127,88
12,119,90
13,112,92
14,109,93
15,157,93
16,154,94
17,103,95
18,149,95
19,96,96
20,110,96
21,137,97
22,90,98
23,130,98
24,137,98
25,83,100
26,121,100
27,116,102
28,112,103
29,160,103
30,112,104
31,108,105
32,153,105
33,148,107
34,140,108
35,144,108
36,134,110
37,129,111
38,164,112
39,125,113
40,157,113
41,159,113
42,106,114
43,110,114
44,155,114
45,156,114
46,156,114
47,157,114
48,153,115
49,154,115
50,157,115
51,106,116
52,106,116
53,111,116
54,102,117
55,102,117
56,103,117
57,104,117
58,105,117
59,150,117
60,100,118
61,101,118
62,147,118
63,159,118
64,98,120
65,137,120
66,141,120
67,142,120
68,142,120
69,97,121
70,137,121
71,158,121
72,160,121
73,160,121
