nodeId,X,Y
0,65,111
1,65,111
2,124,111
3,126,111
4,127,111
5,128,111
6,130,111
7,64,112
8,64,112
9,119,112
10,120,112
11,122,112
12,133,112
13,137,112
14,63,113
15,63,113
16,118,113
17,140,113
18,141,113
19,63,114
20,72,114
21,72,114
22,142,114
23,112,115
24,144,115
25,63,116
26,63,116
27,63,117
28,63,117
29,148,117
30,65,118
31,71,118
32,71,118
33,72,118
34,72,118
35,109,118
36,67,119
37,71,119
38,75,119
39,108,119
40,109,119
41,146,119
42,151,119
43,78,120
44,83,120
45,104,120
46,137,120
47,151,120
48,87,121
49,103,121
50,104,121
51,139,121
52,151,121
53,151,121
54,151,121
55,90,122
56,92,122
57,102,122
58,103,122
59,139,122
60,149,122
61,98,123
62,99,123
63,99,123
64,139,123
65,97,124
66,98,124
67,140,124
68,151,124
69,154,124
70,96,125
71,97,125
72,140,125
73,154,125
74,124,126
75,124,126
76,140,126
77,154,126
78,155,126
79,155,126
80,120,127
81,122,127
82,123,127
83,124,127
84,140,127
85,154,127
86,161,127
87,91,128
88,125,128
89,140,128
90,153,128
91,153,128
92,163,128
93,89,129
94,89,129
95,89,129
96,90,129
97,127,129
98,128,129
99,139,129
100,153,129
101,164,129
102,88,130
103,88,130
104,129,130
105,131,130
106,139,130
107,152,130
108,84,131
109,88,131
110,88,131
111,129,131
112,132,131
113,133,131
114,134,131
115,135,131
116,137,131
117,138,131
118,138,131
119,152,131
120,152,131
121,152,131
122,84,132
123,84,132
124,84,132
125,88,132
126,88,132
127,151,132
128,151,132
129,151,132
130,151,132
131,151,132
132,152,132
133,152,132
134,84,133
135,84,133
136,88,133
137,88,133
138,152,133
139,153,133
140,153,133
141,153,133
142,153,133
143,153,133
144,84,134
145,88,134
146,88,134
147,153,134
148,153,134
149,84,135
150,87,135
151,87,135
152,87,135
153,88,135
154,88,135
155,89,135
156,89,135
157,154,135
158,82,136
159,83,136
160,84,136
161,85,136
162,86,136
163,90,136
