nodeId,X,Y
0,112,84
1,178,84
2,160,85
3,113,86
4,175,86
5,179,86
6,114,88
7,172,88
8,114,89
9,153,89
10,114,90
11,124,90
12,125,90
13,125,90
14,150,90
15,152,90
16,169,90
17,180,90
18,115,91
19,123,91
20,123,91
21,115,92
22,120,92
23,121,92
24,146,92
25,166,92
26,180,92
27,115,93
28,117,93
29,118,93
30,152,93
31,115,94
32,116,94
33,117,94
34,144,94
35,153,94
36,163,94
37,181,94
38,118,95
39,118,95
40,118,95
41,119,95
42,120,95
43,120,95
44,120,95
45,120,95
46,120,95
47,120,95
48,121,95
49,121,95
50,121,95
51,121,95
52,121,95
53,122,95
54,142,95
55,153,95
56,117,96
57,119,96
58,119,96
59,119,96
60,120,96
61,120,96
62,120,96
63,120,96
64,121,96
65,121,96
66,121,96
67,121,96
68,121,96
69,139,96
70,160,96
71,115,97
72,116,97
73,118,97
74,122,97
75,137,97
76,158,97
77,113,98
78,114,98
79,115,98
80,115,98
81,116,98
82,117,98
83,118,98
84,119,98
85,120,98
86,120,98
87,121,98
88,122,98
89,122,98
90,123,98
91,124,98
92,126,98
93,129,98
94,141,98
95,181,98
96,112,99
97,114,99
98,121,99
99,122,99
100,130,99
101,131,99
102,132,99
103,140,99
104,177,99
105,179,99
106,111,100
107,121,100
108,122,100
109,125,100
110,126,100
111,126,100
112,127,100
113,133,100
114,134,100
115,140,100
116,154,100
117,155,100
118,173,100
119,174,100
120,175,100
121,108,101
122,109,101
123,110,101
124,110,101
125,122,101
126,125,101
127,125,101
128,132,101
129,133,101
130,138,101
131,139,101
132,155,101
133,155,101
134,166,101
135,166,101
136,106,102
137,107,102
138,108,102
139,120,102
140,120,102
141,124,102
142,124,102
143,125,102
144,133,102
145,145,102
146,146,102
147,162,102
148,163,102
149,164,102
150,165,102
151,166,102
152,167,102
153,171,102
154,104,103
155,105,103
156,105,103
157,119,103
158,124,103
159,125,103
160,125,103
161,126,103
162,142,103
163,143,103
164,150,103
165,151,103
166,154,103
167,156,103
168,158,103
169,123,132
170,126,132
171,134,132
172,174,132
173,112,133
174,135,133
175,95,134
176,135,135
177,175,135
178,96,136
179,113,136
180,114,136
181,135,136
182,108,137
183,136,137
184,97,138
185,107,138
186,92,139
187,97,139
188,102,139
189,103,139
190,108,139
191,108,140
192,137,140
193,176,140
194,86,141
195,98,141
196,109,141
197,137,141
198,176,141
199,176,141
200,98,142
201,104,142
202,122,142
203,137,142
204,137,142
205,176,142
206,176,142
207,99,143
208,104,143
209,110,143
210,113,143
211,120,143
212,122,143
213,123,143
214,132,143
215,134,143
216,176,143
217,176,143
218,176,143
219,99,144
220,114,144
221,123,144
222,137,144
223,138,144
224,176,144
225,177,144
226,177,144
227,95,145
228,114,145
229,121,145
230,122,145
231,137,145
232,176,145
233,177,145
234,177,145
235,114,146
236,127,146
237,132,146
238,138,146
239,171,146
240,177,146
241,177,146
242,177,146
243,177,146
244,90,147
245,108,147
246,111,147
247,115,147
248,132,147
249,132,147
250,139,147
251,177,147
252,177,147
253,115,148
254,115,148
255,123,148
256,139,148
257,140,148
258,140,148
259,176,148
260,87,149
261,116,149
262,117,149
263,120,149
264,121,149
265,122,149
266,122,149
267,141,149
268,176,149
269,176,149
270,176,149
271,117,150
272,118,150
273,142,150
274,143,150
275,144,150
276,161,150
277,162,150
278,163,150
279,165,150
280,107,151
281,108,151
282,111,151
283,113,151
284,114,151
285,116,151
286,141,151
287,143,151
288,144,151
289,145,151
290,146,151
291,147,151
292,153,151
293,154,151
294,157,151
295,159,151
296,160,151
297,160,151
298,166,151
299,166,151
300,167,151
301,167,151
302,167,151
303,168,151
304,168,151
305,168,151
306,170,151
