nodeId,X,Y
0,146,68
1,119,73
2,121,73
3,147,75
4,121,85
5,123,94
6,143,94
7,150,94
8,137,95
9,109,96
10,124,97
11,150,97
12,101,98
13,124,100
14,125,101
15,126,103
16,127,104
17,119,105
18,121,106
19,128,106
20,152,106
21,109,107
22,121,107
23,129,108
24,129,108
25,103,109
26,121,109
27,141,109
28,153,109
29,124,110
30,141,110
31,141,110
32,111,111
33,121,111
34,122,111
35,120,112
36,122,112
37,155,112
38,117,113
39,122,113
40,131,113
41,142,113
42,111,114
43,112,114
44,115,114
45,111,115
46,123,115
47,130,115
48,143,115
49,160,115
50,111,116
51,131,116
52,111,118
53,144,118
54,162,118
55,112,119
56,112,120
57,133,122
58,112,123
59,114,123
60,134,123
61,145,123
62,164,123
63,121,124
64,135,124
65,160,124
66,113,125
67,124,125
68,155,125
69,113,126
70,125,126
71,151,127
72,128,128
73,149,128
74,114,129
75,129,130
76,145,130
77,115,131
78,128,131
79,127,132
80,143,132
81,126,133
82,139,133
83,125,134
84,136,134
85,116,135
