nodeId,X,Y
0,109,62
1,161,64
2,159,67
3,157,68
4,107,70
5,152,70
6,155,70
7,124,71
8,132,71
9,139,71
10,144,71
11,104,78
12,139,79
13,139,83
14,102,86
15,140,91
16,157,93
17,100,97
18,140,97
19,156,99
20,109,100
21,139,101
22,140,101
23,156,101
24,140,102
25,141,102
26,142,102
27,147,102
28,148,102
29,151,102
30,152,102
31,153,102
32,154,102
33,154,102
34,154,102
35,154,102
36,155,102
37,155,102
38,155,102
39,155,102
40,155,102
41,155,102
42,156,102
43,156,102
44,156,102
45,156,102
46,156,102
47,111,103
48,111,103
49,139,103
50,139,103
51,140,103
52,140,103
53,140,103
54,141,103
55,141,103
56,142,103
57,142,103
58,142,103
59,143,103
60,143,103
61,144,103
62,144,103
63,144,103
64,145,103
65,156,103
66,156,103
67,138,104
68,139,104
69,140,104
70,140,104
71,141,104
72,141,104
73,142,104
74,142,104
75,142,104
76,143,104
77,143,104
78,143,104
79,143,104
80,145,104
81,145,104
82,146,104
83,147,104
84,148,104
85,149,104
86,150,104
87,150,104
88,151,104
89,152,104
90,153,104
91,155,104
92,156,104
93,111,105
94,137,105
95,137,105
96,137,105
97,146,105
98,147,105
99,147,105
100,147,105
101,148,105
