nodeId,X,Y
0,143,83
1,135,84
2,143,86
3,128,87
4,123,89
5,117,91
6,112,93
7,148,95
8,107,96
9,121,97
10,150,97
11,102,98
12,130,100
13,119,101
14,131,101
15,132,101
16,152,101
17,97,102
18,112,102
19,122,102
20,95,103
21,109,103
22,120,103
23,121,103
24,122,103
25,134,103
26,114,104
27,113,105
28,140,105
29,107,106
30,113,106
31,102,107
32,135,107
33,156,107
34,130,109
35,123,111
36,99,112
37,144,112
38,156,112
39,117,113
40,144,113
41,112,115
42,157,115
43,125,116
44,95,117
45,118,117
46,137,117
47,158,117
48,112,118
49,158,118
50,108,119
51,159,119
52,159,119
53,107,120
54,152,120
55,158,120
56,121,121
57,157,121
58,157,121
59,158,121
60,158,121
61,97,122
62,158,122
63,158,122
64,147,123
