nodeId,X,Y
0,83,103
1,81,104
2,80,105
3,119,105
4,130,110
5,77,111
6,79,111
7,126,111
8,127,111
9,77,112
10,79,112
11,80,112
12,81,112
13,83,112
14,84,112
15,128,112
16,127,113
17,78,115
18,98,117
19,124,117
20,141,117
21,142,117
22,144,117
23,144,117
24,143,118
25,143,118
26,77,119
27,143,119
28,77,120
29,139,120
30,140,120
31,140,120
32,141,120
33,142,120
34,143,120
35,143,120
36,143,120
37,143,120
38,144,120
39,144,120
40,145,120
41,145,120
42,145,120
43,146,120
44,146,120
45,77,121
46,78,121
47,121,121
