nodeId,X,Y
0,102,85
1,137,85
2,99,86
3,102,86
4,135,86
5,138,86
6,96,87
7,97,87
8,103,87
9,139,87
10,93,88
11,94,88
12,130,88
13,93,89
14,104,89
15,128,89
16,130,89
17,140,89
18,170,90
19,105,92
20,106,92
21,132,92
22,118,93
23,117,94
24,114,95
25,117,95
26,174,95
27,96,96
28,152,97
29,153,97
30,97,98
31,108,98
32,119,98
33,153,98
34,154,98
35,155,98
36,109,99
37,121,99
38,158,99
39,165,99
40,98,100
41,110,100
42,110,100
43,111,100
44,122,100
45,158,100
46,104,101
47,137,101
48,101,102
49,172,102
50,100,103
51,125,103
52,100,104
53,112,104
54,113,104
55,119,104
56,126,104
57,169,104
58,170,104
59,100,105
60,111,105
61,116,105
62,118,105
63,120,105
64,127,105
65,146,105
66,162,105
67,100,106
68,121,106
69,128,106
70,129,106
71,159,106
72,160,106
73,163,106
74,164,106
75,111,107
76,119,107
77,122,107
78,128,107
79,142,107
80,163,107
81,163,108
82,164,108
83,112,109
84,113,109
85,124,109
86,125,109
87,101,110
88,112,110
89,126,110
90,131,110
91,112,111
92,113,111
93,114,111
94,120,111
95,165,111
96,102,112
97,112,112
98,113,112
99,114,112
100,129,112
101,151,112
102,165,112
103,166,112
104,91,113
105,91,113
106,92,113
107,102,113
108,102,113
109,102,113
110,112,113
111,112,113
112,122,113
113,127,113
114,128,113
115,128,113
116,128,113
117,133,113
118,165,113
119,166,113
120,166,113
121,102,114
122,103,114
123,103,114
124,111,114
125,112,114
126,112,114
127,123,114
128,123,114
129,124,114
130,125,114
131,126,114
132,126,114
133,127,114
134,128,114
135,128,114
136,128,114
137,129,114
138,166,114
139,166,114
140,92,115
141,92,115
142,93,115
143,101,115
144,101,115
145,101,115
146,101,115
147,103,115
148,103,115
149,103,115
150,104,115
151,104,115
152,104,115
153,109,115
154,110,115
155,111,115
156,111,115
157,111,115
158,123,115
159,124,115
160,125,115
161,90,138
162,135,138
163,152,138
164,183,138
165,102,139
166,117,139
167,117,139
168,119,139
169,134,139
170,86,140
171,91,140
172,120,140
173,179,140
174,91,141
175,91,141
176,113,141
177,128,141
178,139,141
179,141,141
180,178,141
181,179,141
182,91,142
183,112,142
184,122,142
185,122,142
186,123,142
187,124,142
188,124,142
189,125,142
190,126,142
191,127,142
192,137,142
193,141,142
194,172,142
195,174,142
196,175,142
197,105,143
198,112,143
199,113,143
200,119,143
201,123,143
202,124,143
203,124,143
204,125,143
205,126,143
206,126,143
207,139,143
208,140,143
209,141,143
210,146,143
211,162,143
212,163,143
213,163,143
214,164,143
215,166,143
216,169,143
217,170,143
218,173,143
219,93,144
220,101,144
221,106,144
222,112,144
223,112,144
224,114,144
225,116,144
226,126,144
227,132,144
228,133,144
229,134,144
230,136,144
231,142,144
232,143,144
233,145,144
234,146,144
235,148,144
236,151,144
237,151,144
238,153,144
239,156,144
240,157,144
241,158,144
242,159,144
243,160,144
244,161,144
245,162,144
246,165,144
