osmid,highway,oneway,reversed,length,ref,geometry,maxspeed
315306528,residential,False,False,195.68,,"LINESTRING (0.2513606 35.7510794, 0.2534413 35.750584)",
379844995,secondary,False,True,116.314,CW 6,"LINESTRING (0.2513606 35.7510794, 0.2516752 35.7520938)",
379844995,secondary,False,False,120.823,CW 6,"LINESTRING (0.2520703 35.753132, 0.2516752 35.7520938)",
315306528,residential,False,True,312.716,,"LINESTRING (0.2520703 35.753132, 0.2541244 35.7526045, 0.2541458 35.7525659, 0.2537852 35.7515872)",
315306529,primary,False,False,198.566,RN 23,"LINESTRING (0.2516752 35.7520938, 0.2537852 35.7515872)",50
379844995,secondary,False,False,116.314,CW 6,"LINESTRING (0.2516752 35.7520938, 0.2513606 35.7510794)",
379844995,secondary,False,True,120.823,CW 6,"LINESTRING (0.2516752 35.7520938, 0.2520703 35.753132)",
315306528,residential,False,True,115.787,,"LINESTRING (0.2537852 35.7515872, 0.2534413 35.750584)",
315306529,primary,False,True,198.566,RN 23,"LINESTRING (0.2537852 35.7515872, 0.2516752 35.7520938)",50
315306528,residential,False,False,312.716,,"LINESTRING (0.2537852 35.7515872, 0.2541458 35.7525659, 0.2541244 35.7526045, 0.2520703 35.753132)",
315306529,primary,False,False,105.826,RN 23,"LINESTRING (0.2537852 35.7515872, 0.2545622 35.751406, 0.2549078 35.7513126)",50
315306528,residential,False,False,115.787,,"LINESTRING (0.2534413 35.750584, 0.2537852 35.7515872)",
315306528,residential,False,True,195.68,,"LINESTRING (0.2534413 35.750584, 0.2513606 35.7510794)",
315308874,residential,False,True,86.62800000000001,,"LINESTRING (0.2534413 35.750584, 0.2534402 35.7501723, 0.2535019 35.7501129, 0.2538454 35.7500342)",
315306529,primary,False,True,100.575,RN 23,"LINESTRING (0.2576823 35.7505585, 0.2566256 35.750846)",50
315308873,residential,False,False,113.448,,"LINESTRING (0.2576823 35.7505585, 0.2572072 35.7496139)",
315308873,residential,False,True,113.448,,"LINESTRING (0.2572072 35.7496139, 0.2576823 35.7505585)",
674000140,residential,False,False,60.333,,"LINESTRING (0.2572072 35.7496139, 0.256979 35.7491039)",
315308873,residential,False,False,92.213,,"LINESTRING (0.2572072 35.7496139, 0.2573486 35.7495559, 0.2580461 35.7493278, 0.2581346 35.7492729)",
315308873,residential,False,False,71.14099999999999,,"LINESTRING (0.2581346 35.7492729, 0.2581398 35.749201, 0.2579264 35.7486603)",
315308873,residential,False,True,92.213,,"LINESTRING (0.2581346 35.7492729, 0.2580461 35.7493278, 0.2573486 35.7495559, 0.2572072 35.7496139)",
315319862,residential,False,False,72.687,,"LINESTRING (0.2581346 35.7492729, 0.258263 35.749337, 0.2586676 35.7494147, 0.2588807 35.7495024)",
315308874,residential,False,True,73.864,,"LINESTRING (0.2579264 35.7486603, 0.2587125 35.7484753)",
315319856,residential,False,False,39.151,,"LINESTRING (0.2579264 35.7486603, 0.2578114 35.7483208)",
315308873,residential,False,True,71.14099999999999,,"LINESTRING (0.2579264 35.7486603, 0.2581398 35.749201, 0.2581346 35.7492729)",
315308874,residential,False,False,101.108,,"LINESTRING (0.2579264 35.7486603, 0.2574319 35.7487785, 0.256979 35.7491039)",
315308874,residential,False,False,106.63,,"LINESTRING (0.2598473 35.7482082, 0.2587125 35.7484753)",
315319861,residential,False,True,26.796,,"LINESTRING (0.2598473 35.7482082, 0.259767 35.7479762)",
385924298,residential,False,False,177.558,,"LINESTRING (0.2598473 35.7482082, 0.2599879 35.7483261, 0.2602299 35.7488311, 0.260276 35.7490088, 0.2603682 35.7490907, 0.2604633 35.7491, 0.2610791 35.7489542)",
674000140,residential,False,True,60.333,,"LINESTRING (0.256979 35.7491039, 0.2572072 35.7496139)",
315308874,residential,False,False,101.327,,"LINESTRING (0.256979 35.7491039, 0.2568558 35.7491649, 0.2558997 35.7493338)",
315308874,residential,False,True,101.108,,"LINESTRING (0.256979 35.7491039, 0.2574319 35.7487785, 0.2579264 35.7486603)",
315308874,residential,False,False,22.599,,"LINESTRING (0.2558997 35.7493338, 0.2559421 35.7495341)",
315308874,residential,False,True,101.327,,"LINESTRING (0.2558997 35.7493338, 0.2568558 35.7491649, 0.256979 35.7491039)",
315319855,residential,False,True,139.821,,"LINESTRING (0.2558997 35.7493338, 0.2556611 35.7485386, 0.2551441 35.7486677)",
315308874,residential,False,False,50.744,,"LINESTRING (0.2559421 35.7495341, 0.2554078 35.7496763)",
315308874,residential,False,True,22.599,,"LINESTRING (0.2559421 35.7495341, 0.2558997 35.7493338)",
315308876,residential,False,False,64.308,,"LINESTRING (0.2559421 35.7495341, 0.2559988 35.7495775, 0.2562186 35.7500607)",
315308874,residential,False,False,87.309,,"LINESTRING (0.2554078 35.7496763, 0.2544767 35.7498896)",
315308874,residential,False,True,50.744,,"LINESTRING (0.2554078 35.7496763, 0.2559421 35.7495341)",
315308875,residential,False,True,62.954,,"LINESTRING (0.2554078 35.7496763, 0.255584 35.7502241)",
315319850,residential,False,False,91.29,,"LINESTRING (0.2554078 35.7496763, 0.2551995 35.7488729)",
315306529,primary,False,False,73.656,RN 23,"LINESTRING (0.2558517 35.7510565, 0.2566256 35.750846)",50
315308875,residential,False,False,95.659,,"LINESTRING (0.2558517 35.7510565, 0.255584 35.7502241)",
315306529,primary,False,True,89.814,RN 23,"LINESTRING (0.2558517 35.7510565, 0.2553721 35.751187, 0.2549078 35.7513126)",50
315308876,residential,False,False,94.731,,"LINESTRING (0.2562186 35.7500607, 0.2566256 35.750846)",
315308877,residential,False,False,60.081,,"LINESTRING (0.2562186 35.7500607, 0.255584 35.7502241)",
315308876,residential,False,True,64.308,,"LINESTRING (0.2562186 35.7500607, 0.2559988 35.7495775, 0.2559421 35.7495341)",
315306529,primary,False,False,100.575,RN 23,"LINESTRING (0.2566256 35.750846, 0.2576823 35.7505585)",50
315306529,primary,False,True,73.656,RN 23,"LINESTRING (0.2566256 35.750846, 0.2558517 35.7510565)",50
315308876,residential,False,True,94.731,,"LINESTRING (0.2566256 35.750846, 0.2562186 35.7500607)",
315319869,tertiary,False,False,46.18,,"LINESTRING (0.2566256 35.750846, 0.2568169 35.7512312)",
315308875,residential,False,False,62.954,,"LINESTRING (0.255584 35.7502241, 0.2554078 35.7496763)",
315308875,residential,False,True,95.659,,"LINESTRING (0.255584 35.7502241, 0.2558517 35.7510565)",
315308877,residential,False,False,85.445,,"LINESTRING (0.255584 35.7502241, 0.254671 35.7504277)",
315308877,residential,False,True,60.081,,"LINESTRING (0.255584 35.7502241, 0.2562186 35.7500607)",
315308877,residential,False,False,62.35,,"LINESTRING (0.254671 35.7504277, 0.2544767 35.7498896)",
315308877,residential,False,True,85.445,,"LINESTRING (0.254671 35.7504277, 0.255584 35.7502241)",
315325884,residential,False,False,102.068,,"LINESTRING (0.254671 35.7504277, 0.2546391 35.7505257, 0.2549078 35.7513126)",
315308874,residential,False,False,48.187,,"LINESTRING (0.2544767 35.7498896, 0.2539628 35.7500073)",
315308874,residential,False,True,87.309,,"LINESTRING (0.2544767 35.7498896, 0.2554078 35.7496763)",
315308877,residential,False,True,62.35,,"LINESTRING (0.2544767 35.7498896, 0.254671 35.7504277)",
315319849,residential,False,True,170.168,,"LINESTRING (0.2544767 35.7498896, 0.2540534 35.7483983)",
315308874,residential,False,True,11.009,,"LINESTRING (0.2538454 35.7500342, 0.2539628 35.7500073)",
315308878,residential,True,False,172.136,,"LINESTRING (0.2538454 35.7500342, 0.2534127 35.7485265)",
315308874,residential,False,False,86.62800000000001,,"LINESTRING (0.2538454 35.7500342, 0.2535019 35.7501129, 0.2534402 35.7501723, 0.2534413 35.750584)",
315308878,residential,True,False,40.537,,"LINESTRING (0.2531115 35.7474146, 0.253017 35.7470582)",
315319853,residential,False,True,11.316,,"LINESTRING (0.2531115 35.7474146, 0.2532325 35.7474413)",
315308880,residential,True,False,121.063,,"LINESTRING (0.2532325 35.7474413, 0.2535318 35.7485026)",
315319853,residential,False,False,11.316,,"LINESTRING (0.2532325 35.7474413, 0.2531115 35.7474146)",
315319853,residential,False,True,48.13,,"LINESTRING (0.2532325 35.7474413, 0.2537502 35.7473373)",
315308880,residential,True,False,171.777,,"LINESTRING (0.2535318 35.7485026, 0.2539628 35.7500073)",
315319850,residential,False,False,11.072,,"LINESTRING (0.2535318 35.7485026, 0.2534127 35.7485265)",
315319850,residential,False,True,48.479,,"LINESTRING (0.2535318 35.7485026, 0.2540534 35.7483983)",
315308874,residential,False,False,11.009,,"LINESTRING (0.2539628 35.7500073, 0.2538454 35.7500342)",
315308874,residential,False,True,48.187,,"LINESTRING (0.2539628 35.7500073, 0.2544767 35.7498896)",
315319849,residential,False,False,45.286,,"LINESTRING (0.2536377 35.7469404, 0.2537502 35.7473373)",
315319852,residential,False,False,47.705,,"LINESTRING (0.2536377 35.7469404, 0.2531235 35.7470399)",
315319852,residential,False,True,39.509,,"LINESTRING (0.2536377 35.7469404, 0.2540663 35.746868)",
315319849,residential,False,False,170.168,,"LINESTRING (0.2540534 35.7483983, 0.2544767 35.7498896)",
315319849,residential,False,True,121.109,,"LINESTRING (0.2540534 35.7483983, 0.2537502 35.7473373)",
315319850,residential,False,False,48.479,,"LINESTRING (0.2540534 35.7483983, 0.2535318 35.7485026)",
315319850,residential,False,True,52.662,,"LINESTRING (0.2540534 35.7483983, 0.25462 35.748285)",
315319850,residential,False,False,23.359,,"LINESTRING (0.2551995 35.7488729, 0.2551441 35.7486677)",
315319850,residential,False,True,91.29,,"LINESTRING (0.2551995 35.7488729, 0.2554078 35.7496763)",
315319852,residential,False,False,113.564,,"LINESTRING (0.2551995 35.7488729, 0.2547986 35.7489552, 0.25462 35.748285)",
315319850,residential,False,False,52.662,,"LINESTRING (0.25462 35.748285, 0.2540534 35.7483983)",
315319850,residential,False,True,66.983,,"LINESTRING (0.25462 35.748285, 0.2551101 35.7485417, 0.2551441 35.7486677)",
315319852,residential,False,False,120.824,,"LINESTRING (0.25462 35.748285, 0.2545041 35.7479911, 0.2542707 35.7472365)",
315319852,residential,False,True,113.564,,"LINESTRING (0.25462 35.748285, 0.2547986 35.7489552, 0.2551995 35.7488729)",
315319850,residential,False,True,29.844,,"LINESTRING (0.2530916 35.7485907, 0.2534127 35.7485265)",
315308880,residential,True,False,45.705,,"LINESTRING (0.2531235 35.7470399, 0.2532325 35.7474413)",
315319852,residential,False,False,9.824,,"LINESTRING (0.2531235 35.7470399, 0.253017 35.7470582)",
315319852,residential,False,True,47.705,,"LINESTRING (0.2531235 35.7470399, 0.2536377 35.7469404)",
315319852,residential,False,True,9.824,,"LINESTRING (0.253017 35.7470582, 0.2531235 35.7470399)",
315319853,residential,False,False,48.292,,"LINESTRING (0.2542707 35.7472365, 0.2537502 35.7473373)",
315319852,residential,False,False,49.84199999999999,,"LINESTRING (0.2542707 35.7472365, 0.2541888 35.74692, 0.2541662 35.7468879, 0.2541134 35.7468634, 0.2540663 35.746868)",
315319852,residential,False,True,120.824,,"LINESTRING (0.2542707 35.7472365, 0.2545041 35.7479911, 0.25462 35.748285)",
315319850,residential,False,True,23.359,,"LINESTRING (0.2551441 35.7486677, 0.2551995 35.7488729)",
