osmid,ref,highway,oneway,reversed,length,geometry
244335543,CW 15,secondary,False,False,52.211999999999996,"LINESTRING (3.6322164 36.389625, 3.632038 36.3895962, 3.6318717 36.3895962, 3.6317376 36.3896394, 3.6316794 36.3896953)"
244335543,CW 15,secondary,False,True,125.006,"LINESTRING (3.6322164 36.389625, 3.6332333 36.3902081, 3.6333154 36.3902141, 3.6333784 36.3901994)"
256382086,,unclassified,False,True,33.936,"LINESTRING (3.6322164 36.389625, 3.6322109 36.3894282, 3.6322216 36.3893202)"
244335543,CW 15,secondary,False,True,278.43,"LINESTRING (3.629444 36.3905999, 3.6295178 36.3905854, 3.6298764 36.390581, 3.6300802 36.3906069, 3.6306091 36.3908061, 3.6307561 36.3908309, 3.6308587 36.3908066, 3.6309291 36.3907737, 3.6310617 36.3906585, 3.631287 36.3903476, 3.631401 36.3901518, 3.6315981 36.3897733, 3.6316794 36.3896953)"
244335543,CW 15,secondary,False,False,125.006,"LINESTRING (3.6333784 36.3901994, 3.6333154 36.3902141, 3.6332333 36.3902081, 3.6322164 36.389625)"
244335543,CW 15,secondary,False,True,28.490000000000002,"LINESTRING (3.6333784 36.3901994, 3.633447 36.3901588, 3.6335755 36.3900022)"
256382081,,residential,False,True,121.747,"LINESTRING (3.6333784 36.3901994, 3.632986 36.3908273, 3.6327115 36.3911511)"
244335543,CW 15,secondary,False,False,278.43,"LINESTRING (3.6316794 36.3896953, 3.6315981 36.3897733, 3.631401 36.3901518, 3.631287 36.3903476, 3.6310617 36.3906585, 3.6309291 36.3907737, 3.6308587 36.3908066, 3.6307561 36.3908309, 3.6306091 36.3908061, 3.6300802 36.3906069, 3.6298764 36.390581, 3.6295178 36.3905854, 3.629444 36.3905999)"
244335543,CW 15,secondary,False,True,52.211999999999996,"LINESTRING (3.6316794 36.3896953, 3.6317376 36.3896394, 3.6318717 36.3895962, 3.632038 36.3895962, 3.6322164 36.389625)"
256382081,,residential,False,False,218.904,"LINESTRING (3.6316794 36.3896953, 3.6317306 36.3900565, 3.6317432 36.390214, 3.6317432 36.3903651, 3.6316869 36.3906005, 3.6315421 36.3910582, 3.6315072 36.3911964, 3.6315215 36.3912915, 3.6315662 36.3913735, 3.6316628 36.3914771, 3.6317781 36.3915656)"
256382066,,residential,False,False,202.09300000000002,"LINESTRING (3.6334035 36.3893136, 3.6342681 36.3883226, 3.6346703 36.3878098)"
256382066,,residential,False,True,202.09300000000002,"LINESTRING (3.6346703 36.3878098, 3.6342681 36.3883226, 3.6334035 36.3893136)"
