osmid,highway,oneway,reversed,length,geometry
261061533,tertiary,False,False,106.25099999999999,"LINESTRING (4.6991191 36.666528, 4.6988938 36.6665564, 4.6987745 36.6665882, 4.6986243 36.666652, 4.6984697 36.6666981, 4.6982311 36.6667265, 4.6980676 36.6667229, 4.6979748 36.6666981)"
261061536,residential,False,False,259.47499999999997,"LINESTRING (4.6991191 36.666528, 4.6991979 36.6665621, 4.699265 36.6665965, 4.6993026 36.6666589, 4.6993374 36.6667385, 4.6993133 36.6668095, 4.6992355 36.6669236, 4.6992087 36.6670096, 4.6992382 36.6670935, 4.699324 36.6671559, 4.6995252 36.6672699, 4.6996459 36.6673624, 4.699729 36.6674162, 4.6998497 36.6674507, 4.6999919 36.6674722, 4.7001367 36.6675539, 4.7002521 36.6676249, 4.7003057 36.667711, 4.700354 36.6678078, 4.7004371 36.6678831, 4.7006356 36.6680488, 4.7007054 36.6680961, 4.700782 36.6681355)"
261061533,tertiary,False,False,14.592,"LINESTRING (4.6979748 36.6666981, 4.6978189 36.6666583)"
261061533,tertiary,False,True,106.25099999999999,"LINESTRING (4.6979748 36.6666981, 4.6980676 36.6667229, 4.6982311 36.6667265, 4.6984697 36.6666981, 4.6986243 36.666652, 4.6987745 36.6665882, 4.6988938 36.6665564, 4.6991191 36.666528)"
306410764,residential,False,False,244.176,"LINESTRING (4.6979748 36.6666981, 4.6981786 36.6666592, 4.698455 36.6666315, 4.698534 36.6665998, 4.6986673 36.666489, 4.698845 36.6662752, 4.698998 36.6660851, 4.6992251 36.6657961, 4.6994571 36.6655664, 4.6996546 36.6653605, 4.6997483 36.6652892, 4.6998076 36.6652061)"
261061533,tertiary,False,True,14.592,"LINESTRING (4.6978189 36.6666583, 4.6979748 36.6666981)"
306410763,residential,False,False,138.44000000000003,"LINESTRING (4.6978189 36.6666583, 4.6975715 36.666778, 4.6972111 36.666881, 4.6969544 36.6669206, 4.6967224 36.6669324, 4.6965398 36.6669443, 4.6963423 36.6669047)"
261061536,residential,False,True,259.475,"LINESTRING (4.700782 36.6681355, 4.7007054 36.6680961, 4.7006356 36.6680488, 4.7004371 36.6678831, 4.700354 36.6678078, 4.7003057 36.667711, 4.7002521 36.6676249, 4.7001367 36.6675539, 4.6999919 36.6674722, 4.6998497 36.6674507, 4.699729 36.6674162, 4.6996459 36.6673624, 4.6995252 36.6672699, 4.699324 36.6671559, 4.6992382 36.6670935, 4.6992087 36.6670096, 4.6992355 36.6669236, 4.6993133 36.6668095, 4.6993374 36.6667385, 4.6993026 36.6666589, 4.699265 36.6665965, 4.6991979 36.6665621, 4.6991191 36.666528)"
261061537,residential,False,False,170.109,"LINESTRING (4.700782 36.6681355, 4.7009012 36.6681821, 4.7010192 36.6682359, 4.7011506 36.6683392, 4.7012445 36.6684747, 4.7013035 36.6686253, 4.7013598 36.6688039, 4.701451 36.6689287, 4.7015985 36.6690943, 4.701746 36.6692708, 4.7018185 36.6693633)"
261061538,residential,False,False,210.615,"LINESTRING (4.700782 36.6681355, 4.7007161 36.6681563, 4.7006233 36.6681746, 4.7005126 36.6681851, 4.7003969 36.6681877, 4.7002895 36.6681864, 4.7002032 36.6681864, 4.7001136 36.6681681, 4.6999817 36.6681563, 4.6998238 36.6681537, 4.6997148 36.6681178, 4.6995552 36.6680616, 4.6994412 36.6680381, 4.6993517 36.6680172, 4.6992914 36.6679885, 4.6992426 36.6679219, 4.699153 36.667867, 4.6990228 36.6678383, 4.6989446 36.6678448, 4.6987752 36.6678958, 4.6985733 36.6679532)"
"[261061537, 848673675]",residential,False,"[False, True]",202.50600000000006,"LINESTRING (4.7018185 36.6693633, 4.7018426 36.6695031, 4.7019097 36.6696537, 4.701974 36.669757, 4.7021081 36.6699054, 4.7021055 36.6699335, 4.7020827 36.6699496, 4.7017957 36.6700045, 4.7016187 36.6700518, 4.7015993 36.6700631, 4.7015925 36.6700798, 4.7015993 36.6700905, 4.7016288 36.6700938, 4.7017186 36.6701008, 4.7017595 36.6701148, 4.7018205 36.6701664, 4.7020023 36.6704423, 4.7020237 36.6704713, 4.702068 36.6705047, 4.7022182 36.6705682)"
261061537,residential,False,True,170.10899999999998,"LINESTRING (4.7018185 36.6693633, 4.701746 36.6692708, 4.7015985 36.6690943, 4.701451 36.6689287, 4.7013598 36.6688039, 4.7013035 36.6686253, 4.7012445 36.6684747, 4.7011506 36.6683392, 4.7010192 36.6682359, 4.7009012 36.6681821, 4.700782 36.6681355)"
