osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width
121035142,True,1,Thames,residential,40,False,143.463,"LINESTRING (-58.443505 -34.5954785, -58.4446305 -34.5963764)",
1268297566,True,5,Avenida Corrientes,primary,50,False,128.153,"LINESTRING (-58.443505 -34.5954785, -58.4425776 -34.5963419)",
533680272,True,2,Serrano,residential,20,False,172.385,"LINESTRING (-58.4425776 -34.5963419, -58.4410382 -34.5954488)",
121176042,True,5,Avenida Corrientes,primary,50,False,129.733,"LINESTRING (-58.4425776 -34.5963419, -58.4420886 -34.5967996, -58.4419346 -34.5969438, -58.4418018 -34.5970642, -58.4416394 -34.5972164)",
17495425,True,,Luis María Drago,residential,40,False,14.389,"LINESTRING (-58.4387269 -34.5998512, -58.4386987 -34.5999785)",
1059434015,True,5,Avenida Corrientes,primary,50,False,113.169,"LINESTRING (-58.4387269 -34.5998512, -58.4375896 -34.6002505)",
1268297563,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,False,10.281,"LINESTRING (-58.4387269 -34.5998512, -58.4388171 -34.5999063)",
121176037,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,True,132.818,"LINESTRING (-58.4387269 -34.5998512, -58.4385893 -34.5997626, -58.4385027 -34.599707, -58.4383103 -34.5995831, -58.4375885 -34.5991105)",
1059434014,True,2,Aráoz,residential,40,False,58.898,"LINESTRING (-58.4381045 -34.6005682, -58.4375896 -34.6002505)",
1059434013,True,,Luis María Drago,residential,40,False,119.713,"LINESTRING (-58.4381045 -34.6005682, -58.4373883 -34.6012886, -58.4372762 -34.6014014)",
533676066,True,,Julián Álvarez,residential,20,False,141.583,"LINESTRING (-58.4372762 -34.6014014, -58.4384931 -34.6021875)",
720090024,True,,Luis María Drago,residential,40,False,116.986,"LINESTRING (-58.4372762 -34.6014014, -58.4367094 -34.601974, -58.4364697 -34.6022176)",
720090024,True,,Luis María Drago,residential,40,False,117.08,"LINESTRING (-58.4364697 -34.6022176, -58.4356744 -34.6030423)",
533676070,True,,Lavalleja,residential,20,False,131.918,"LINESTRING (-58.4364697 -34.6022176, -58.4356876 -34.6017151, -58.4355923 -34.6016517, -58.4353377 -34.6014833)",
121176061,True,,Vera,residential,40,False,123.687,"LINESTRING (-58.4410382 -34.5954488, -58.4402212 -34.5963348)",
170477048,True,2,Serrano,residential,30,False,116.517,"LINESTRING (-58.4410382 -34.5954488, -58.4401906 -34.5949497, -58.4400055 -34.5948362)",
849894729,True,5,Avenida Corrientes,primary,50,False,48.779,"LINESTRING (-58.4362123 -34.6007075, -58.4357207 -34.6008769)",
47413212,True,,Julián Álvarez,residential,30,False,124.24000000000001,"LINESTRING (-58.4362123 -34.6007075, -58.437098 -34.6012852, -58.4371541 -34.6013218, -58.4372762 -34.6014014)",
121176041,True,5,Avenida Corrientes,primary,60,False,99.70599999999999,"LINESTRING (-58.4442244 -34.5948052, -58.4440622 -34.5949579, -58.443505 -34.5954785)",
121035142,True,1,Thames,residential,40,False,95.45,"LINESTRING (-58.4418572 -34.5945689, -58.4427257 -34.595044)",
121176061,True,,Vera,residential,40,False,123.258,"LINESTRING (-58.4418572 -34.5945689, -58.4411862 -34.5952898, -58.4410382 -34.5954488)",
47263562,True,,Juan Ramírez de Velasco,residential,40,False,118.218,"LINESTRING (-58.4343721 -34.6008723, -58.4351561 -34.6000274)",
10597006,True,,Lavalleja,residential,40,False,54.963,"LINESTRING (-58.4348501 -34.6011715, -58.4343721 -34.6008723)",
121176059,True,,Vera,residential,40,False,101.983,"LINESTRING (-58.4375885 -34.5991105, -58.4369214 -34.5998451)",11
46934501,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,True,114.928,"LINESTRING (-58.4375885 -34.5991105, -58.4370465 -34.5987634, -58.4369123 -34.5986774, -58.4368066 -34.5986097, -58.4365976 -34.5984757)",
121176037,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,False,132.818,"LINESTRING (-58.4375885 -34.5991105, -58.4383103 -34.5995831, -58.4385027 -34.599707, -58.4385893 -34.5997626, -58.4387269 -34.5998512)",
46934503,True,,Juan Ramírez de Velasco,residential,40,False,132.62,"LINESTRING (-58.4365976 -34.5984757, -58.4374911 -34.5975368)",
46934501,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,False,114.928,"LINESTRING (-58.4365976 -34.5984757, -58.4368066 -34.5986097, -58.4369123 -34.5986774, -58.4370465 -34.5987634, -58.4375885 -34.5991105)",
121176038,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,True,124.79499999999999,"LINESTRING (-58.4365976 -34.5984757, -58.4362773 -34.5982733, -58.4355162 -34.5977922)",
121176023,True,,Aguirre,residential,40,False,133.778,"LINESTRING (-58.4355162 -34.5977922, -58.4364178 -34.5968453)",
121176036,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,True,125.276,"LINESTRING (-58.4355162 -34.5977922, -58.4344432 -34.5970928)",
