osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed
112630540,True,1,Belgrano,residential,False,122.062,"LINESTRING (-64.9720365 -25.7987256, -64.9731487 -25.7982758)",
131015747,True,2,25 de Mayo,residential,False,119.091,"LINESTRING (-64.9720365 -25.7987256, -64.9725256 -25.7997019)",
131016741,False,,Paraná,residential,False,119.358,"LINESTRING (-64.9770774 -25.7966753, -64.9775641 -25.7976552)",
131016741,False,,Paraná,residential,True,121.56,"LINESTRING (-64.9770774 -25.7966753, -64.9765638 -25.7956847)",
250655129,False,,,residential,False,109.517,"LINESTRING (-64.9770774 -25.7966753, -64.9780766 -25.7962744)",
112630734,True,2,Alvarado,residential,False,125.345,"LINESTRING (-64.9769396 -25.7979194, -64.9757992 -25.7983847)",
131016736,False,2,Alvarado,residential,True,69.079,"LINESTRING (-64.9769396 -25.7979194, -64.9775641 -25.7976552)",
349916017,False,2,Avellaneda,residential,False,119.902,"LINESTRING (-64.9769396 -25.7979194, -64.9764276 -25.7969446)",
349916019,False,2,Avellaneda,residential,True,121.532,"LINESTRING (-64.9769396 -25.7979194, -64.9774385 -25.7989158)",
112630734,True,2,Alvarado,residential,False,118.072,"LINESTRING (-64.9736001 -25.7992641, -64.9725256 -25.7997019)",
131016114,True,2,Melchor Figueroa de Cornejo,residential,False,118.823,"LINESTRING (-64.9736001 -25.7992641, -64.9731487 -25.7982758)",
"[131016731, 327694543]",False,2,"['Güemes', 'Domingo F. Sarmiento']",residential,False,212.82299999999998,"LINESTRING (-64.9702771 -25.8005857, -64.9711413 -25.8014657, -64.9718918 -25.8011656)",
327694543,False,,Domingo F. Sarmiento,residential,True,118.894,"LINESTRING (-64.9702771 -25.8005857, -64.9701921 -25.8004998, -64.9697853 -25.7996664, -64.9697663 -25.799626)",
327694543,False,,Domingo F. Sarmiento,residential,False,58.104,"LINESTRING (-64.9692626 -25.7986293, -64.9695052 -25.799104)",
327694543,False,,Domingo F. Sarmiento,residential,True,62.321,"LINESTRING (-64.9692626 -25.7986293, -64.9690069 -25.7981183)",
142780303,False,,Belgrano,residential,True,65.18,"LINESTRING (-64.9697663 -25.799626, -64.9691664 -25.7998538)",40
327694543,False,,Domingo F. Sarmiento,residential,True,63.658,"LINESTRING (-64.9697663 -25.799626, -64.9695052 -25.799104)",
112630540,True,1,Belgrano,residential,False,127.749,"LINESTRING (-64.9697663 -25.799626, -64.96991 -25.7995662, -64.97093 -25.7991546)",
327694543,False,,Domingo F. Sarmiento,residential,False,118.894,"LINESTRING (-64.9697663 -25.799626, -64.9697853 -25.7996664, -64.9701921 -25.8004998, -64.9702771 -25.8005857)",
131015747,True,2,25 de Mayo,residential,False,124.717,"LINESTRING (-64.9730304 -25.8007101, -64.9735362 -25.8017351)",
349902496,True,2,General Güemes,residential,False,117.461,"LINESTRING (-64.9730304 -25.8007101, -64.9740925 -25.8002612)",
349916019,False,2,Avellaneda,residential,False,121.532,"LINESTRING (-64.9774385 -25.7989158, -64.9769396 -25.7979194)",
349902496,True,2,General Güemes,residential,False,126.83,"LINESTRING (-64.9774385 -25.7989158, -64.9774932 -25.7988362, -64.9785457 -25.7983909)",
349916019,False,2,Avellaneda,residential,True,124.85300000000001,"LINESTRING (-64.9774385 -25.7989158, -64.9777284 -25.7994947, -64.9779511 -25.7999394)",
131016733,False,,,residential,False,115.02,"LINESTRING (-64.9756346 -25.7954348, -64.9745817 -25.7958487)",
349916017,False,2,Avellaneda,residential,True,63.399,"LINESTRING (-64.9756346 -25.7954348, -64.9759054 -25.7959502)",
250655454,False,,,residential,True,135.29,"LINESTRING (-64.9756346 -25.7954348, -64.9757994 -25.7953702, -64.9758519 -25.7953172, -64.9762622 -25.7946965, -64.9763668 -25.7945588, -64.9764419 -25.7944925)",
"[250641552, 349916017]",False,2,"['Avellaneda', 'Mitre']",residential,"[False, True]",172.016,"LINESTRING (-64.9756346 -25.7954348, -64.9753855 -25.7949604, -64.9743459 -25.7953713)",
131015811,True,2,Salta,residential,False,124.413,"LINESTRING (-64.9779511 -25.7999394, -64.976823 -25.8004088)",
