osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge
134429508,True,2,Domingo Faustino Sarmiento,tertiary,40,False,142.223,"LINESTRING (-60.2215123 -33.3251954, -60.2203187 -33.3259962)",,
624520299,False,,Avenida Doctor Juan Bautista Alberdi,secondary,,True,120.008,"LINESTRING (-60.2215123 -33.3251954, -60.220688 -33.3243645)",,
615928694,True,,Leandro N. Alem,residential,,False,141.199,"LINESTRING (-60.21247 -33.329954, -60.2136663 -33.3291708)",,
635746643,True,2,José Garibaldi,residential,40,False,133.659,"LINESTRING (-60.21247 -33.329954, -60.2133653 -33.3308949)",,
554950602,True,1,Justo José de Urquiza,residential,40,False,141.191,"LINESTRING (-60.2199307 -33.3295914, -60.2187725 -33.3304135)",,
299144080,True,2,General Manuel Belgrano,residential,,False,141.688,"LINESTRING (-60.2199307 -33.3295914, -60.22077 -33.3304681, -60.2208733 -33.3305927)",,
635398684,True,2,Italia,tertiary,40,False,141.977,"LINESTRING (-60.2143097 -33.3318685, -60.2154849 -33.3310523)",,
539100636,True,2,Florentino Ameghino,residential,40,False,139.536,"LINESTRING (-60.2122098 -33.3317177, -60.2112565 -33.330748)",,
621600094,True,1,Bartolomé Mitre,living_street,40,False,141.348,"LINESTRING (-60.2197216 -33.331407, -60.2187725 -33.3304135)",RP098-01,
689718825,True,1,9 de Julio,residential,40,False,140.169,"LINESTRING (-60.2197216 -33.331407, -60.2208733 -33.3305927)",,
622402201,False,,Guardias Nacionales,tertiary,,False,41.56,"LINESTRING (-60.220688 -33.3243645, -60.2210296 -33.3241232)",,
624520299,False,,Avenida Doctor Juan Bautista Alberdi,secondary,,False,120.008,"LINESTRING (-60.220688 -33.3243645, -60.2215123 -33.3251954)",,
"[299143610, 299143605]",False,,"['Diagonal del Puerto', 'Avenida Doctor Juan Bautista Alberdi']",secondary,,True,299.90799999999996,"LINESTRING (-60.220688 -33.3243645, -60.2206629 -33.32434, -60.2201873 -33.3238786, -60.219765 -33.3234692, -60.2195023 -33.3232007, -60.2194288 -33.3231341, -60.2193662 -33.3231201, -60.2193126 -33.3231337, -60.2192668 -33.3231551, -60.2191926 -33.3232189, -60.2191457 -33.3232886, -60.2188199 -33.3238461, -60.2188137 -33.3238932, -60.2188673 -33.3239787)",,
92474189,True,,León Guruciaga,residential,,False,145.311,"LINESTRING (-60.2203187 -33.3259962, -60.2212967 -33.327016)",,
134429508,True,2,Domingo Faustino Sarmiento,tertiary,40,False,141.725,"LINESTRING (-60.2203187 -33.3259962, -60.2191473 -33.3268126)",,
554950602,True,1,Justo José de Urquiza,residential,40,False,142.348,"LINESTRING (-60.2187725 -33.3304135, -60.2176 -33.3312376)",,
