osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry
28924453,False,823 - 17 de Agosto,residential,40,False,112.214,,"LINESTRING (-58.580904 -34.579213, -58.5800618 -34.5784798)"
28924453,False,823 - 17 de Agosto,residential,40,True,107.825,,"LINESTRING (-58.580904 -34.579213, -58.5817147 -34.5799164)"
467508140,False,804 - Esteban Echeverría,residential,,False,108.599,,"LINESTRING (-58.580904 -34.579213, -58.5817558 -34.5785333)"
467508140,False,804 - Esteban Echeverría,residential,,True,79.553,,"LINESTRING (-58.580904 -34.579213, -58.5802712 -34.5797033)"
28923556,True,805 - Carlos Echagüe,residential,40,False,111.344,,"LINESTRING (-58.5778033 -34.5857677, -58.5769613 -34.5850451)"
1262792801,True,812 - Santos Vega,residential,,False,74.231,,"LINESTRING (-58.5778033 -34.5857677, -58.577216 -34.586228)"
28838815,False,816 - Pastor Luna,residential,40,False,108.426,,"LINESTRING (-58.5841642 -34.5834789, -58.5850239 -34.5828082)"
28838815,False,816 - Pastor Luna,residential,40,True,65.608,,"LINESTRING (-58.5841642 -34.5834789, -58.5836519 -34.5838915)"
28924436,True,821 - San Lorenzo,residential,40,False,110.83,,"LINESTRING (-58.5841642 -34.5834789, -58.5849898 -34.5842079)"
28838815,False,816 - Pastor Luna,residential,40,True,111.454,,"LINESTRING (-58.585887 -34.5821013, -58.5850239 -34.5828082)"
529533134,True,825 - Betharram,residential,40,False,52.418,,"LINESTRING (-58.585887 -34.5821013, -58.585478 -34.5817714)"
28838637,True,810 - Martín Fierro,residential,,False,73.443,,"LINESTRING (-58.5763822 -34.5855022, -58.5769613 -34.5850451)"
28923550,True,803 - Guido y Spano,residential,40,False,111.084,,"LINESTRING (-58.5763822 -34.5855022, -58.577216 -34.586228)"
467508140,False,804 - Esteban Echeverría,residential,,False,73.869,,"LINESTRING (-58.5753251 -34.5836026, -58.5758991 -34.5831357)"
28838718,False,814 - Hilario Ascasubi,residential,,False,76.522,,"LINESTRING (-58.5792042 -34.5860296, -58.5798066 -34.5855525)"
28923559,False,807 - San Miguel de Garicoits,residential,40,False,109.909,,"LINESTRING (-58.5792042 -34.5860296, -58.5783888 -34.5853041)"
28838637,True,810 - Martín Fierro,residential,,False,75.36,,"LINESTRING (-58.5781522 -34.5841098, -58.5787461 -34.5836405)"
