osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,ref
175126517,False,Marmion Street,tertiary,60,False,131.639,"LINESTRING (115.8219582 -33.5800491, 115.8233792 -33.580052)",,
179762597,False,Marmion Street,residential,50,True,130.065,"LINESTRING (115.8219582 -33.5800491, 115.8205542 -33.5800445)",,
163554855,False,Emerald Street,residential,50,True,243.733,"LINESTRING (115.8219582 -33.5800491, 115.8219516 -33.5795659, 115.8219281 -33.5778573)",,
23630328,False,Collins Street,residential,50,False,112.715,"LINESTRING (115.8239227 -33.5756989, 115.8240246 -33.5759279, 115.8243458 -33.5766493)",,
23630328,False,Collins Street,residential,50,True,292.734,"LINESTRING (115.8239227 -33.5756989, 115.8235645 -33.5748712, 115.8232319 -33.5741025, 115.823001 -33.5735687, 115.8228511 -33.5732223)",,
163554854,False,Bentley Street,residential,50,True,165.304,"LINESTRING (115.8239227 -33.5756989, 115.8236336 -33.5757075, 115.8233962 -33.5757145, 115.8221395 -33.5757515)",,
163554850,True,Bentley Street,residential,,False,14.809,"LINESTRING (115.8220516 -33.57565, 115.8220871 -33.5756652, 115.8221152 -33.5756889, 115.8221333 -33.5757186, 115.8221395 -33.5757515)",roundabout,
163554852,False,Emerald Street,residential,50,False,234.945,"LINESTRING (115.8220516 -33.57565, 115.8220187 -33.5744466, 115.8216509 -33.5735906)",,
163554857,False,Allnutt Street,residential,50,False,242.711,"LINESTRING (115.8219281 -33.5778573, 115.824548 -33.5778494)",,
163554855,False,Emerald Street,residential,50,False,243.733,"LINESTRING (115.8219281 -33.5778573, 115.8219516 -33.5795659, 115.8219582 -33.5800491)",,
163554855,False,Emerald Street,residential,50,True,223.167,"LINESTRING (115.8219281 -33.5778573, 115.8219309 -33.5760465, 115.8219945 -33.5758576)",,
626408865,False,Collins Street,residential,50,False,22.198,"LINESTRING (115.8243458 -33.5766493, 115.8244075 -33.5768422)",,
23630328,False,Collins Street,residential,50,True,112.715,"LINESTRING (115.8243458 -33.5766493, 115.8240246 -33.5759279, 115.8239227 -33.5756989)",,
23630352,False,Victory Lane,residential,,False,135.859,"LINESTRING (115.8243458 -33.5766493, 115.8250138 -33.576423, 115.8256995 -33.5761795)",,
23630352,False,Victory Lane,residential,,True,135.859,"LINESTRING (115.8256995 -33.5761795, 115.8250138 -33.576423, 115.8243458 -33.5766493)",,
691232098,False,South Western Highway,trunk,40,True,117.108,"LINESTRING (115.8256995 -33.5761795, 115.8255254 -33.5758769, 115.825239 -33.5753791, 115.8251531 -33.5752298)",,1
"[852620332, 852620333]",False,South Western Highway,trunk,"['40', '50']",False,370.685,"LINESTRING (115.8256995 -33.5761795, 115.8259358 -33.5765979, 115.8267056 -33.5779355, 115.8269129 -33.5781803, 115.8272846 -33.5784835, 115.8279608 -33.5788007, 115.8279697 -33.5788045)",,1
175126517,False,Marmion Street,tertiary,60,False,99.421,"LINESTRING (115.8245415 -33.5800521, 115.8256147 -33.5800566)",,
175126517,False,Marmion Street,tertiary,60,True,107.673,"LINESTRING (115.8245415 -33.5800521, 115.8233792 -33.580052)",,
626408865,False,Collins Street,residential,50,True,244.93,"LINESTRING (115.8245415 -33.5800521, 115.824548 -33.5778494)",,
175126517,False,Marmion Street,tertiary,60,False,107.673,"LINESTRING (115.8233792 -33.580052, 115.8245415 -33.5800521)",,
175126517,False,Marmion Street,tertiary,60,True,131.639,"LINESTRING (115.8233792 -33.580052, 115.8219582 -33.5800491)",,
163554857,False,Allnutt Street,residential,50,True,242.711,"LINESTRING (115.824548 -33.5778494, 115.8219281 -33.5778573)",,
626408865,False,Collins Street,residential,50,False,244.93,"LINESTRING (115.824548 -33.5778494, 115.8245415 -33.5800521)",,
626408865,False,Collins Street,residential,50,True,113.251,"LINESTRING (115.824548 -33.5778494, 115.824501 -33.5771342, 115.8244075 -33.5768422)",,
163554856,False,Baxter Street,residential,50,True,157.16,"LINESTRING (115.8205542 -33.5800445, 115.8205209 -33.5786314)",,
179762597,False,Marmion Street,residential,50,False,130.065,"LINESTRING (115.8205542 -33.5800445, 115.8219582 -33.5800491)",,
163554856,False,Baxter Street,residential,50,False,157.16,"LINESTRING (115.8205209 -33.5786314, 115.8205542 -33.5800445)",,
163554850,True,Bentley Street,residential,,False,20.158,"LINESTRING (115.8221395 -33.5757515, 115.8221344 -33.5757814, 115.8221194 -33.5758089, 115.8220958 -33.5758319, 115.8220655 -33.5758484, 115.8220308 -33.5758572, 115.8219945 -33.5758576)",roundabout,
163554854,False,Bentley Street,residential,50,False,165.304,"LINESTRING (115.8221395 -33.5757515, 115.8233962 -33.5757145, 115.8236336 -33.5757075, 115.8239227 -33.5756989)",,
163554850,True,Bentley Street,residential,,False,20.619,"LINESTRING (115.8218841 -33.5757355, 115.8218983 -33.5757003, 115.821926 -33.5756713, 115.821964 -33.575652, 115.8220076 -33.5756445, 115.8220516 -33.57565)",roundabout,
163554850,True,Bentley Street,residential,,False,18.851,"LINESTRING (115.8219945 -33.5758576, 115.8219555 -33.5758479, 115.821922 -33.5758286, 115.8218976 -33.5758015, 115.8218845 -33.5757694, 115.8218841 -33.5757355)",roundabout,
163554855,False,Emerald Street,residential,50,False,223.167,"LINESTRING (115.8219945 -33.5758576, 115.8219309 -33.5760465, 115.8219281 -33.5778573)",,
168240777,False,Station Street,residential,,False,49.885,"LINESTRING (115.821146 -33.5737465, 115.8216509 -33.5735906)",,
168240777,False,Station Street,residential,,True,118.495,"LINESTRING (115.8228511 -33.5732223, 115.8216509 -33.5735906)",,
23630328,False,Collins Street,residential,50,False,292.73400000000004,"LINESTRING (115.8228511 -33.5732223, 115.823001 -33.5735687, 115.8232319 -33.5741025, 115.8235645 -33.5748712, 115.8239227 -33.5756989)",,
168240777,False,Station Street,residential,,False,118.495,"LINESTRING (115.8216509 -33.5735906, 115.8228511 -33.5732223)",,
168240777,False,Station Street,residential,,True,49.885,"LINESTRING (115.8216509 -33.5735906, 115.821146 -33.5737465)",,
163554852,False,Emerald Street,residential,50,True,234.945,"LINESTRING (115.8216509 -33.5735906, 115.8220187 -33.5744466, 115.8220516 -33.57565)",,
175126517,False,Marmion Street,tertiary,60,True,103.745,"LINESTRING (115.8279697 -33.5788045, 115.8276985 -33.5792605, 115.8276821 -33.5792882, 115.8274581 -33.5796343)",,
"[852620332, 852620333]",False,South Western Highway,trunk,"['40', '50']",True,370.68500000000006,"LINESTRING (115.8279697 -33.5788045, 115.8279608 -33.5788007, 115.8272846 -33.5784835, 115.8269129 -33.5781803, 115.8267056 -33.5779355, 115.8259358 -33.5765979, 115.8256995 -33.5761795)",,1
23630333,False,Ramsay Terrace,residential,50,False,336.279,"LINESTRING (115.8274581 -33.5796343, 115.828137 -33.5799733, 115.8291236 -33.5803124, 115.8300272 -33.5804752, 115.8302664 -33.5805606, 115.8304052 -33.580683, 115.8304883 -33.5808059, 115.8305098 -33.5809042, 115.8305192 -33.5809831)",,
"[23630333, 708002302]",False,Ramsay Terrace,residential,50,True,138.50900000000001,"LINESTRING (115.8274581 -33.5796343, 115.8269506 -33.5793468, 115.8266139 -33.5791505, 115.8265608 -33.5791186, 115.826542 -33.5791097, 115.8265226 -33.5791019, 115.8264991 -33.579086, 115.8263831 -33.5790036, 115.8262496 -33.5789041)",,
175126517,False,Marmion Street,tertiary,60,False,103.745,"LINESTRING (115.8274581 -33.5796343, 115.8276821 -33.5792882, 115.8276985 -33.5792605, 115.8279697 -33.5788045)",,
175126517,False,Marmion Street,tertiary,60,True,184.47199999999998,"LINESTRING (115.8274581 -33.5796343, 115.8273507 -33.5797409, 115.8271502 -33.5798614, 115.8269096 -33.5799585, 115.8268698 -33.5799746, 115.8266233 -33.5800266, 115.82632 -33.5800595, 115.8260796 -33.5800585, 115.8256147 -33.5800566)",,
23630333,False,Ramsay Terrace,residential,50,True,336.27900000000005,"LINESTRING (115.8305192 -33.5809831, 115.8305098 -33.5809042, 115.8304883 -33.5808059, 115.8304052 -33.580683, 115.8302664 -33.5805606, 115.8300272 -33.5804752, 115.8291236 -33.5803124, 115.828137 -33.5799733, 115.8274581 -33.5796343)",,
559773046,False,Victory Lane,residential,,True,105.86500000000001,"LINESTRING (115.823269 -33.5768918, 115.8240093 -33.5768784, 115.8241528 -33.5768795, 115.8242775 -33.576865, 115.8244075 -33.5768422)",,
626408865,False,Collins Street,residential,50,True,22.198,"LINESTRING (115.8244075 -33.5768422, 115.8243458 -33.5766493)",,
559773046,False,Victory Lane,residential,,False,105.86500000000001,"LINESTRING (115.8244075 -33.5768422, 115.8242775 -33.576865, 115.8241528 -33.5768795, 115.8240093 -33.5768784, 115.823269 -33.5768918)",,
626408865,False,Collins Street,residential,50,False,113.251,"LINESTRING (115.8244075 -33.5768422, 115.824501 -33.5771342, 115.824548 -33.5778494)",,
642093896,False,Camilleri Street,unclassified,,True,155.897,"LINESTRING (115.825734 -33.5814471, 115.8257259 -33.5813376, 115.8257139 -33.5811521, 115.8257259 -33.5809153, 115.82573 -33.5806326, 115.8257045 -33.5804549, 115.825687 -33.5803711, 115.8256307 -33.5802337, 115.8256147 -33.5800566)",,
175126517,False,Marmion Street,tertiary,60,True,99.421,"LINESTRING (115.8256147 -33.5800566, 115.8245415 -33.5800521)",,
175126517,False,Marmion Street,tertiary,60,False,184.47199999999998,"LINESTRING (115.8256147 -33.5800566, 115.8260796 -33.5800585, 115.82632 -33.5800595, 115.8266233 -33.5800266, 115.8268698 -33.5799746, 115.8269096 -33.5799585, 115.8271502 -33.5798614, 115.8273507 -33.5797409, 115.8274581 -33.5796343)",,
642093896,False,Camilleri Street,unclassified,,False,155.89700000000002,"LINESTRING (115.8256147 -33.5800566, 115.8256307 -33.5802337, 115.825687 -33.5803711, 115.8257045 -33.5804549, 115.82573 -33.5806326, 115.8257259 -33.5809153, 115.8257139 -33.5811521, 115.8257259 -33.5813376, 115.825734 -33.5814471)",,
691232098,False,South Western Highway,trunk,40,False,117.108,"LINESTRING (115.8251531 -33.5752298, 115.825239 -33.5753791, 115.8255254 -33.5758769, 115.8256995 -33.5761795)",,1
"[23630333, 708002302]",False,Ramsay Terrace,residential,50,False,138.50900000000001,"LINESTRING (115.8262496 -33.5789041, 115.8263831 -33.5790036, 115.8264991 -33.579086, 115.8265226 -33.5791019, 115.826542 -33.5791097, 115.8265608 -33.5791186, 115.8266139 -33.5791505, 115.8269506 -33.5793468, 115.8274581 -33.5796343)",,
