osmid,bridge,ref,highway,oneway,reversed,length,name,geometry
"[755870299, 232197326]",yes,N103,trunk,False,True,276.582,"Kalibarirmor, T A Road","LINESTRING (91.112258 23.9654793, 91.1122396 23.9657156, 91.1121974 23.9659287, 91.112114 23.9662991, 91.1120948 23.9663842, 91.1119622 23.9671603, 91.1118569 23.9677828, 91.1118236 23.9679332)"
755594381,,,unclassified,False,False,180.04200000000003,,"LINESTRING (91.112258 23.9654793, 91.1120814 23.9654773, 91.1118105 23.9654822, 91.1116911 23.9654914, 91.1115369 23.965481, 91.1111842 23.96547, 91.1108194 23.9654663, 91.1104882 23.965443)"
232197527,,,tertiary,False,False,156.98000000000002,,"LINESTRING (91.1116529 23.9696065, 91.1124021 23.9696371, 91.1131969 23.9696191)"
484349188,,,tertiary,False,False,108.12700000000001,,"LINESTRING (91.1116529 23.9696065, 91.1109455 23.9694655, 91.1106085 23.9694233)"
755870299,yes,N103,trunk,False,False,75.448,"Kalibarirmor, T A Road","LINESTRING (91.1116529 23.9696065, 91.1116565 23.9693972, 91.1116714 23.9689282)"
755870299,yes,N103,trunk,False,True,160.108,"Kalibarirmor, T A Road","LINESTRING (91.1116529 23.9696065, 91.111615 23.9702329, 91.1115672 23.9705135, 91.1115116 23.9710396)"
535792552,,,tertiary,False,True,192.745,Station Road,"LINESTRING (91.1118124 23.967996, 91.1100193 23.9674303)"
755870299,yes,N103,trunk,False,False,7.075,"Kalibarirmor, T A Road","LINESTRING (91.1118124 23.967996, 91.1118236 23.9679332)"
755870299,yes,N103,trunk,False,True,104.65,"Kalibarirmor, T A Road","LINESTRING (91.1118124 23.967996, 91.1117363 23.9685426, 91.1116714 23.9689282)"
232197527,,,tertiary,False,False,14.487,,"LINESTRING (91.1131969 23.9696191, 91.1133392 23.9696272)"
1145066396,,,residential,False,True,61.013,,"LINESTRING (91.1131969 23.9696191, 91.1131959 23.9701678)"
232197527,,,tertiary,False,True,156.98000000000002,,"LINESTRING (91.1131969 23.9696191, 91.1124021 23.9696371, 91.1116529 23.9696065)"
