osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed
249601238,2,R451,স্টেশন রোড,secondary,False,False,209.77300000000002,"LINESTRING (89.7043849 24.4527519, 89.7044923 24.4530275, 89.7047662 24.4537665, 89.7049703 24.4545592)",,
249601238,2,R451,স্টেশন রোড,secondary,False,True,64.79899999999999,"LINESTRING (89.7043849 24.4527519, 89.7043139 24.452629, 89.7042241 24.4525062, 89.7041612 24.4524448, 89.7040885 24.4524179, 89.7040157 24.4524082, 89.7039344 24.4524067)",,
1078937299,,,,secondary,False,False,45.004000000000005,"LINESTRING (89.7043849 24.4527519, 89.7044992 24.4526686, 89.7045569 24.4526271, 89.704589 24.4525856, 89.704619 24.4524343)",,
1055750722,2,R451,,secondary,False,True,25.408,"LINESTRING (89.70895 24.4603769, 89.708754 24.4604498, 89.7087176 24.4604633)",,
1055750723,,,,secondary,False,True,244.35399999999998,"LINESTRING (89.70895 24.4603769, 89.7085078 24.4594269, 89.7079791 24.4583651)",,
1078937295,2,,,tertiary,False,False,82.985,"LINESTRING (89.70895 24.4603769, 89.7092242 24.4606926, 89.7093462 24.4608122, 89.7094832 24.4609429)",,
528795959,2,R451,Sirajee Road,secondary,False,False,104.035,"LINESTRING (89.7052058 24.4553569, 89.7041787 24.455392)",,
1078937300,,,,residential,False,True,91.544,"LINESTRING (89.7052058 24.4553569, 89.7061046 24.4552653)",,
249601238,2,R451,স্টেশন রোড,secondary,False,True,91.874,"LINESTRING (89.7052058 24.4553569, 89.7050881 24.4549965, 89.7049703 24.4545592)",,
249658131,,,,secondary,False,False,130.506,"LINESTRING (89.7052058 24.4553569, 89.7053671 24.4558858, 89.7055507 24.4564878)",,
1078937292,,Z5402,,secondary,False,True,11.181,"LINESTRING (89.7065902 24.4524472, 89.7065786 24.4523472)",,
530623039,,R451,,primary,True,False,222.67000000000002,"LINESTRING (89.7065902 24.4524472, 89.7070236 24.4524531, 89.7077132 24.4524625, 89.7087899 24.452467)",,
1055750723,,,,secondary,False,False,202.208,"LINESTRING (89.7065902 24.4524472, 89.7066433 24.45296, 89.7067127 24.4535524, 89.7067847 24.4541665, 89.7067985 24.4542557)",,
474406593,,,,residential,False,False,248.249,"LINESTRING (89.7079791 24.4583651, 89.7103645 24.4578459)",,
1055750723,,,,secondary,False,False,244.35399999999998,"LINESTRING (89.7079791 24.4583651, 89.7085078 24.4594269, 89.70895 24.4603769)",,
1055750723,,,,secondary,False,True,180.89499999999998,"LINESTRING (89.7079791 24.4583651, 89.7076683 24.4576895, 89.7074033 24.4570541, 89.7073363 24.4568482)",,
474406593,,,,residential,False,False,206.332,"LINESTRING (89.7103645 24.4578459, 89.7123515 24.4574314)",,
474406593,,,,residential,False,True,248.249,"LINESTRING (89.7103645 24.4578459, 89.7079791 24.4583651)",,
354822919,,,,residential,False,False,604.774,"LINESTRING (89.7103645 24.4578459, 89.7103403 24.4574521, 89.7102961 24.4567519, 89.7102242 24.4563687, 89.7101369 24.4560513, 89.7100548 24.4556127, 89.7100103 24.4553182, 89.7099245 24.4550618, 89.7098199 24.4545637, 89.7098065 24.4543391, 89.7097314 24.4535187, 89.7096651 24.4524588)",,
354822919,,,,residential,False,True,351.797,"LINESTRING (89.7103645 24.4578459, 89.710434 24.458086, 89.710597 24.4585904, 89.7106368 24.4587039, 89.7106982 24.4588794, 89.7108544 24.4593822, 89.7108801 24.4594853, 89.7110053 24.4598804, 89.7110637 24.4600819, 89.7113862 24.4608674)",,
248424959,,,Al Mahmood Avenue,residential,False,False,70.95,"LINESTRING (89.7123515 24.4574314, 89.712388 24.4580686)",,
474406593,,,,residential,False,True,206.332,"LINESTRING (89.7123515 24.4574314, 89.7103645 24.4578459)",,
248617367,,,alamgir road,unclassified,False,True,166.836,"LINESTRING (89.7087658 24.456035, 89.7086946 24.4560475, 89.7086172 24.4560683, 89.7085395 24.4560951, 89.7083428 24.4561431, 89.7081643 24.4562034, 89.7080925 24.4562151, 89.7080282 24.4561839, 89.7078685 24.4562259, 89.7077093 24.4562591, 89.7076185 24.4562781, 89.7071797 24.4563664)",,
1055750723,,,,secondary,False,False,55.869,"LINESTRING (89.7071797 24.4563664, 89.7073363 24.4568482)",,
248617367,,,alamgir road,unclassified,False,False,166.836,"LINESTRING (89.7071797 24.4563664, 89.7076185 24.4562781, 89.7077093 24.4562591, 89.7078685 24.4562259, 89.7080282 24.4561839, 89.7080925 24.4562151, 89.7081643 24.4562034, 89.7083428 24.4561431, 89.7085395 24.4560951, 89.7086172 24.4560683, 89.7086946 24.4560475, 89.7087658 24.456035)",,
1055750723,,,,secondary,False,True,237.98000000000002,"LINESTRING (89.7071797 24.4563664, 89.707147 24.4562659, 89.7069614 24.4553087, 89.7067985 24.4542557)",,
249601238,2,R451,স্টেশন রোড,secondary,False,False,64.799,"LINESTRING (89.7039344 24.4524067, 89.7040157 24.4524082, 89.7040885 24.4524179, 89.7041612 24.4524448, 89.7042241 24.4525062, 89.7043139 24.452629, 89.7043849 24.4527519)",,
249601246,,,,residential,False,True,334.975,"LINESTRING (89.7039344 24.4524067, 89.7040505 24.4528282, 89.7040852 24.4529543, 89.70418 24.4533443, 89.7041996 24.4535993, 89.7042026 24.4541181, 89.7041787 24.455392)",,
249601242,,,,residential,False,False,78.65299999999999,"LINESTRING (89.7067985 24.4542557, 89.7062489 24.4543453, 89.7060342 24.4543832)",,
1055750723,,,,secondary,False,False,237.98,"LINESTRING (89.7067985 24.4542557, 89.7069614 24.4553087, 89.707147 24.4562659, 89.7071797 24.4563664)",,
1055750723,,,,secondary,False,True,202.20800000000003,"LINESTRING (89.7067985 24.4542557, 89.7067847 24.4541665, 89.7067127 24.4535524, 89.7066433 24.45296, 89.7065902 24.4524472)",,
249601238,2,R451,স্টেশন রোড,secondary,False,False,91.874,"LINESTRING (89.7049703 24.4545592, 89.7050881 24.4549965, 89.7052058 24.4553569)",,
249601238,2,R451,স্টেশন রোড,secondary,False,True,209.773,"LINESTRING (89.7049703 24.4545592, 89.7047662 24.4537665, 89.7044923 24.4530275, 89.7043849 24.4527519)",,
249601242,,,,residential,False,True,110.582,"LINESTRING (89.7049703 24.4545592, 89.7051501 24.4545539, 89.7054823 24.4545256, 89.7055538 24.4545075, 89.7056347 24.4544604, 89.7056891 24.4544448, 89.7060342 24.4543832)",,
528795959,2,R451,Sirajee Road,secondary,False,True,104.035,"LINESTRING (89.7041787 24.455392, 89.7052058 24.4553569)",,
249601246,,,,residential,False,False,334.97499999999997,"LINESTRING (89.7041787 24.455392, 89.7042026 24.4541181, 89.7041996 24.4535993, 89.70418 24.4533443, 89.7040852 24.4529543, 89.7040505 24.4528282, 89.7039344 24.4524067)",,
249601242,,,,residential,False,False,110.582,"LINESTRING (89.7060342 24.4543832, 89.7056891 24.4544448, 89.7056347 24.4544604, 89.7055538 24.4545075, 89.7054823 24.4545256, 89.7051501 24.4545539, 89.7049703 24.4545592)",,
249601242,,,,residential,False,True,78.65299999999999,"LINESTRING (89.7060342 24.4543832, 89.7062489 24.4543453, 89.7067985 24.4542557)",,
249658100,,,,residential,False,False,98.356,"LINESTRING (89.7060342 24.4543832, 89.7060544 24.4545696, 89.7060662 24.4547634, 89.7060838 24.4549808, 89.7061015 24.4552014, 89.7061046 24.4552653)",,
1150896275,,,,residential,False,True,169.395,"LINESTRING (89.7060342 24.4543832, 89.7060178 24.4541132, 89.7060084 24.4539423, 89.705983 24.4538593, 89.7059575 24.4537262, 89.7059467 24.4535712, 89.7059052 24.4534052, 89.7058167 24.4531341, 89.7057469 24.45289)",,
1078937300,,,,residential,False,False,91.544,"LINESTRING (89.7061046 24.4552653, 89.7052058 24.4553569)",,
249658100,,,,residential,False,False,110.33500000000001,"LINESTRING (89.7061046 24.4552653, 89.7061462 24.4555023, 89.7061873 24.4556501, 89.7062556 24.4559178, 89.7063132 24.4561234, 89.7063391 24.4562337)",,
