osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref
164506631,вуліца Пушкіна,residential,False,False,156.583,,,"LINESTRING (27.2172282 53.4637247, 27.2193384 53.4630885)",
25273550,Першамайская вуліца,secondary,False,False,101.48400000000001,2,60,"LINESTRING (27.2172282 53.4637247, 27.2175501 53.4639953, 27.2181034 53.464474)",
25273550,Першамайская вуліца,secondary,False,True,96.90299999999999,2,60,"LINESTRING (27.2172282 53.4637247, 27.2168917 53.4634295, 27.2164013 53.4630056)",
25273550,Першамайская вуліца,secondary,False,True,65.559,2,60,"LINESTRING (27.2191497 53.4653687, 27.2190066 53.46525, 27.2189363 53.4651929, 27.2185787 53.464887)",
"[129862920, 1118931429, 674455661, 1118931430]",Савецкая вуліца,primary,False,False,779.9300000000001,6,50,"LINESTRING (27.2191497 53.4653687, 27.2189061 53.465378, 27.2181878 53.4654077, 27.217193 53.4654473, 27.2170487 53.4654544, 27.2154002 53.4655285, 27.2143721 53.465575, 27.214192 53.4655821, 27.2136931 53.4656041, 27.2132497 53.4656212, 27.2131127 53.4656273, 27.2126918 53.4656459, 27.2123376 53.4656616, 27.2117868 53.465686, 27.2111781 53.4657124, 27.2102146 53.4657543, 27.2100582 53.4657608, 27.209954 53.4657651, 27.2073975 53.4658692)",Р68
25273551,Савецкая вуліца,primary,False,False,19.612,6,60,"LINESTRING (27.2073975 53.4658692, 27.2072875 53.4658743, 27.2071021 53.4658828)",Р68
"[129862920, 674455661, 1118931429, 1118931430]",Савецкая вуліца,primary,False,True,779.9300000000001,6,50,"LINESTRING (27.2073975 53.4658692, 27.209954 53.4657651, 27.2100582 53.4657608, 27.2102146 53.4657543, 27.2111781 53.4657124, 27.2117868 53.465686, 27.2123376 53.4656616, 27.2126918 53.4656459, 27.2131127 53.4656273, 27.2132497 53.4656212, 27.2136931 53.4656041, 27.214192 53.4655821, 27.2143721 53.465575, 27.2154002 53.4655285, 27.2170487 53.4654544, 27.217193 53.4654473, 27.2181878 53.4654077, 27.2189061 53.465378, 27.2191497 53.4653687)",Р68
25273550,Першамайская вуліца,secondary,False,False,66.685,2,60,"LINESTRING (27.2135087 53.4605308, 27.2140754 53.4610266)",
53725107,Школьная вуліца,tertiary,False,True,136.102,2,60,"LINESTRING (27.2193813 53.4607955, 27.2204322 53.4618475)",Р61
53725103,Рэвалюцыйная вуліца,residential,False,False,305.957,2,60,"LINESTRING (27.2193813 53.4607955, 27.2184434 53.4610631, 27.2152134 53.4619844)",
25273550,Першамайская вуліца,secondary,False,False,138.136,2,60,"LINESTRING (27.2152134 53.4619844, 27.2161908 53.4628356, 27.2164013 53.4630056)",
25273550,Першамайская вуліца,secondary,False,True,130.45499999999998,2,60,"LINESTRING (27.2152134 53.4619844, 27.2148096 53.4616445, 27.2146321 53.4614951, 27.2144774 53.4613649, 27.2140754 53.4610266)",
53725103,Рэвалюцыйная вуліца,residential,False,False,476.904,2,60,"LINESTRING (27.2152134 53.4619844, 27.2151683 53.4620009, 27.2087241 53.4637944, 27.2086901 53.4638039)",
53725103,Рэвалюцыйная вуліца,residential,False,True,305.957,2,60,"LINESTRING (27.2152134 53.4619844, 27.2184434 53.4610631, 27.2193813 53.4607955)",
102444239,,residential,False,True,137.476,,,"LINESTRING (27.2086901 53.4638039, 27.2098089 53.4648455)",
53725103,Рэвалюцыйная вуліца,residential,False,True,476.904,2,60,"LINESTRING (27.2086901 53.4638039, 27.2087241 53.4637944, 27.2151683 53.4620009, 27.2152134 53.4619844)",
53725107,Школьная вуліца,tertiary,False,False,136.102,2,60,"LINESTRING (27.2204322 53.4618475, 27.2193813 53.4607955)",Р61
53725104,вуліца Перамогі,residential,False,False,296.293,2,60,"LINESTRING (27.2204322 53.4618475, 27.220297 53.4618864, 27.2185579 53.4623864, 27.2165131 53.4629742, 27.2164013 53.4630056)",
25273550,Першамайская вуліца,secondary,False,False,96.90299999999999,2,60,"LINESTRING (27.2164013 53.4630056, 27.2168917 53.4634295, 27.2172282 53.4637247)",
25273550,Першамайская вуліца,secondary,False,True,138.136,2,60,"LINESTRING (27.2164013 53.4630056, 27.2161908 53.4628356, 27.2152134 53.4619844)",
53725104,вуліца Перамогі,residential,False,False,482.01099999999997,2,60,"LINESTRING (27.2164013 53.4630056, 27.2163268 53.4630267, 27.2162504 53.463049, 27.21036 53.4647071, 27.2098089 53.4648455)",
53725104,вуліца Перамогі,residential,False,True,296.29299999999995,2,60,"LINESTRING (27.2164013 53.4630056, 27.2165131 53.4629742, 27.2185579 53.4623864, 27.220297 53.4618864, 27.2204322 53.4618475)",
102444239,,residential,False,False,137.476,,,"LINESTRING (27.2098089 53.4648455, 27.2086901 53.4638039)",
102444239,,residential,False,True,51.193,,,"LINESTRING (27.2098089 53.4648455, 27.2101813 53.465249)",
53725104,вуліца Перамогі,residential,False,False,210.769,2,60,"LINESTRING (27.2098089 53.4648455, 27.2070953 53.4656357, 27.2069469 53.4656761)",
53725104,вуліца Перамогі,residential,False,True,482.01099999999997,2,60,"LINESTRING (27.2098089 53.4648455, 27.21036 53.4647071, 27.2162504 53.463049, 27.2163268 53.4630267, 27.2164013 53.4630056)",
25273550,Першамайская вуліца,secondary,False,True,66.685,2,60,"LINESTRING (27.2140754 53.4610266, 27.2135087 53.4605308)",
25273550,Першамайская вуліца,secondary,False,False,130.455,2,60,"LINESTRING (27.2140754 53.4610266, 27.2144774 53.4613649, 27.2146321 53.4614951, 27.2148096 53.4616445, 27.2152134 53.4619844)",
53725109,Інтэрнацыянальная вуліца,residential,False,False,478.294,2,60,"LINESTRING (27.2140754 53.4610266, 27.2140372 53.4610392, 27.2131581 53.4612712, 27.2105459 53.4619676, 27.2086876 53.4625139, 27.2079475 53.4627058, 27.2078186 53.4627352, 27.2077113 53.4627416, 27.2075963 53.4627163, 27.2074923 53.4626963)",
25273551,Савецкая вуліца,primary,False,True,51.644,6,60,"LINESTRING (27.2063242 53.4659183, 27.2071021 53.4658828)",Р68
674455657,вуліца Перамогі,residential,True,False,49.977000000000004,,,"LINESTRING (27.2063242 53.4659183, 27.2064913 53.4658206, 27.206557 53.4657822, 27.2069469 53.4656761)",
53725109,Інтэрнацыянальная вуліца,residential,False,True,478.29400000000004,2,60,"LINESTRING (27.2074923 53.4626963, 27.2075963 53.4627163, 27.2077113 53.4627416, 27.2078186 53.4627352, 27.2079475 53.4627058, 27.2086876 53.4625139, 27.2105459 53.4619676, 27.2131581 53.4612712, 27.2140372 53.4610392, 27.2140754 53.4610266)",
115969132,вуліца Карла Маркса,primary,False,True,37.379000000000005,2,40,"LINESTRING (27.2074923 53.4626963, 27.2077261 53.4625265, 27.2078502 53.4624363)",
84781024,завулак Калініна,unclassified,False,False,98.11500000000001,,,"LINESTRING (27.2078502 53.4624363, 27.2077859 53.4623938, 27.2077336 53.4623592, 27.2074101 53.4621582, 27.2068286 53.4617971)",
115969132,вуліца Карла Маркса,primary,False,False,37.379000000000005,2,40,"LINESTRING (27.2078502 53.4624363, 27.2077261 53.4625265, 27.2074923 53.4626963)",
84781024,завулак Калініна,unclassified,False,True,36.002,,,"LINESTRING (27.2059763 53.4612764, 27.2063558 53.4615083)",
84781024,завулак Калініна,unclassified,False,False,36.002,,,"LINESTRING (27.2063558 53.4615083, 27.2059763 53.4612764)",
84781024,завулак Калініна,unclassified,False,True,44.843,,,"LINESTRING (27.2063558 53.4615083, 27.2068286 53.4617971)",
84781024,завулак Калініна,unclassified,False,False,44.843,,,"LINESTRING (27.2068286 53.4617971, 27.2063558 53.4615083)",
84781024,завулак Калініна,unclassified,False,True,98.11500000000001,,,"LINESTRING (27.2068286 53.4617971, 27.2074101 53.4621582, 27.2077336 53.4623592, 27.2077859 53.4623938, 27.2078502 53.4624363)",
164506631,вуліца Пушкіна,residential,False,True,156.583,,,"LINESTRING (27.2193384 53.4630885, 27.2172282 53.4637247)",
25273550,Першамайская вуліца,secondary,False,False,55.668,2,60,"LINESTRING (27.2181034 53.464474, 27.2185787 53.464887)",
25273550,Першамайская вуліца,secondary,False,True,101.48400000000001,2,60,"LINESTRING (27.2181034 53.464474, 27.2175501 53.4639953, 27.2172282 53.4637247)",
25273550,Першамайская вуліца,secondary,False,True,55.668,2,60,"LINESTRING (27.2185787 53.464887, 27.2181034 53.464474)",
25273550,Першамайская вуліца,secondary,False,False,65.559,2,60,"LINESTRING (27.2185787 53.464887, 27.2189363 53.4651929, 27.2190066 53.46525, 27.2191497 53.4653687)",
