osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,ref,tunnel
"[422556632, 422556633]",Churchilllaan,tertiary,50,False,True,50.334999999999994,"LINESTRING (4.4938141 51.2503251, 4.4939717 51.2503334, 4.4942577 51.2503426, 4.4944137 51.2503479, 4.4944699 51.2503502, 4.4945359 51.2503477)",,,,
26794368,Churchilllaan,tertiary,50,False,False,58.382,"LINESTRING (4.4948454 51.250362, 4.4949175 51.250381, 4.4949689 51.2503912, 4.4954512 51.2504929, 4.4956379 51.2505337)",,,,
321745287,,tertiary,50,True,False,10.033999999999999,"LINESTRING (4.4948454 51.250362, 4.4948289 51.2503768, 4.4948086 51.2503897, 4.4947853 51.2504002, 4.4947594 51.2504082, 4.4947318 51.2504134)",roundabout,,,
26794368,Churchilllaan,tertiary,50,False,False,78.053,"LINESTRING (4.4956379 51.2505337, 4.4967281 51.2506983)",,,,
26794368,Churchilllaan,tertiary,50,False,True,58.382,"LINESTRING (4.4956379 51.2505337, 4.4954512 51.2504929, 4.4949689 51.2503912, 4.4949175 51.250381, 4.4948454 51.250362)",,,,
574711860,Churchilllaan,residential,,False,False,66.518,"LINESTRING (4.4956379 51.2505337, 4.4956504 51.2504832, 4.4956831 51.2503514, 4.4950335 51.2502749)",,,,
54434309,Churchilllaan,residential,50,False,False,54.598,"LINESTRING (4.4976416 51.2509488, 4.4983594 51.2511469)",,,,
26794378,Verbertstraat,tertiary,50,False,True,126.049,"LINESTRING (4.4976416 51.2509488, 4.4977195 51.2508694, 4.4977572 51.250717, 4.4977789 51.2504997, 4.497799 51.2502361, 4.4977875 51.2498316)",,,,
"[26794368, 356126495]",Churchilllaan,tertiary,50,False,True,69.573,"LINESTRING (4.4976416 51.2509488, 4.497117 51.2507911, 4.4968978 51.2507272, 4.4967281 51.2506983)",,3,,
321745283,Verbertstraat,tertiary,50,True,False,32.349999999999994,"LINESTRING (4.4981323 51.2493049, 4.498153 51.2493389, 4.498155 51.2493753, 4.498138 51.24941, 4.4981038 51.2494394, 4.4980562 51.2494603, 4.4980004 51.2494703, 4.4979423 51.2494684, 4.4978885 51.2494548)",roundabout,,,
459182345,Hendrik Consciencestraat,tertiary,50,False,True,44.007999999999996,"LINESTRING (4.4981323 51.2493049, 4.4983032 51.2492591, 4.4985737 51.24925, 4.4987492 51.2492497)",,,,
15563239,Verbertstraat,tertiary,50,True,False,16.373,"LINESTRING (4.4978885 51.2494548, 4.4978441 51.2494307, 4.497815 51.2493987, 4.4978043 51.2493625, 4.4978132 51.2493261)",roundabout,,,
26794378,Verbertstraat,tertiary,50,False,False,43.117,"LINESTRING (4.4978885 51.2494548, 4.4978407 51.2495093, 4.497817 51.2495618, 4.4978048 51.2495905, 4.4977875 51.2498316)",,,,
84582921,Verbertstraat,tertiary,50,True,False,41.067,"LINESTRING (4.4977627 51.2484044, 4.4976331 51.2480441)",,1,,
26794390,Verbertstraat,tertiary,50,False,False,98.261,"LINESTRING (4.4977627 51.2484044, 4.4977633 51.2484462, 4.4977868 51.2488033, 4.4977887 51.2488897, 4.4977856 51.2491726, 4.4978698 51.249275)",,,,
26794396,Verbertstraat,residential,50,True,False,16.427,"LINESTRING (4.4976331 51.2480441, 4.4977841 51.2480841, 4.4978551 51.2480918)",,1,,
