osmid,oneway,lanes,highway,reversed,length,geometry,name
1077507137,False,2,residential,False,73.31899999999999,"LINESTRING (-66.5839626 -18.4184707, -66.5837854 -18.4185419, -66.583612 -18.4186075, -66.5834595 -18.4187291, -66.5833745 -18.4188049)",
1077519834,False,2,tertiary,False,30.525,"LINESTRING (-66.5839626 -18.4184707, -66.5839787 -18.4185114, -66.5840256 -18.4186043, -66.584086 -18.4187188)",
513198063,False,2,tertiary,False,35.332,"LINESTRING (-66.584086 -18.4187188, -66.5841155 -18.4188079, -66.5841005 -18.4190318)",
530023064,False,,residential,False,41.313,"LINESTRING (-66.584086 -18.4187188, -66.5842114 -18.4187492, -66.5844733 -18.4187604)",Calle Buch
1077519834,False,2,tertiary,True,30.525000000000002,"LINESTRING (-66.584086 -18.4187188, -66.5840256 -18.4186043, -66.5839787 -18.4185114, -66.5839626 -18.4184707)",
141032040,False,,residential,False,126.226,"LINESTRING (-66.5840216 -18.4204009, -66.5847918 -18.4212696)",Calle Campero
141032040,False,,residential,True,69.473,"LINESTRING (-66.5840216 -18.4204009, -66.5835521 -18.4199628)",Calle Campero
513198063,False,2,tertiary,False,87.863,"LINESTRING (-66.5840216 -18.4204009, -66.5839545 -18.4211885)",
513198063,False,2,tertiary,True,96.875,"LINESTRING (-66.5840216 -18.4204009, -66.5840417 -18.4199899, -66.5840444 -18.4197418, -66.5840592 -18.4195306)",
312630562,False,,residential,False,59.976,"LINESTRING (-66.5812085 -18.4207131, -66.5806999 -18.4204721)",
1077519844,False,2,tertiary,True,37.0,"LINESTRING (-66.5812085 -18.4207131, -66.5814421 -18.4204649)",
1077519844,False,2,tertiary,False,76.77,"LINESTRING (-66.5812085 -18.4207131, -66.5809232 -18.4209984, -66.5807161 -18.4212213)",
141031661,False,,residential,False,10.321,"LINESTRING (-66.5838912 -18.4220204, -66.5839579 -18.4220883)",
513198063,False,2,tertiary,False,37.939,"LINESTRING (-66.5838912 -18.4220204, -66.5838593 -18.4220766, -66.5837936 -18.4221466, -66.5836541 -18.4222739)",
513198063,False,2,tertiary,True,92.797,"LINESTRING (-66.5838912 -18.4220204, -66.5839049 -18.4219341, -66.5839183 -18.421826, -66.5839545 -18.4211885)",
148318344,False,,residential,True,38.156000000000006,"LINESTRING (-66.5836541 -18.4222739, -66.5837776 -18.4221896, -66.5839579 -18.4220883)",Calle Cochabamba
513198063,False,2,tertiary,True,37.939,"LINESTRING (-66.5836541 -18.4222739, -66.5837936 -18.4221466, -66.5838593 -18.4220766, -66.5838912 -18.4220204)",
621837298,False,,residential,False,139.11599999999999,"LINESTRING (-66.5836541 -18.4222739, -66.5831381 -18.4220275, -66.5828739 -18.421976, -66.5826294 -18.4219187, -66.5824125 -18.4218871)",Calle Catavi
621837300,False,2,tertiary,False,110.049,"LINESTRING (-66.5836541 -18.4222739, -66.5834074 -18.4224067, -66.5832324 -18.4225457, -66.5829059 -18.4228549, -66.5828615 -18.4229062)",
141031664,False,,residential,False,140.714,"LINESTRING (-66.5828615 -18.4229062, -66.5823156 -18.4223866, -66.5822956 -18.4223606, -66.5822816 -18.4223312, -66.5822742 -18.4222998, -66.5822737 -18.4222676, -66.5822801 -18.4222359, -66.5824125 -18.4218871)",Calle 23 de Marzo
621837300,False,2,tertiary,False,107.881,"LINESTRING (-66.5828615 -18.4229062, -66.5825161 -18.4230981, -66.582216 -18.4232506, -66.5819996 -18.423422)",
621837300,False,2,tertiary,True,110.049,"LINESTRING (-66.5828615 -18.4229062, -66.5829059 -18.4228549, -66.5832324 -18.4225457, -66.5834074 -18.4224067, -66.5836541 -18.4222739)",
