osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry
250542333,Calle Sucre,residential,False,False,54.017,,,,"LINESTRING (-63.234115 -17.1132289, -63.2346053 -17.113357)"
619895630,RN10: Guabirá-Colonia Piraí,trunk,False,True,117.855,2,F10,80,"LINESTRING (-63.234115 -17.1132289, -63.2336182 -17.1141765)"
250542333,Calle Sucre,residential,False,True,54.017,,,,"LINESTRING (-63.2346053 -17.113357, -63.234115 -17.1132289)"
250542348,Calle San Isidro,residential,False,True,110.342,,,,"LINESTRING (-63.2346053 -17.113357, -63.2343686 -17.1143232)"
618633488,Calle Sucre,residential,False,False,113.237,,,,"LINESTRING (-63.2346053 -17.113357, -63.2356571 -17.11352)"
250542341,Calle Yacuiba,residential,False,True,105.929,,,,"LINESTRING (-63.2291603 -17.1133923, -63.2289284 -17.1143188)"
250542449,Avenida Rio Bibosi,residential,False,False,112.286,,,,"LINESTRING (-63.2291603 -17.1133923, -63.2301928 -17.1136067)"
250542354,Calle Darío Bejarano,residential,False,False,116.83,,,,"LINESTRING (-63.2356571 -17.11352, -63.235416 -17.1145451)"
618633488,Calle Sucre,residential,False,False,107.595,,,,"LINESTRING (-63.2356571 -17.11352, -63.2366551 -17.1136829)"
618633488,Calle Sucre,residential,False,True,113.237,,,,"LINESTRING (-63.2356571 -17.11352, -63.2346053 -17.113357)"
250542356,Calle Independencia,residential,False,False,107.668,,,,"LINESTRING (-63.2301928 -17.1136067, -63.229961 -17.1145493)"
250542449,Avenida Rio Bibosi,residential,False,False,112.416,,,,"LINESTRING (-63.2301928 -17.1136067, -63.2312332 -17.1137894)"
250542449,Avenida Rio Bibosi,residential,False,True,112.286,,,,"LINESTRING (-63.2301928 -17.1136067, -63.2291603 -17.1133923)"
250542459,Avenida Puerto Suarez,residential,False,False,121.892,,,,"LINESTRING (-63.2366551 -17.1136829, -63.2364174 -17.1147553)"
618633488,Calle Sucre,residential,False,False,105.883,,,,"LINESTRING (-63.2366551 -17.1136829, -63.2376367 -17.1138461)"
618633488,Calle Sucre,residential,False,True,107.595,,,,"LINESTRING (-63.2366551 -17.1136829, -63.2356571 -17.11352)"
250542345,,residential,False,False,110.037,,,,"LINESTRING (-63.2312332 -17.1137894, -63.2310085 -17.1147554)"
250542449,Avenida Rio Bibosi,residential,False,False,110.559,,,,"LINESTRING (-63.2312332 -17.1137894, -63.2322614 -17.1139409)"
250542449,Avenida Rio Bibosi,residential,False,True,112.416,,,,"LINESTRING (-63.2312332 -17.1137894, -63.2301928 -17.1136067)"
