osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction
48686610,False,8. ulica,tertiary,False,77.783,"LINESTRING (18.6935086 45.0374533, 18.6934081 45.0367574)",,,,
454584861,True,3. ulica,tertiary,False,74.12200000000001,"LINESTRING (18.6935086 45.0374533, 18.6938711 45.0374166, 18.6939938 45.0374042, 18.6944438 45.0373663)",,,,
459903084,False,3. ulica,tertiary,True,131.312,"LINESTRING (18.6935086 45.0374533, 18.6932602 45.0374809, 18.6927367 45.0375317, 18.6923247 45.0375742, 18.6918636 45.0376546)",,,,
459903084,False,3. ulica,tertiary,False,131.312,"LINESTRING (18.6918636 45.0376546, 18.6923247 45.0375742, 18.6927367 45.0375317, 18.6932602 45.0374809, 18.6935086 45.0374533)",,,,
459903084,False,3. ulica,tertiary,True,98.048,"LINESTRING (18.6918636 45.0376546, 18.6914794 45.0377471, 18.6910009 45.0378835, 18.6907003 45.0379726)",,,,
454584861,True,3. ulica,tertiary,False,28.151,"LINESTRING (18.6944438 45.0373663, 18.6947994 45.0373355)",,,,
100712940,False,14. ulica,tertiary,False,74.206,"LINESTRING (18.6960818 45.0371885, 18.6961022 45.0371522, 18.6961069 45.037094, 18.69603 45.0365266)",,,,
219433542,False,3. ulica,residential,True,131.37800000000001,"LINESTRING (18.6960818 45.0371885, 18.6961324 45.0371902, 18.696206 45.0371865, 18.696316 45.0371634, 18.6964777 45.0371072, 18.6966609 45.0370124, 18.6968187 45.0369121, 18.6969728 45.036816, 18.6971265 45.0367002, 18.6972119 45.0366303, 18.6972857 45.0365609, 18.6973575 45.0364847)",,,,
100712940,False,14. ulica,tertiary,True,74.99,"LINESTRING (18.6958908 45.0351735, 18.6959477 45.0358467)",,,,
100712940,False,14. ulica,tertiary,False,79.743,"LINESTRING (18.6958908 45.0351735, 18.6958372 45.0347443, 18.6958229 45.0344582)",,,,
100874211,True,9. ulica,residential,False,107.044,"LINESTRING (18.6958908 45.0351735, 18.6954341 45.0352072, 18.6949821 45.0352503, 18.6946891 45.0352783, 18.6945383 45.0352871)",,,,
100712940,False,14. ulica,tertiary,False,103.26599999999999,"LINESTRING (18.6958229 45.0344582, 18.6958334 45.0344299, 18.6958635 45.0343478, 18.6959981 45.0340771, 18.6962756 45.0335872)",,,,
100712940,False,14. ulica,tertiary,True,79.743,"LINESTRING (18.6958229 45.0344582, 18.6958372 45.0347443, 18.6958908 45.0351735)",,,,
101274946,True,11. ulica,residential,False,101.77600000000001,"LINESTRING (18.6958229 45.0344582, 18.6959705 45.0344509, 18.6962421 45.0344209, 18.6964935 45.0343922, 18.6967772 45.0343636, 18.6970083 45.0343435, 18.6971058 45.0343349)",,,,
100712940,False,14. ulica,tertiary,True,12.258,"LINESTRING (18.6967552 45.0328301, 18.696695 45.0329318)",,,,
100874201,False,19. ulica,residential,True,20.544,"LINESTRING (18.6967552 45.0328301, 18.6970072 45.0328793)",,,,
100712940,False,14. ulica,tertiary,False,125.34100000000001,"LINESTRING (18.6967552 45.0328301, 18.6970281 45.0324167, 18.6973285 45.0319238, 18.6974044 45.0318006)",,,,
139994803,False,,residential,False,30.175,"LINESTRING (18.6979178 45.031001, 18.6982717 45.0311063)",,,,
100712940,False,14. ulica,tertiary,False,69.009,"LINESTRING (18.6979178 45.031001, 18.6980838 45.0307634, 18.6981773 45.0306088, 18.6982816 45.0304364)",,,,
100712940,False,14. ulica,tertiary,True,97.646,"LINESTRING (18.6979178 45.031001, 18.6976181 45.0314537, 18.6974044 45.0318006)",,,,
100712940,False,14. ulica,tertiary,True,4.049,"LINESTRING (18.6983606 45.0297965, 18.6983646 45.0298328)",,,,
48686610,False,8. ulica,tertiary,False,83.46000000000001,"LINESTRING (18.6932208 45.0353855, 18.6931487 45.0349444, 18.6930975 45.03464)",,,,
48686610,False,8. ulica,tertiary,True,79.67699999999999,"LINESTRING (18.6932208 45.0353855, 18.6932542 45.0356276, 18.6933202 45.0360986)",,,,
100874211,True,9. ulica,residential,False,135.584,"LINESTRING (18.6932208 45.0353855, 18.6926332 45.0354393, 18.6920202 45.0355, 18.691512 45.0355543)",,,,
100874211,True,9. ulica,residential,False,148.54,"LINESTRING (18.6990819 45.034882, 18.6987198 45.0349394, 18.6982941 45.0349772, 18.6979307 45.0350058, 18.6972097 45.0350564)",,,,
219433542,False,3. ulica,residential,False,120.651,"LINESTRING (18.6990819 45.034882, 18.6986784 45.035198, 18.6983921 45.035424, 18.6982207 45.0355593, 18.6980581 45.0356906)",,,,
219433542,False,3. ulica,residential,True,89.18200000000002,"LINESTRING (18.6990819 45.034882, 18.699196 45.0348077, 18.6994321 45.0346333, 18.6996038 45.0344976, 18.6997568 45.0343639, 18.6998411 45.0342873)",,,,
100874194,True,6. ulica,residential,False,72.497,"LINESTRING (18.6915964 45.0362605, 18.6916701 45.0369104)",,,,
100874216,True,7. ulica,residential,False,136.69799999999998,"LINESTRING (18.6915964 45.0362605, 18.692287 45.0361835, 18.6928489 45.0361277, 18.6933202 45.0360986)",,,,
100874201,False,19. ulica,residential,False,20.544,"LINESTRING (18.6970072 45.0328793, 18.6967552 45.0328301)",,,,
100874201,False,19. ulica,residential,True,55.323,"LINESTRING (18.6970072 45.0328793, 18.6973604 45.0329187, 18.6977031 45.0329546)",,,,
102213627,False,16. ulica,residential,True,84.481,"LINESTRING (18.6970072 45.0328793, 18.6970068 45.0329417, 18.6970271 45.0330735, 18.6970352 45.0332568, 18.6970474 45.0334459, 18.6970555 45.0336379)",,,,
100712940,False,14. ulica,tertiary,False,74.99,"LINESTRING (18.6959477 45.0358467, 18.6958908 45.0351735)",,,,
100712940,False,14. ulica,tertiary,True,75.878,"LINESTRING (18.6959477 45.0358467, 18.6959633 45.035984, 18.69603 45.0365266)",,,,
100874216,True,7. ulica,residential,False,107.315,"LINESTRING (18.6959477 45.0358467, 18.6963043 45.0358153, 18.6967386 45.035774, 18.6971996 45.0357378, 18.6973033 45.0357298)",,,,
267732253,False,2. ulica,primary,False,117.05199999999998,"LINESTRING (18.6882913 45.0359992, 18.6883365 45.0364661, 18.6883606 45.0365817, 18.688374 45.0366594, 18.6883982 45.0367826, 18.6884169 45.0368679, 18.6884411 45.0369797, 18.6884561 45.0370446)",2,M-14.2,30,
267732253,False,2. ulica,primary,True,17.692999999999998,"LINESTRING (18.6882913 45.0359992, 18.6882892 45.035894, 18.6882882 45.0358401)",2,M-14.2,30,
48686610,False,8. ulica,tertiary,False,79.67699999999999,"LINESTRING (18.6933202 45.0360986, 18.6932542 45.0356276, 18.6932208 45.0353855)",,,,
48686610,False,8. ulica,tertiary,True,73.584,"LINESTRING (18.6933202 45.0360986, 18.6933749 45.036473, 18.6934081 45.0367574)",,,,
100874216,True,7. ulica,residential,False,71.226,"LINESTRING (18.6933202 45.0360986, 18.69383 45.0360531, 18.6942173 45.0360077)",,,,
219433542,False,3. ulica,residential,False,104.093,"LINESTRING (18.6980581 45.0356906, 18.6979647 45.0357932, 18.6978328 45.035939, 18.697669 45.036137, 18.6974934 45.0363247, 18.6974315 45.0363912, 18.6973575 45.0364847)",,,,
219433542,False,3. ulica,residential,True,120.65100000000001,"LINESTRING (18.6980581 45.0356906, 18.6982207 45.0355593, 18.6983921 45.035424, 18.6986784 45.035198, 18.6990819 45.034882)",,,,
100874201,False,19. ulica,residential,False,109.13199999999999,"LINESTRING (18.7006719 45.0336111, 18.7003435 45.0335308, 18.7000124 45.0334625, 18.6997487 45.033397, 18.6994522 45.0333148, 18.6993583 45.0332941)",,,,
219433542,False,3. ulica,residential,False,99.683,"LINESTRING (18.7006719 45.0336111, 18.7005994 45.0336746, 18.7005042 45.0337601, 18.700366 45.0338823, 18.7001593 45.0340549, 18.6999554 45.0342103, 18.6998411 45.0342873)",,,,
100874216,True,7. ulica,residential,False,105.392,"LINESTRING (18.6946162 45.0359605, 18.6949937 45.0359263, 18.6955139 45.0358856, 18.6959477 45.0358467)",,,,
102213632,True,12. ulica,residential,False,75.133,"LINESTRING (18.6946162 45.0359605, 18.6945918 45.0357294, 18.6945604 45.0354977, 18.6945383 45.0352871)",,,,
849290983,True,5. ulica,tertiary,False,104.832,"LINESTRING (18.69603 45.0365266, 18.6947061 45.0366432)",,,,
100712940,False,14. ulica,tertiary,False,75.878,"LINESTRING (18.69603 45.0365266, 18.6959633 45.035984, 18.6959477 45.0358467)",,,,
100712940,False,14. ulica,tertiary,True,74.206,"LINESTRING (18.69603 45.0365266, 18.6961069 45.037094, 18.6961022 45.0371522, 18.6960818 45.0371885)",,,,
100874194,True,6. ulica,residential,False,78.806,"LINESTRING (18.691512 45.0355543, 18.6915396 45.0357795, 18.6915964 45.0362605)",,,,
100874211,True,9. ulica,residential,False,117.221,"LINESTRING (18.691512 45.0355543, 18.6910665 45.0356143, 18.6905492 45.0357021, 18.6900546 45.0357784)",,,,
