osmid,lanes,highway,oneway,reversed,length,geometry
219169558,2,tertiary,False,True,80.069,"LINESTRING (26.1494961 -24.3847907, 26.1502585 -24.3846001)"
132403062,2,secondary,False,True,60.754000000000005,"LINESTRING (26.1494961 -24.3847907, 26.1493003 -24.3849049, 26.1492352 -24.3849373, 26.1491494 -24.3849751, 26.1489642 -24.3850386)"
"[373888424, 219169557, 373888438]",2,secondary,False,False,452.29999999999995,"LINESTRING (26.1494961 -24.3847907, 26.1495879 -24.384638, 26.1496161 -24.3845476, 26.1496295 -24.3844755, 26.1496354 -24.3843981, 26.1496416 -24.3842056, 26.1496523 -24.384048, 26.149663 -24.3839442, 26.1496764 -24.3838416, 26.1497059 -24.3837158, 26.1497609 -24.3835106, 26.1498453 -24.3832577, 26.1499648 -24.3827984, 26.1499809 -24.3827178, 26.1500023 -24.382636, 26.1500312 -24.3825902, 26.150056 -24.3825529, 26.1501043 -24.3825028, 26.1502813 -24.3823465, 26.1503376 -24.3822903, 26.1503825 -24.3822279, 26.1504167 -24.3821645, 26.1504429 -24.3820973, 26.1504677 -24.3820228, 26.1505474 -24.3817325, 26.1506675 -24.3812471, 26.1507024 -24.381147, 26.1507386 -24.3810566, 26.1507855 -24.3809747)"
219165360,,residential,False,True,116.32700000000001,"LINESTRING (26.1440756 -24.3847631, 26.1442041 -24.384638, 26.1443577 -24.3845323, 26.1445273 -24.3844261, 26.1446742 -24.3842996, 26.1447251 -24.3842019, 26.1447627 -24.3840845, 26.1447955 -24.3839917)"
399695931,,unclassified,False,False,50.289,"LINESTRING (26.1461227 -24.3836258, 26.1462358 -24.3836352, 26.1463428 -24.383659, 26.1466039 -24.3837311)"
650231148,,unclassified,False,False,79.616,"LINESTRING (26.1461227 -24.3836258, 26.145918 -24.3835155, 26.1455997 -24.3833815, 26.1454105 -24.3833295)"
650231148,,unclassified,False,True,81.56899999999999,"LINESTRING (26.1461227 -24.3836258, 26.146211 -24.3838013, 26.1463331 -24.3839992, 26.1465208 -24.384262)"
132403062,2,secondary,False,False,82.197,"LINESTRING (26.1465526 -24.3853379, 26.1473642 -24.3853425)"
219169562,,secondary,False,True,9.969,"LINESTRING (26.1465526 -24.3853379, 26.1465493 -24.3854275)"
219169556,,tertiary,False,False,119.762,"LINESTRING (26.1465526 -24.3853379, 26.1465279 -24.3851123, 26.1465208 -24.384262)"
"[219165361, 219329499, 219169556]",,tertiary,False,False,310.95799999999997,"LINESTRING (26.1468567 -24.3817704, 26.1467795 -24.3816058, 26.1467961 -24.3814719, 26.1468122 -24.3814493, 26.1469639 -24.3813866, 26.1472513 -24.3814831, 26.1473914 -24.3814098, 26.1474343 -24.3812675, 26.1474323 -24.3806452, 26.147432 -24.380554, 26.1474133 -24.3804855, 26.1473034 -24.3803194, 26.1472424 -24.3802364, 26.1471679 -24.3800433, 26.1470237 -24.3796152)"
219169556,,tertiary,False,True,59.655,"LINESTRING (26.1468567 -24.3817704, 26.1466194 -24.3820191, 26.1465642 -24.3822199)"
399695866,,residential,False,False,88.30499999999999,"LINESTRING (26.1468567 -24.3817704, 26.1469507 -24.3818457, 26.1470429 -24.381931, 26.1471792 -24.3820955, 26.1473549 -24.382335, 26.1473965 -24.3823894)"
132403062,2,secondary,False,True,82.197,"LINESTRING (26.1473642 -24.3853425, 26.1465526 -24.3853379)"
132403062,2,secondary,False,False,168.21499999999997,"LINESTRING (26.1473642 -24.3853425, 26.1478901 -24.3853513, 26.1479893 -24.3853367, 26.1480778 -24.3853159, 26.1481583 -24.3852841, 26.1484359 -24.3851571, 26.1485392 -24.3851254, 26.1486264 -24.3851034, 26.1489642 -24.3850386)"
399695868,,residential,False,False,74.3,"LINESTRING (26.1473642 -24.3853425, 26.1472957 -24.3852487, 26.1472187 -24.3850906, 26.1471258 -24.3849157, 26.1470712 -24.3848268, 26.1470093 -24.3847613)"
219593542,,unclassified,False,False,47.437,"LINESTRING (26.1449893 -24.3833358, 26.1445219 -24.3833635)"
219165360,,residential,False,False,73.898,"LINESTRING (26.1449893 -24.3833358, 26.1448827 -24.3836687, 26.1448025 -24.383978)"
650231148,,unclassified,False,True,42.724000000000004,"LINESTRING (26.1449893 -24.3833358, 26.1452766 -24.383322, 26.1454105 -24.3833295)"
219169556,,tertiary,False,False,59.63,"LINESTRING (26.1465208 -24.384262, 26.1466039 -24.3837311)"
219169556,,tertiary,False,True,119.762,"LINESTRING (26.1465208 -24.384262, 26.1465279 -24.3851123, 26.1465526 -24.3853379)"
312561479,,residential,False,False,76.83999999999999,"LINESTRING (26.1465208 -24.384262, 26.1463222 -24.3842101, 26.1461585 -24.3841971, 26.1460964 -24.3841958, 26.1460336 -24.3842047, 26.145977 -24.3842306, 26.1459233 -24.3842655, 26.1458657 -24.3842973, 26.1458105 -24.3843293)"
650231148,,unclassified,False,False,81.56899999999999,"LINESTRING (26.1465208 -24.384262, 26.1463331 -24.3839992, 26.146211 -24.3838013, 26.1461227 -24.3836258)"
219169558,2,tertiary,False,False,80.069,"LINESTRING (26.1502585 -24.3846001, 26.1494961 -24.3847907)"
"[219597923, 219169558]",2,tertiary,False,True,211.98,"LINESTRING (26.1502585 -24.3846001, 26.1505906 -24.384438, 26.1508024 -24.3843116, 26.1512089 -24.384003, 26.1515741 -24.3836416, 26.1518447 -24.38338)"
219477766,,residential,False,True,150.34,"LINESTRING (26.1502585 -24.3846001, 26.1502209 -24.3847406, 26.150178 -24.3848969, 26.1500707 -24.3849971, 26.1499071 -24.3851339, 26.1497918 -24.3852267, 26.1497029 -24.3852916, 26.1495027 -24.3852879, 26.1492077 -24.3852174)"
219959112,,tertiary,False,False,97.507,"LINESTRING (26.1468749 -24.3791547, 26.1468836 -24.3790765, 26.1469084 -24.3789953, 26.1469641 -24.3789098, 26.1474086 -24.3784474)"
"[219959112, 219165361]",,tertiary,False,True,53.385999999999996,"LINESTRING (26.1468749 -24.3791547, 26.1469191 -24.3793062, 26.1470237 -24.3796152)"
219959123,,tertiary,False,False,6.955,"LINESTRING (26.1474086 -24.3784474, 26.1474699 -24.3784756)"
219959112,,tertiary,False,True,97.507,"LINESTRING (26.1474086 -24.3784474, 26.1469641 -24.3789098, 26.1469084 -24.3789953, 26.1468836 -24.3790765, 26.1468749 -24.3791547)"
219710233,2,secondary,False,False,70.304,"LINESTRING (26.1512539 -24.3805067, 26.1515167 -24.3802216, 26.151689 -24.3800143)"
219959123,,tertiary,False,True,131.22,"LINESTRING (26.1512539 -24.3805067, 26.1507225 -24.380309, 26.1502692 -24.3801294, 26.1500667 -24.3800354)"
373888438,2,secondary,False,True,70.505,"LINESTRING (26.1512539 -24.3805067, 26.150929 -24.3808123, 26.1508566 -24.3808868, 26.1507855 -24.3809747)"
219299124,,residential,False,False,29.351,"LINESTRING (26.15334 -24.3818681, 26.1536103 -24.3819633)"
219959104,2,tertiary,False,False,9.389,"LINESTRING (26.15334 -24.3818681, 26.1532494 -24.381886)"
219299124,,residential,False,True,29.351,"LINESTRING (26.1536103 -24.3819633, 26.15334 -24.3818681)"
219299136,,residential,False,True,189.81300000000002,"LINESTRING (26.1536103 -24.3819633, 26.1529541 -24.3826128, 26.1526 -24.382901, 26.1522736 -24.3831563)"
219299136,,residential,False,False,50.056,"LINESTRING (26.1518447 -24.38338, 26.1522736 -24.3831563)"
"[219597923, 219169558]",2,tertiary,False,False,211.98,"LINESTRING (26.1518447 -24.38338, 26.1515741 -24.3836416, 26.1512089 -24.384003, 26.1508024 -24.3843116, 26.1505906 -24.384438, 26.1502585 -24.3846001)"
219597923,2,tertiary,False,True,133.337,"LINESTRING (26.1518447 -24.38338, 26.1523864 -24.3827956, 26.1526992 -24.3824678)"
219597917,2,secondary,False,False,13.809999999999999,"LINESTRING (26.151689 -24.3800143, 26.1516996 -24.3799393, 26.1517177 -24.3798936)"
219597925,,residential,False,True,180.265,"LINESTRING (26.151689 -24.3800143, 26.1517146 -24.380027, 26.1522236 -24.3802217, 26.152356 -24.3803066, 26.1524854 -24.3804398, 26.1525351 -24.3804998, 26.1527834 -24.3808001, 26.1528817 -24.3809344, 26.1529434 -24.3810777)"
219710233,2,secondary,False,True,70.304,"LINESTRING (26.151689 -24.3800143, 26.1515167 -24.3802216, 26.1512539 -24.3805067)"
219597925,,residential,False,True,12.132,"LINESTRING (26.1529434 -24.3810777, 26.1529427 -24.3811868)"
313915007,,residential,False,False,5.496,"LINESTRING (26.1529434 -24.3810777, 26.1529816 -24.3810426)"
219597925,,residential,False,False,180.265,"LINESTRING (26.1529434 -24.3810777, 26.1528817 -24.3809344, 26.1527834 -24.3808001, 26.1525351 -24.3804998, 26.1524854 -24.3804398, 26.152356 -24.3803066, 26.1522236 -24.3802217, 26.1517146 -24.380027, 26.151689 -24.3800143)"
219597925,,residential,False,False,33.678,"LINESTRING (26.1528921 -24.381485, 26.1529422 -24.3812643, 26.1529427 -24.3811868)"
219597925,,residential,False,True,57.474000000000004,"LINESTRING (26.1528921 -24.381485, 26.152984 -24.3815738, 26.1532494 -24.381886)"
313915004,,residential,False,False,39.782000000000004,"LINESTRING (26.1528921 -24.381485, 26.1527932 -24.3814133, 26.15271 -24.3813667, 26.1526591 -24.3813436, 26.1526161 -24.3813351, 26.1525508 -24.3813183)"
219959104,2,tertiary,False,True,9.389,"LINESTRING (26.1532494 -24.381886, 26.15334 -24.3818681)"
219597923,2,tertiary,False,False,86.65899999999999,"LINESTRING (26.1532494 -24.381886, 26.1531633 -24.3819263, 26.15308 -24.3819875, 26.1530252 -24.3820362, 26.1529796 -24.3820949, 26.152875 -24.3822268, 26.1526992 -24.3824678)"
219597925,,residential,False,False,57.474000000000004,"LINESTRING (26.1532494 -24.381886, 26.152984 -24.3815738, 26.1528921 -24.381485)"
219477766,,residential,False,True,31.677,"LINESTRING (26.1492077 -24.3852174, 26.1489642 -24.3850386)"
219477766,,residential,False,False,150.33999999999997,"LINESTRING (26.1492077 -24.3852174, 26.1495027 -24.3852879, 26.1497029 -24.3852916, 26.1497918 -24.3852267, 26.1499071 -24.3851339, 26.1500707 -24.3849971, 26.150178 -24.3848969, 26.1502209 -24.3847406, 26.1502585 -24.3846001)"
219597916,,residential,False,False,104.056,"LINESTRING (26.1492077 -24.3852174, 26.1492277 -24.385352, 26.1492365 -24.3855314, 26.1492419 -24.3857267, 26.1492404 -24.3858137, 26.1492457 -24.3859079, 26.1492685 -24.3860155, 26.1493125 -24.3861435)"
