osmid,name,highway,oneway,reversed,length,geometry
273383352,Rua Conrado Caldeira,residential,False,False,212.16,"LINESTRING (-42.8097671 -14.9192313, -42.8110841 -14.9206529)"
273456197,Rua Pedro Alvares Cabral,residential,False,False,63.116,"LINESTRING (-42.8097671 -14.9192313, -42.8102097 -14.9188581)"
273456197,Rua Pedro Alvares Cabral,residential,False,True,39.303,"LINESTRING (-42.8097671 -14.9192313, -42.8094935 -14.9194659)"
273454933,Rua Getulio Vagas,tertiary,False,False,75.047,"LINESTRING (-42.8104939 -14.9275174, -42.8101025 -14.9269584)"
427310916,Rua Alvaro Cruz,secondary,False,False,108.56,"LINESTRING (-42.8104939 -14.9275174, -42.8110453 -14.9271372, -42.8113154 -14.926949)"
273454942,Rua Delfino José de Sá,residential,False,False,73.053,"LINESTRING (-42.8058918 -14.9249334, -42.8055152 -14.9243864)"
273454942,Rua Delfino José de Sá,residential,False,True,79.849,"LINESTRING (-42.8058918 -14.9249334, -42.8063034 -14.9255313)"
273454956,,residential,False,False,97.51,"LINESTRING (-42.8058918 -14.9249334, -42.805998 -14.9240625)"
1021194966,Avenida Juraci Antunes Cruz,residential,False,False,128.251,"LINESTRING (-42.8058918 -14.9249334, -42.8068753 -14.9242798)"
1021194966,Avenida Juraci Antunes Cruz,residential,False,True,133.276,"LINESTRING (-42.8058918 -14.9249334, -42.8048311 -14.9255548)"
273454956,,residential,False,True,143.51,"LINESTRING (-42.8058918 -14.9249334, -42.8056878 -14.9256737, -42.8055422 -14.9260406, -42.8055139 -14.9261693)"
273454942,Rua Delfino José de Sá,residential,False,True,76.248,"LINESTRING (-42.804751 -14.9232766, -42.8051441 -14.9238475)"
841181633,Rua Pedro Alvares Cabral,residential,False,False,106.555,"LINESTRING (-42.804751 -14.9232766, -42.805586 -14.9227596)"
273454945,Rua Padre Martin Kirscht,residential,False,False,83.86,"LINESTRING (-42.8128688 -14.9258662, -42.8124396 -14.9252363)"
427310916,Rua Alvaro Cruz,secondary,False,True,73.678,"LINESTRING (-42.8128688 -14.9258662, -42.8123127 -14.9262539)"
427310916,Rua Alvaro Cruz,secondary,False,False,107.125,"LINESTRING (-42.8128688 -14.9258662, -42.8129121 -14.9258361, -42.8136886 -14.9253179)"
427310916,Rua Alvaro Cruz,secondary,False,False,60.173,"LINESTRING (-42.8113154 -14.926949, -42.8117696 -14.9266324)"
827527748,Rua Padre José Puche,tertiary,False,False,58.618,"LINESTRING (-42.8113154 -14.926949, -42.811786 -14.9272157)"
273454946,Rua Padre José Puche,residential,False,True,73.43900000000001,"LINESTRING (-42.8113154 -14.926949, -42.8109977 -14.9266785, -42.8108483 -14.9264728)"
427310916,Rua Alvaro Cruz,secondary,False,True,108.56,"LINESTRING (-42.8113154 -14.926949, -42.8110453 -14.9271372, -42.8104939 -14.9275174)"
273454940,Rua Juvenal Ribeiro da Cruz,residential,False,False,77.431,"LINESTRING (-42.809171 -14.9276146, -42.8087739 -14.9270335)"
273454948,Rua Ursulino Sales,residential,False,False,123.857,"LINESTRING (-42.809171 -14.9276146, -42.8101025 -14.9269584)"
273454933,Rua Getulio Vagas,tertiary,False,False,77.055,"LINESTRING (-42.8101025 -14.9269584, -42.8097007 -14.9263844)"
273454933,Rua Getulio Vagas,tertiary,False,True,75.047,"LINESTRING (-42.8101025 -14.9269584, -42.8104939 -14.9275174)"
273454948,Rua Ursulino Sales,residential,False,False,96.626,"LINESTRING (-42.8101025 -14.9269584, -42.8108483 -14.9264728)"
273454948,Rua Ursulino Sales,residential,False,True,123.857,"LINESTRING (-42.8101025 -14.9269584, -42.809171 -14.9276146)"
273454946,Rua Padre José Puche,residential,False,True,18.931,"LINESTRING (-42.8108483 -14.9264728, -42.810747 -14.9263335)"
273454948,Rua Ursulino Sales,residential,False,True,96.626,"LINESTRING (-42.8108483 -14.9264728, -42.8101025 -14.9269584)"
273454946,Rua Padre José Puche,residential,False,False,73.43900000000001,"LINESTRING (-42.8108483 -14.9264728, -42.8109977 -14.9266785, -42.8113154 -14.926949)"
273454940,Rua Juvenal Ribeiro da Cruz,residential,False,False,76.72,"LINESTRING (-42.8087739 -14.9270335, -42.8083805 -14.9264577)"
273454940,Rua Juvenal Ribeiro da Cruz,residential,False,True,77.431,"LINESTRING (-42.8087739 -14.9270335, -42.809171 -14.9276146)"
273454949,Rua São Vicente de Paula,residential,False,False,122.985,"LINESTRING (-42.8087739 -14.9270335, -42.8097007 -14.9263844)"
273454933,Rua Getulio Vagas,tertiary,False,True,77.055,"LINESTRING (-42.8097007 -14.9263844, -42.8101025 -14.9269584)"
273454949,Rua São Vicente de Paula,residential,False,False,95.263,"LINESTRING (-42.8097007 -14.9263844, -42.8104272 -14.9258933)"
273454949,Rua São Vicente de Paula,residential,False,True,122.985,"LINESTRING (-42.8097007 -14.9263844, -42.8087739 -14.9270335)"
273454933,Rua Getulio Vagas,tertiary,False,False,75.44800000000001,"LINESTRING (-42.8097007 -14.9263844, -42.8095846 -14.9262185, -42.8093051 -14.9258238)"
273454946,Rua Padre José Puche,residential,False,False,59.804,"LINESTRING (-42.8104272 -14.9258933, -42.810747 -14.9263335)"
273454946,Rua Padre José Puche,residential,False,True,23.37,"LINESTRING (-42.8104272 -14.9258933, -42.8103022 -14.9257213)"
273454949,Rua São Vicente de Paula,residential,False,True,95.263,"LINESTRING (-42.8104272 -14.9258933, -42.8097007 -14.9263844)"
273454949,Rua São Vicente de Paula,residential,False,False,62.134,"LINESTRING (-42.8104272 -14.9258933, -42.8106665 -14.9255468, -42.8107644 -14.9254406)"
273454949,Rua São Vicente de Paula,residential,False,False,15.47,"LINESTRING (-42.8107644 -14.9254406, -42.8108832 -14.925362)"
428657972,,residential,False,False,58.655,"LINESTRING (-42.8107644 -14.9254406, -42.8103022 -14.9257213)"
273454949,Rua São Vicente de Paula,residential,False,True,62.134,"LINESTRING (-42.8107644 -14.9254406, -42.8106665 -14.9255468, -42.8104272 -14.9258933)"
273454945,Rua Padre Martin Kirscht,residential,False,True,80.437,"LINESTRING (-42.8120311 -14.9246301, -42.8124396 -14.9252363)"
273454949,Rua São Vicente de Paula,residential,False,False,95.626,"LINESTRING (-42.8120311 -14.9246301, -42.8127767 -14.9241605)"
273454949,Rua São Vicente de Paula,residential,False,True,74.778,"LINESTRING (-42.8120311 -14.9246301, -42.8114439 -14.9249911)"
273454945,Rua Padre Martin Kirscht,residential,False,False,97.535,"LINESTRING (-42.8120311 -14.9246301, -42.8119751 -14.9245547, -42.8115225 -14.9239036)"
273454949,Rua São Vicente de Paula,residential,False,True,110.681,"LINESTRING (-42.8136335 -14.9236079, -42.8127767 -14.9241605)"
428087211,Rua Diogenes Antunes Caldeira,residential,False,True,99.699,"LINESTRING (-42.8136335 -14.9236079, -42.8130327 -14.9229246)"
273454946,Rua Padre José Puche,residential,False,False,18.931,"LINESTRING (-42.810747 -14.9263335, -42.8108483 -14.9264728)"
273454946,Rua Padre José Puche,residential,False,True,59.804,"LINESTRING (-42.810747 -14.9263335, -42.8104272 -14.9258933)"
273454950,Rua Ursulino Sales,residential,False,False,72.092,"LINESTRING (-42.810747 -14.9263335, -42.8113042 -14.9259723)"
273454945,Rua Padre Martin Kirscht,residential,False,False,80.437,"LINESTRING (-42.8124396 -14.9252363, -42.8120311 -14.9246301)"
273454945,Rua Padre Martin Kirscht,residential,False,True,83.86,"LINESTRING (-42.8124396 -14.9252363, -42.8128688 -14.9258662)"
273454950,Rua Ursulino Sales,residential,False,False,100.853,"LINESTRING (-42.8124396 -14.9252363, -42.8131956 -14.9246987)"
273454950,Rua Ursulino Sales,residential,False,True,74.11,"LINESTRING (-42.8124396 -14.9252363, -42.8118668 -14.9256076)"
273454942,Rua Delfino José de Sá,residential,False,False,69.88,"LINESTRING (-42.8074049 -14.927131, -42.8070446 -14.9266078)"
273454951,Rua José Bonifacio,residential,False,False,128.813,"LINESTRING (-42.8074049 -14.927131, -42.8083805 -14.9264577)"
273454940,Rua Juvenal Ribeiro da Cruz,residential,False,False,66.684,"LINESTRING (-42.8083805 -14.9264577, -42.8080386 -14.9259572)"
273454940,Rua Juvenal Ribeiro da Cruz,residential,False,True,76.72,"LINESTRING (-42.8083805 -14.9264577, -42.8087739 -14.9270335)"
273454951,Rua José Bonifacio,residential,False,False,121.808,"LINESTRING (-42.8083805 -14.9264577, -42.8093051 -14.9258238)"
273454951,Rua José Bonifacio,residential,False,True,128.813,"LINESTRING (-42.8083805 -14.9264577, -42.8074049 -14.927131)"
273454933,Rua Getulio Vagas,tertiary,False,False,81.851,"LINESTRING (-42.8093051 -14.9258238, -42.8088749 -14.9252163)"
273454951,Rua José Bonifacio,residential,False,False,94.264,"LINESTRING (-42.8093051 -14.9258238, -42.8100356 -14.9253543)"
273454951,Rua José Bonifacio,residential,False,True,121.808,"LINESTRING (-42.8093051 -14.9258238, -42.8083805 -14.9264577)"
273454933,Rua Getulio Vagas,tertiary,False,True,75.44800000000001,"LINESTRING (-42.8093051 -14.9258238, -42.8095846 -14.9262185, -42.8097007 -14.9263844)"
273454946,Rua Padre José Puche,residential,False,False,49.858,"LINESTRING (-42.8100356 -14.9253543, -42.8103022 -14.9257213)"
273454946,Rua Padre José Puche,residential,False,True,48.604,"LINESTRING (-42.8100356 -14.9253543, -42.8097756 -14.9249966)"
273454951,Rua José Bonifacio,residential,False,True,94.264,"LINESTRING (-42.8100356 -14.9253543, -42.8093051 -14.9258238)"
273454952,Rua Deputado Edgar Pereira,residential,False,False,135.656,"LINESTRING (-42.8060114 -14.927309, -42.8070446 -14.9266078)"
273454955,Rua 3,residential,False,False,75.184,"LINESTRING (-42.8060114 -14.927309, -42.8056278 -14.9267435)"
273454942,Rua Delfino José de Sá,residential,False,False,70.942,"LINESTRING (-42.8070446 -14.9266078, -42.8066789 -14.9260766)"
273454942,Rua Delfino José de Sá,residential,False,True,69.88,"LINESTRING (-42.8070446 -14.9266078, -42.8074049 -14.927131)"
273454952,Rua Deputado Edgar Pereira,residential,False,False,128.994,"LINESTRING (-42.8070446 -14.9266078, -42.8080386 -14.9259572)"
273454952,Rua Deputado Edgar Pereira,residential,False,True,135.656,"LINESTRING (-42.8070446 -14.9266078, -42.8060114 -14.927309)"
273454940,Rua Juvenal Ribeiro da Cruz,residential,False,True,66.684,"LINESTRING (-42.8080386 -14.9259572, -42.8083805 -14.9264577)"
273454952,Rua Deputado Edgar Pereira,residential,False,False,121.906,"LINESTRING (-42.8080386 -14.9259572, -42.8088749 -14.9252163)"
273454952,Rua Deputado Edgar Pereira,residential,False,True,128.994,"LINESTRING (-42.8080386 -14.9259572, -42.8070446 -14.9266078)"
273454940,Rua Juvenal Ribeiro da Cruz,residential,False,False,72.0,"LINESTRING (-42.8080386 -14.9259572, -42.8080266 -14.9259396, -42.8076671 -14.9254183)"
273454933,Rua Getulio Vagas,tertiary,False,True,81.851,"LINESTRING (-42.8088749 -14.9252163, -42.8093051 -14.9258238)"
273454952,Rua Deputado Edgar Pereira,residential,False,False,92.668,"LINESTRING (-42.8088749 -14.9252163, -42.8095298 -14.924674)"
273454952,Rua Deputado Edgar Pereira,residential,False,True,121.906,"LINESTRING (-42.8088749 -14.9252163, -42.8080386 -14.9259572)"
273454933,Rua Getulio Vagas,tertiary,False,False,67.625,"LINESTRING (-42.8088749 -14.9252163, -42.8088135 -14.9251296, -42.8084977 -14.9247296)"
273454946,Rua Padre José Puche,residential,False,True,70.152,"LINESTRING (-42.8095298 -14.924674, -42.8091556 -14.924157)"
273454952,Rua Deputado Edgar Pereira,residential,False,False,76.143,"LINESTRING (-42.8095298 -14.924674, -42.8100695 -14.9242302)"
