osmid,name,highway,oneway,reversed,length,geometry,junction
276988984,Rua Senador Guilherme Palmeira,residential,False,False,59.899,"LINESTRING (-36.5023009 -9.7345338, -36.5026586 -9.7349411)",
276989009,Rua Senador Guilherme Palmeira,residential,False,True,58.864,"LINESTRING (-36.5023009 -9.7345338, -36.5017892 -9.7346947)",
276988986,Rua da Cohab,residential,False,True,48.678,"LINESTRING (-36.5042678 -9.7347146, -36.5039982 -9.7350625)",
276988975,Rua Luiz Gonzaga Bezerra da Silva,residential,True,False,44.994,"LINESTRING (-36.5017892 -9.7346947, -36.5018351 -9.7350968)",
276989009,Rua Senador Guilherme Palmeira,residential,False,False,58.864,"LINESTRING (-36.5017892 -9.7346947, -36.5023009 -9.7345338)",
276989009,Rua Senador Guilherme Palmeira,residential,False,True,10.476,"LINESTRING (-36.5017892 -9.7346947, -36.5016964 -9.7347173)",
276989009,Rua Senador Guilherme Palmeira,residential,False,False,10.476,"LINESTRING (-36.5016964 -9.7347173, -36.5017892 -9.7346947)",
761885479,Rua da Cohab Nova,residential,False,True,56.479,"LINESTRING (-36.5016964 -9.7347173, -36.5011905 -9.7348141)",
276988950,Conjunto Habitacional José Ferreira Reis,residential,False,False,45.342,"LINESTRING (-36.5011905 -9.7348141, -36.5012661 -9.735215)",
761885479,Rua da Cohab Nova,residential,False,False,56.479,"LINESTRING (-36.5011905 -9.7348141, -36.5016964 -9.7347173)",
761885479,Rua da Cohab Nova,residential,False,True,63.115,"LINESTRING (-36.5011905 -9.7348141, -36.5006225 -9.7349078)",
276988968,Rua Cohab Nova,residential,False,False,45.403,"LINESTRING (-36.5006225 -9.7349078, -36.5007305 -9.735302)",
761885479,Rua da Cohab Nova,residential,False,False,63.115,"LINESTRING (-36.5006225 -9.7349078, -36.5011905 -9.7348141)",
276988984,Rua Senador Guilherme Palmeira,residential,False,False,126.165,"LINESTRING (-36.5026586 -9.7349411, -36.5034485 -9.7357665)",
276988984,Rua Senador Guilherme Palmeira,residential,False,True,59.899,"LINESTRING (-36.5026586 -9.7349411, -36.5023009 -9.7345338)",
276988995,,residential,False,False,91.896,"LINESTRING (-36.5026586 -9.7349411, -36.5018351 -9.7350968)",
276988986,Rua da Cohab,residential,False,False,48.678,"LINESTRING (-36.5039982 -9.7350625, -36.5042678 -9.7347146)",
276988986,Rua da Cohab,residential,False,True,50.837,"LINESTRING (-36.5039982 -9.7350625, -36.5037712 -9.7354612)",
