osmid,oneway,ref,highway,reversed,length,geometry,name
937488814,False,BR-277,trunk,True,40.619,"LINESTRING (-52.5433767 -25.3070986, -52.5429769 -25.3070456)",
937488814,False,BR-277,trunk,False,475.99700000000007,"LINESTRING (-52.5433767 -25.3070986, -52.5446773 -25.3073033, -52.5452599 -25.3074322, -52.545867 -25.307618, -52.5472144 -25.3081129, -52.5478858 -25.3083478)",
974401692,True,,trunk_link,False,47.57,"LINESTRING (-52.5433767 -25.3070986, -52.5431228 -25.3070947, -52.5429109 -25.3071457)",
355160567,False,,residential,False,99.354,"LINESTRING (-52.5450888 -25.3076581, -52.5441204 -25.3074794)",Rua Rio Grande do Sul
355160592,False,,residential,True,116.746,"LINESTRING (-52.5450888 -25.3076581, -52.5450714 -25.3087079)",Rua João Passarin
355160589,False,,residential,False,180.85500000000002,"LINESTRING (-52.5450888 -25.3076581, -52.5460738 -25.3080723, -52.5463152 -25.3081742, -52.5463849 -25.3082517, -52.546409 -25.308373, -52.5464225 -25.308553)",Rua Vergilho Macarin
355160567,False,,residential,True,34.63,"LINESTRING (-52.5424051 -25.3072284, -52.5427471 -25.3072658)",Rua Rio Grande do Sul
355160567,False,,residential,False,86.959,"LINESTRING (-52.5424051 -25.3072284, -52.5418928 -25.3072002, -52.541541 -25.307202)",Rua Rio Grande do Sul
570729347,True,,trunk_link,False,18.724,"LINESTRING (-52.5424051 -25.3072284, -52.54242 -25.3071505, -52.5424334 -25.307062)",
355160568,False,,residential,False,64.852,"LINESTRING (-52.5424144 -25.3066941, -52.5430534 -25.3067744)",Rua Santa Catarina
355160568,False,,residential,True,31.517,"LINESTRING (-52.5424144 -25.3066941, -52.542101 -25.3066859)",Rua Santa Catarina
355160568,False,,residential,False,145.116,"LINESTRING (-52.5433186 -25.3068159, -52.5447336 -25.3070744)",Rua Santa Catarina
355160568,False,,residential,True,27.055,"LINESTRING (-52.5433186 -25.3068159, -52.5430534 -25.3067744)",Rua Santa Catarina
570729351,True,,trunk_link,False,32.424,"LINESTRING (-52.5433186 -25.3068159, -52.5433159 -25.3069032, -52.5433266 -25.3069783, -52.5433767 -25.3070986)",
355160568,False,,residential,True,145.116,"LINESTRING (-52.5447336 -25.3070744, -52.5433186 -25.3068159)",Rua Santa Catarina
355160567,False,,residential,True,123.25999999999999,"LINESTRING (-52.5403208 -25.3072946, -52.5405121 -25.3072669, -52.5407887 -25.3072335, -52.54127 -25.3072044, -52.541541 -25.307202)",Rua Rio Grande do Sul
"[355160582, 355160583]",False,,residential,False,222.52800000000002,"LINESTRING (-52.5403208 -25.3072946, -52.5405639 -25.308101, -52.5405934 -25.3081798, -52.5406726 -25.3082271, -52.5417728 -25.3081669)","['Rua Argentino Veronese', 'Rua São João Batista']"
355160583,False,,residential,True,114.246,"LINESTRING (-52.5429087 -25.3082009, -52.5417728 -25.3081669)",Rua São João Batista
355160585,False,,residential,False,81.897,"LINESTRING (-52.5429087 -25.3082009, -52.5430761 -25.3089217)",Rua Aldo Domingos Passarin
355160585,False,,residential,True,105.24,"LINESTRING (-52.5429087 -25.3082009, -52.5427471 -25.3072658)",Rua Aldo Domingos Passarin
355160583,False,,residential,False,114.246,"LINESTRING (-52.5417728 -25.3081669, -52.5429087 -25.3082009)",Rua São João Batista
355160584,False,,residential,False,109.793,"LINESTRING (-52.5417728 -25.3081669, -52.541541 -25.307202)",
"[355160582, 355160583]",False,,residential,True,222.52800000000002,"LINESTRING (-52.5417728 -25.3081669, -52.5406726 -25.3082271, -52.5405934 -25.3081798, -52.5405639 -25.308101, -52.5403208 -25.3072946)","['Rua Argentino Veronese', 'Rua São João Batista']"
355160584,False,,residential,True,109.793,"LINESTRING (-52.541541 -25.307202, -52.5417728 -25.3081669)",
355160567,False,,residential,False,123.25999999999999,"LINESTRING (-52.541541 -25.307202, -52.54127 -25.3072044, -52.5407887 -25.3072335, -52.5405121 -25.3072669, -52.5403208 -25.3072946)",Rua Rio Grande do Sul
355160567,False,,residential,True,86.959,"LINESTRING (-52.541541 -25.307202, -52.5418928 -25.3072002, -52.5424051 -25.3072284)",Rua Rio Grande do Sul
355160567,False,,residential,False,34.63,"LINESTRING (-52.5427471 -25.3072658, -52.5424051 -25.3072284)",Rua Rio Grande do Sul
355160567,False,,residential,True,6.907,"LINESTRING (-52.5427471 -25.3072658, -52.5428149 -25.3072759)",Rua Rio Grande do Sul
355160585,False,,residential,False,105.24,"LINESTRING (-52.5427471 -25.3072658, -52.5429087 -25.3082009)",Rua Aldo Domingos Passarin
355160586,False,,residential,False,37.439,"LINESTRING (-52.5427183 -25.3090374, -52.5430903 -25.3090209)",
