osmid,oneway,name,highway,reversed,length,geometry,ref,junction
143958036,True,Rua José Augusto Escobar,residential,False,95.273,"LINESTRING (-49.657833 -22.2111114, -49.6579829 -22.2119569)",,
613968604,True,Rua Carlos Ferrari,residential,False,93.734,"LINESTRING (-49.657833 -22.2111114, -49.6569347 -22.2112491)",,
143954888,False,Rua Augusto N. Castro,residential,False,94.678,"LINESTRING (-49.6596488 -22.2108656, -49.6595017 -22.2100251)",,
613968604,True,Rua Carlos Ferrari,residential,False,91.042,"LINESTRING (-49.6596488 -22.2108656, -49.6587748 -22.2109907)",,
613968604,True,Rua Carlos Ferrari,residential,False,94.97,"LINESTRING (-49.6569347 -22.2112491, -49.6560237 -22.2113838)",,
889483069,True,Rua Prefeito Salviano Pereira de Andrade,residential,False,94.071,"LINESTRING (-49.6569347 -22.2112491, -49.6567826 -22.2104149)",,
613968604,True,Rua Carlos Ferrari,residential,False,93.316,"LINESTRING (-49.6551289 -22.2114758, -49.6542321 -22.2115981)",,
881908439,True,Rua Barão do Rio Branco,secondary,False,96.208,"LINESTRING (-49.6551289 -22.2114758, -49.6549973 -22.2106192)",,
864908279,True,Rua Voluntários de Trinta e Dois,residential,False,97.7,"LINESTRING (-49.653597 -22.2116081, -49.6534666 -22.2124784)",,
139940111,False,Rua Voluntários de Trinta e Dois,residential,True,88.66499999999999,"LINESTRING (-49.653597 -22.2116081, -49.6536024 -22.2115701, -49.653617 -22.2114685, -49.6537318 -22.2108206)",,
864893600,True,Rua Plinio de Godóy,residential,False,41.018,"LINESTRING (-49.653597 -22.2116081, -49.6534669 -22.2115106, -49.6532797 -22.2113852)",,
139940111,False,Rua Voluntários de Trinta e Dois,residential,False,3.924,"LINESTRING (-49.6537393 -22.210786, -49.6537318 -22.2108206)",,
144344902,False,Rua Sílvio Serveline,residential,False,96.105,"LINESTRING (-49.6537393 -22.210786, -49.6529867 -22.2102746)",,
864893603,True,Rua Heitor Penteado,residential,False,36.085,"LINESTRING (-49.6537393 -22.210786, -49.6540886 -22.2107588)",,
889472664,True,Rua Heitor Penteado,residential,False,95.609,"LINESTRING (-49.6567826 -22.2104149, -49.6577004 -22.2102833)",,
889483069,True,Rua Prefeito Salviano Pereira de Andrade,residential,False,94.619,"LINESTRING (-49.6567826 -22.2104149, -49.6566716 -22.2095702)",,
137732322,False,Rua Minas Gerais,residential,False,92.628,"LINESTRING (-49.6584686 -22.2093259, -49.6593571 -22.2091944)",,
137732322,False,Rua Minas Gerais,residential,True,93.925,"LINESTRING (-49.6584686 -22.2093259, -49.6575664 -22.2094517)",,
143954876,True,Rua Santos Dumont,residential,False,95.141,"LINESTRING (-49.6584686 -22.2093259, -49.6583333 -22.2084795)",,
864908278,True,Rua Padre Toledo Leite,residential,False,98.806,"LINESTRING (-49.6545765 -22.2081122, -49.65363 -22.2082595)",,
139897224,True,Rua Coronel Joaquim Piza,secondary,False,95.914,"LINESTRING (-49.6539411 -22.2099071, -49.6540886 -22.2107588)",SP-349,
864893602,True,Rua Minas Gerais,residential,False,78.341,"LINESTRING (-49.6539411 -22.2099071, -49.6531873 -22.2100038)",,
137732322,False,Rua Minas Gerais,residential,False,94.224,"LINESTRING (-49.6557609 -22.2096549, -49.6566716 -22.2095702)",,
864893602,True,Rua Minas Gerais,residential,False,94.203,"LINESTRING (-49.6557609 -22.2096549, -49.6548555 -22.2097778)",,
889483068,True,Rua Sargento Wilson Abel de Oliveira,residential,False,99.654,"LINESTRING (-49.6557609 -22.2096549, -49.6558809 -22.2105442)",,
889509357,False,Rua Sargento Wilson Abel de Oliveira,residential,True,95.424,"LINESTRING (-49.6557609 -22.2096549, -49.655631 -22.2088052)",,
889483065,True,Rua Tiradentes,residential,False,92.305,"LINESTRING (-49.6565329 -22.2087198, -49.6574219 -22.2086117)",,
889492062,False,Rua Tiradentes,residential,True,93.331,"LINESTRING (-49.6565329 -22.2087198, -49.655631 -22.2088052)",,
142035450,False,Rua Fausto Floriano de Toledo,residential,True,37.9,"LINESTRING (-49.6525719 -22.2093035, -49.6523745 -22.2095912)",,
144344900,False,Rua José Agostinho Barreto,residential,False,92.629,"LINESTRING (-49.6525719 -22.2093035, -49.6518359 -22.2088243)",,
144344903,False,Rua Bento Sampaio Vidal,residential,True,103.21,"LINESTRING (-49.6525719 -22.2093035, -49.6525933 -22.2092813, -49.6526274 -22.2092658, -49.6535446 -22.2091104)",,
139898244,False,Rua Alfredo Souza Castro,residential,False,115.107,"LINESTRING (-49.652738 -22.2083935, -49.6535446 -22.2091104)",,
139898244,False,Rua Alfredo Souza Castro,residential,True,2.291,"LINESTRING (-49.652738 -22.2083935, -49.6527223 -22.2083789)",,
137732306,False,Rua Heitor Penteado,residential,True,92.192,"LINESTRING (-49.6586167 -22.210152, -49.6595017 -22.2100251)",,
143954876,True,Rua Santos Dumont,residential,False,93.115,"LINESTRING (-49.6586167 -22.210152, -49.6584686 -22.2093259)",,
142035455,False,Rua Quinze de Novembro,residential,False,11.794,"LINESTRING (-49.6531873 -22.2100038, -49.6531195 -22.2100893)",,
881916801,True,Rua Quinze de Novembro,residential,False,95.74799999999999,"LINESTRING (-49.6531873 -22.2100038, -49.6535888 -22.2094699, -49.6537087 -22.2093105, -49.6537187 -22.2092971)",,
143957775,False,Rua Gabriela,residential,False,12.374,"LINESTRING (-49.6566912 -22.2124754, -49.6567011 -22.2125863)",,
137733735,True,Avenida Doutor Labieno da Costa Machado,secondary,False,234.04500000000002,"LINESTRING (-49.6566912 -22.2124754, -49.6569532 -22.2124051, -49.6571544 -22.2123604, -49.6585733 -22.2122337, -49.6589399 -22.2122004)",,
143957775,False,Rua Gabriela,residential,True,39.075,"LINESTRING (-49.6566912 -22.2124754, -49.6566973 -22.2123591, -49.656716 -22.2122337, -49.6567556 -22.2121317)",,
143957775,False,Rua Gabriela,residential,False,92.48,"LINESTRING (-49.6567011 -22.2125863, -49.6566702 -22.2134175)",,
143957775,False,Rua Gabriela,residential,True,12.374,"LINESTRING (-49.6567011 -22.2125863, -49.6566912 -22.2124754)",,
137733744,True,Avenida Doutor Labieno da Costa Machado,secondary,False,49.83,"LINESTRING (-49.6567011 -22.2125863, -49.6565509 -22.2126335, -49.6563551 -22.2127204, -49.6562613 -22.2127705)",,
137733736,True,,secondary,False,7.268,"LINESTRING (-49.6557368 -22.2133354, -49.6556883 -22.2133829)",,roundabout
143957755,False,Rua João Manzano,residential,True,6.733,"LINESTRING (-49.6557368 -22.2133354, -49.6557395 -22.2133959)",,
137733736,True,,secondary,False,12.268999999999998,"LINESTRING (-49.6557495 -22.2132278, -49.6557542 -22.2132862, -49.6557368 -22.2133354)",,roundabout
143957754,False,Rua América,residential,True,5.465,"LINESTRING (-49.6556883 -22.2133829, -49.6557395 -22.2133959)",,
137733736,True,,secondary,False,14.620000000000001,"LINESTRING (-49.6556883 -22.2133829, -49.6556452 -22.213401, -49.6555981 -22.2134058, -49.6555518 -22.2133968)",,roundabout
139941004,False,Rua Vinte e Sete de Dezembro,residential,True,8.59,"LINESTRING (-49.6518604 -22.2167991, -49.6518001 -22.2167457)",,
220823195,True,Avenida Doutor Eustachio Schalzo,secondary,False,20.368,"LINESTRING (-49.6518604 -22.2167991, -49.6517323 -22.2169387)",,
143954884,False,Rua Eumene,residential,False,98.843,"LINESTRING (-49.6518604 -22.2167991, -49.6519046 -22.2168233, -49.6519556 -22.2168351, -49.6528118 -22.2168462)",,
144175702,False,Rua São João,residential,False,112.573,"LINESTRING (-49.6576371 -22.2124373, -49.657611 -22.2134494)",,
