osmid,oneway,name,highway,reversed,length,maxspeed,geometry
363782340,False,Avenida Mário Simões de Azevedo,residential,True,88.554,,"LINESTRING (-38.357758 -11.7929485, -38.3577176 -11.7921531)"
363782026,False,Rua Albertina Leal da Rocha,residential,False,73.434,40,"LINESTRING (-38.357758 -11.7929485, -38.3574449 -11.7931937, -38.357235 -11.7933656)"
363782026,False,Rua Albertina Leal da Rocha,residential,True,60.424,40,"LINESTRING (-38.357758 -11.7929485, -38.3579586 -11.7928493, -38.3580391 -11.7928165, -38.3582671 -11.7927337)"
363782340,False,Avenida Mário Simões de Azevedo,residential,False,143.269,,"LINESTRING (-38.3576869 -11.790865, -38.3577176 -11.7921531)"
402108873,False,Rua Otaciano Oliveira,residential,True,82.867,,"LINESTRING (-38.3576869 -11.790865, -38.3584459 -11.7908071)"
402108873,False,Rua Otaciano Oliveira,residential,False,119.48100000000001,,"LINESTRING (-38.3576869 -11.790865, -38.3573517 -11.7908888, -38.357309 -11.7908918, -38.3565921 -11.7909427)"
363782340,False,Avenida Mário Simões de Azevedo,residential,False,88.554,,"LINESTRING (-38.3577176 -11.7921531, -38.357758 -11.7929485)"
363782340,False,Avenida Mário Simões de Azevedo,residential,True,143.269,,"LINESTRING (-38.3577176 -11.7921531, -38.3576869 -11.790865)"
424390731,False,Rua Mário Simões de Azevedo,residential,True,169.397,,"LINESTRING (-38.3577176 -11.7921531, -38.3561826 -11.7924041)"
363782026,False,Rua Albertina Leal da Rocha,residential,False,94.519,40,"LINESTRING (-38.357235 -11.7933656, -38.3565423 -11.7938782)"
424243788,False,Rua Albertina Leal da Rocha,residential,False,59.479,40,"LINESTRING (-38.357235 -11.7933656, -38.3575775 -11.7937824)"
424243788,False,Rua Albertina Leal da Rocha,residential,True,49.041,40,"LINESTRING (-38.357235 -11.7933656, -38.3571195 -11.7929393)"
363782026,False,Rua Albertina Leal da Rocha,residential,True,73.434,40,"LINESTRING (-38.357235 -11.7933656, -38.3574449 -11.7931937, -38.357758 -11.7929485)"
363782026,False,Rua Albertina Leal da Rocha,residential,False,60.424,40,"LINESTRING (-38.3582671 -11.7927337, -38.3580391 -11.7928165, -38.3579586 -11.7928493, -38.357758 -11.7929485)"
"[363782026, 424243772]",False,Rua Albertina Leal da Rocha,residential,"[False, True]",164.717,40,"LINESTRING (-38.3582671 -11.7927337, -38.3586869 -11.7925664, -38.3587043 -11.7925618, -38.3587311 -11.7925677, -38.3587506 -11.7925841, -38.3587653 -11.7926058, -38.3591348 -11.7934755)"
381988084,False,,residential,False,176.04199999999997,,"LINESTRING (-38.3582671 -11.7927337, -38.3582417 -11.7920431, -38.3582418 -11.791828, -38.358279 -11.7915887, -38.3583658 -11.7911621)"
402108885,False,,residential,False,144.323,,"LINESTRING (-38.3582671 -11.7927337, -38.3583221 -11.7928427, -38.3589264 -11.7938595)"
424243784,False,Rua Albertina Leal da Rocha,residential,False,113.759,40,"LINESTRING (-38.3575775 -11.7937824, -38.3567575 -11.7944167)"
424243788,False,Rua Albertina Leal da Rocha,residential,False,29.102,40,"LINESTRING (-38.3575775 -11.7937824, -38.3577548 -11.7939783)"
424243788,False,Rua Albertina Leal da Rocha,residential,True,59.479,40,"LINESTRING (-38.3575775 -11.7937824, -38.357235 -11.7933656)"
381988084,False,,residential,False,54.629,,"LINESTRING (-38.3584459 -11.7908071, -38.3585349 -11.7903236)"
381988084,False,,residential,True,40.426,,"LINESTRING (-38.3584459 -11.7908071, -38.3583658 -11.7911621)"
402108873,False,Rua Otaciano Oliveira,residential,False,82.867,,"LINESTRING (-38.3584459 -11.7908071, -38.3576869 -11.790865)"
402108886,False,Praça Santa Isabel,residential,False,53.454,,"LINESTRING (-38.3565921 -11.7909427, -38.3562968 -11.7905586)"
831227887,False,Rua Otaciano Oliveira,residential,False,34.025,,"LINESTRING (-38.3565921 -11.7909427, -38.3562808 -11.7909705)"
402108873,False,Rua Otaciano Oliveira,residential,True,119.481,,"LINESTRING (-38.3565921 -11.7909427, -38.357309 -11.7908918, -38.3573517 -11.7908888, -38.3576869 -11.790865)"
363782786,False,Rua Francisco Guedes,residential,True,98.133,,"LINESTRING (-38.3562808 -11.7909705, -38.3553824 -11.7910442)"
505696383,False,,residential,False,45.834,,"LINESTRING (-38.3562808 -11.7909705, -38.3562968 -11.7905586)"
831227887,False,Rua Otaciano Oliveira,residential,True,34.025,,"LINESTRING (-38.3562808 -11.7909705, -38.3565921 -11.7909427)"
792777198,False,,residential,True,159.793,,"LINESTRING (-38.3562808 -11.7909705, -38.3561957 -11.7920434, -38.3561826 -11.7924041)"
363782786,False,Rua Francisco Guedes,residential,False,98.133,,"LINESTRING (-38.3553824 -11.7910442, -38.3562808 -11.7909705)"
424243767,False,Praça Santa Isabel,residential,True,68.331,,"LINESTRING (-38.3553824 -11.7910442, -38.3553797 -11.7906818, -38.3553696 -11.7906077, -38.3553502 -11.7905597, -38.3553133 -11.790521, -38.355253 -11.7904784)"
402108878,False,,residential,True,92.465,,"LINESTRING (-38.3604103 -11.7954308, -38.360026 -11.7946892)"
402108881,False,,residential,False,17.305,,"LINESTRING (-38.3604103 -11.7954308, -38.3605537 -11.7953636)"
402108881,False,,residential,True,15.368,,"LINESTRING (-38.3604103 -11.7954308, -38.3602871 -11.7954983)"
423793526,False,,residential,False,87.727,,"LINESTRING (-38.3607079 -11.7917334, -38.3610486 -11.7919434, -38.3612055 -11.7920616, -38.361361 -11.7921929)"
423793526,False,,residential,True,122.425,,"LINESTRING (-38.3607079 -11.7917334, -38.3604021 -11.7915667, -38.3601849 -11.7914551, -38.3599234 -11.7913343, -38.3597034 -11.7912398)"
424336689,False,,residential,True,69.339,,"LINESTRING (-38.3607079 -11.7917334, -38.3608353 -11.7914826, -38.3608943 -11.7913487, -38.3609721 -11.7911663)"
