osmid,oneway,lanes,ref,highway,reversed,length,geometry,name
180957534,True,2,BA-493,primary,False,85.21600000000001,"LINESTRING (-39.693062 -12.7060485, -39.6934822 -12.7060405, -39.6938475 -12.7060439)",
180957534,True,2,BA-493,primary,False,39.59,"LINESTRING (-39.6974649 -12.7063613, -39.6978291 -12.7063846)",
221145182,False,,,residential,False,52.061,"LINESTRING (-39.6976925 -12.7072768, -39.6977205 -12.7077442)",
221145182,False,,,residential,True,35.792,"LINESTRING (-39.6976925 -12.7072768, -39.6976787 -12.7069552)",
221145204,False,,,residential,True,38.67,"LINESTRING (-39.6976925 -12.7072768, -39.6977482 -12.7072311, -39.697769 -12.7071957, -39.6977811 -12.707148, -39.6977989 -12.7070549, -39.6978165 -12.7069644)",
221145208,False,,,residential,False,15.793,"LINESTRING (-39.6978148 -12.7092325, -39.6976781 -12.7092814)",
221145217,True,,,tertiary,False,39.554,"LINESTRING (-39.6978148 -12.7092325, -39.6978258 -12.7095398, -39.6978275 -12.709588)",Avenida Teotônio Vilela
221145181,False,,,residential,False,9.07,"LINESTRING (-39.6975749 -12.7033597, -39.6974913 -12.7033581)",
372508195,True,,,secondary,False,106.758,"LINESTRING (-39.6975749 -12.7033597, -39.6976066 -12.7043193)",Avenida Getúlio Vargas
221145183,False,,,residential,False,46.697,"LINESTRING (-39.6969196 -12.7037435, -39.6969529 -12.7033248)",
221145183,False,,,residential,True,50.786,"LINESTRING (-39.6969196 -12.7037435, -39.6968826 -12.7041988)",
221145203,False,,,residential,False,98.963,"LINESTRING (-39.6969196 -12.7037435, -39.696009 -12.7036887)",
180957534,True,2,BA-493,primary,False,47.905,"LINESTRING (-39.6941431 -12.7060579, -39.6945827 -12.7060992)",
221145192,False,,,residential,False,68.002,"LINESTRING (-39.6941431 -12.7060579, -39.69418 -12.7054474)",
221145183,False,,,residential,False,62.164,"LINESTRING (-39.6967645 -12.705652, -39.6968098 -12.7050947)",
221145183,False,,,residential,True,71.443,"LINESTRING (-39.6967645 -12.705652, -39.696726 -12.7062934)",
221145200,False,,,residential,False,97.141,"LINESTRING (-39.6967645 -12.705652, -39.6958719 -12.7055813)",
221145200,False,,,residential,True,72.106,"LINESTRING (-39.6967645 -12.705652, -39.6974272 -12.7057028)",
221145213,False,,,residential,True,79.231,"LINESTRING (-39.6964154 -12.7100096, -39.69714 -12.7100995)",
