osmid,name,highway,oneway,reversed,length,geometry,maxspeed
235160917,Rua da Saudade,residential,False,False,149.775,"LINESTRING (-48.026346 -20.1813973, -48.0263805 -20.1815069, -48.0267748 -20.1826827)",
235160418,Rua João Canaan,residential,False,True,110.025,"LINESTRING (-48.026429 -20.1792087, -48.0267227 -20.180159)",
235160916,Avenida Antônio Alves Figueira,residential,False,True,88.44,"LINESTRING (-48.026429 -20.1792087, -48.0272363 -20.178967)",
172549303,Avenida Leopoldo Carlos de Oliveira,secondary,False,False,89.47,"LINESTRING (-48.0267227 -20.180159, -48.0275389 -20.179913)",
235160418,Rua João Canaan,residential,False,False,110.025,"LINESTRING (-48.0267227 -20.180159, -48.026429 -20.1792087)",
235160917,Rua da Saudade,residential,False,False,95.454,"LINESTRING (-48.0267748 -20.1826827, -48.0270402 -20.1835042)",
235155196,Avenida Alvaro da Cunha Barros,residential,False,False,105.41,"LINESTRING (-48.0267748 -20.1826827, -48.026918 -20.1826422, -48.0277372 -20.1823952)",
235160917,Rua da Saudade,residential,False,True,149.775,"LINESTRING (-48.0267748 -20.1826827, -48.0263805 -20.1815069, -48.026346 -20.1813973)",
352594028,Avenida Rodolfo Jorge,residential,False,False,112.604,"LINESTRING (-48.0280612 -20.1814479, -48.0290834 -20.1811239)",
352614162,Rua José Jacob Daur,residential,False,False,59.086,"LINESTRING (-48.0280612 -20.1814479, -48.0278812 -20.1809441)",
352614162,Rua José Jacob Daur,residential,False,True,91.246,"LINESTRING (-48.0280612 -20.1814479, -48.0283238 -20.1822306)",
235155196,Avenida Alvaro da Cunha Barros,residential,False,True,113.79,"LINESTRING (-48.0313911 -20.1812991, -48.0303474 -20.181595)",
352614158,Rua Antônio Bento Peixoto,residential,False,False,17.282,"LINESTRING (-48.0313911 -20.1812991, -48.031442 -20.181447)",
352614158,Rua Antônio Bento Peixoto,residential,False,True,92.519,"LINESTRING (-48.0313911 -20.1812991, -48.0311387 -20.1805015)",
235155194,Rua Joaquim Pedro de Figueiredo,residential,False,False,168.393,"LINESTRING (-48.0285774 -20.1830441, -48.0270402 -20.1835042)",
352614162,Rua José Jacob Daur,residential,False,False,28.539,"LINESTRING (-48.0285774 -20.1830441, -48.0284929 -20.1828)",
352614162,Rua José Jacob Daur,residential,False,True,38.876,"LINESTRING (-48.0285774 -20.1830441, -48.0286948 -20.1833759)",
352595647,Avenida Alvaro da Cunha Barros,residential,False,False,109.473,"LINESTRING (-48.031442 -20.181447, -48.0324629 -20.181221)",
352614158,Rua Antônio Bento Peixoto,residential,False,False,47.339,"LINESTRING (-48.031442 -20.181447, -48.031569 -20.1818557)",
352614158,Rua Antônio Bento Peixoto,residential,False,True,17.282,"LINESTRING (-48.031442 -20.181447, -48.0313911 -20.1812991)",
