osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,junction
438003275,SAG-106,Rua José Manoel Serafim,residential,False,False,31.487,"LINESTRING (-49.1267236 -28.6379383, -49.1265942 -28.6381977)",,,,
438003275,SAG-106,Rua José Manoel Serafim,residential,False,True,47.116,"LINESTRING (-49.1267236 -28.6379383, -49.1269184 -28.6375506)",,,,
436801555,,Rua Santos José Bernardo,residential,False,False,277.706,"LINESTRING (-49.1267236 -28.6379383, -49.1258328 -28.6377744, -49.1256249 -28.6377319, -49.1252464 -28.6376368, -49.1251392 -28.6376056, -49.1250537 -28.6375488, -49.1242762 -28.6368559)",,,,
325525838,,Rua 27 de Setembro,secondary,False,False,83.234,"LINESTRING (-49.1295974 -28.6377614, -49.1303348 -28.6373853)",2,50,,
325525838,,Rua 27 de Setembro,secondary,False,True,112.679,"LINESTRING (-49.1295974 -28.6377614, -49.1292904 -28.6378752, -49.1290274 -28.6379751, -49.1285311 -28.6381499)",2,50,,
995066347,,Rua Honorato Serafim,residential,False,True,84.756,"LINESTRING (-49.1295974 -28.6377614, -49.129738 -28.6379218, -49.129854 -28.6380595, -49.1299443 -28.6381479, -49.1300318 -28.6382056, -49.1301714 -28.6383289)",,,,
240917921,,Rua Altair Martinho Cardoso,residential,False,False,20.048,"LINESTRING (-49.1307942 -28.6389788, -49.1307038 -28.6388169)",,,,
479304791,,Rua João Manoel da Silva,unclassified,False,True,486.198,"LINESTRING (-49.1307942 -28.6389788, -49.1308139 -28.6392464, -49.1301644 -28.640824, -49.1301137 -28.6410589, -49.1301102 -28.6412063, -49.1301126 -28.6415262, -49.1301035 -28.6417666, -49.1300064 -28.6421969, -49.1299778 -28.642398, -49.1299104 -28.642634, -49.1298502 -28.6428144, -49.1297982 -28.6429434, -49.1297717 -28.6430316, -49.1297452 -28.6431209, -49.1297114 -28.6432027)",,,,
438003275,SAG-106,Rua José Manoel Serafim,residential,False,False,47.116,"LINESTRING (-49.1269184 -28.6375506, -49.1267236 -28.6379383)",,,,
438003275,SAG-106,Rua José Manoel Serafim,residential,False,True,126.845,"LINESTRING (-49.1269184 -28.6375506, -49.1270526 -28.6372597, -49.1271559 -28.6370041, -49.1273561 -28.6364769)",,,,
