osmid,oneway,lanes,highway,maxspeed,reversed,length,ref,name,geometry,bridge
685513397,True,2,primary_link,50,False,14.796,,,"LINESTRING (22.9641367 42.5488995, 22.9640023 42.5488106)",
702837070,True,2,primary,50,False,15.181,6,бул. Райко Даскалов,"LINESTRING (22.9641367 42.5488995, 22.9640625 42.5487744)",
695495495,False,2,tertiary,,False,11.123,627,Дупнишка,"LINESTRING (22.9616245 42.5444632, 22.9616943 42.5443774)",
182798950,False,2,residential,50,False,132.20399999999998,,Алексадър Ботев,"LINESTRING (22.9616245 42.5444632, 22.9615297 42.5445099, 22.9602941 42.5450048, 22.9602217 42.5450482)",
182734641,False,2,tertiary,50,False,73.881,627,Дупнишка,"LINESTRING (22.9619527 42.5442299, 22.9623717 42.5442408, 22.9628529 42.5442676)",
695495496,False,2,tertiary,,True,27.433,627,Дупнишка,"LINESTRING (22.9619527 42.5442299, 22.9618657 42.5442565, 22.9618093 42.5442783, 22.9617436 42.5443345, 22.9616943 42.5443774)",
688203175,False,2,tertiary,50,True,24.884,627,Дупнишка,"LINESTRING (22.9662156 42.5433495, 22.9659854 42.5434955)",yes
279525782,False,2,residential,50,True,208.83100000000002,,Люлякова,"LINESTRING (22.9662156 42.5433495, 22.9663988 42.543663, 22.9665383 42.5439712, 22.9669004 42.5445483, 22.9672464 42.5450649)",
688203177,False,2,residential,50,False,166.01700000000002,,Люлякова,"LINESTRING (22.9662156 42.5433495, 22.9653502 42.5421571, 22.9653087 42.5420196)",
688203178,False,2,tertiary,50,False,112.693,627,Дупнишка,"LINESTRING (22.9662156 42.5433495, 22.9663384 42.5432438, 22.9665053 42.5431003, 22.966617 42.5429788, 22.9666924 42.5428677, 22.9667724 42.5427294, 22.9668278 42.542615, 22.9668972 42.5424819)",
182798952,False,2,residential,50,False,77.107,,Оборище,"LINESTRING (22.9602662 42.5472741, 22.9610827 42.5476191)",
702837071,False,2,tertiary,,False,64.823,603,Пирин,"LINESTRING (22.9602662 42.5472741, 22.9597014 42.5476824)",
702837071,False,2,tertiary,,True,67.482,603,Пирин,"LINESTRING (22.9602662 42.5472741, 22.9608525 42.5468478)",
182734635,False,2,residential,50,True,136.322,,Майор Чиляев,"LINESTRING (22.9608525 42.5468478, 22.9623127 42.5474358)",
182801382,False,2,residential,50,False,99.491,,Деян Гебрев,"LINESTRING (22.9608525 42.5468478, 22.9599615 42.5462398)",
702837071,False,2,tertiary,,False,67.482,603,Пирин,"LINESTRING (22.9608525 42.5468478, 22.9602662 42.5472741)",
702837071,False,2,tertiary,,True,79.985,603,Пирин,"LINESTRING (22.9608525 42.5468478, 22.9615486 42.5463434)",
182798965,False,2,residential,50,True,12.749,,Ген. Кантарджиев,"LINESTRING (22.9594362 42.5478741, 22.9595726 42.5479293)",
702837071,False,2,tertiary,,True,30.436,603,Пирин,"LINESTRING (22.9594362 42.5478741, 22.9597014 42.5476824)",
182801387,False,2,residential,50,False,91.902,,Алексадър Стамболийски,"LINESTRING (22.9594362 42.5478741, 22.9585775 42.5474472, 22.9585601 42.5473852)",
702837071,False,2,tertiary,,False,307.638,603,Пирин,"LINESTRING (22.9594362 42.5478741, 22.9583755 42.5486653, 22.9583015 42.5487357, 22.9582197 42.5488173, 22.9574176 42.5497203, 22.9571658 42.5499709, 22.9571099 42.5500314)",
182798970,False,2,residential,50,False,114.031,,Подпоручик Константин Цанков,"LINESTRING (22.9615486 42.5463434, 22.9627652 42.5468417)",
182798970,False,2,residential,50,True,102.703,,Подпоручик Константин Цанков,"LINESTRING (22.9615486 42.5463434, 22.9607876 42.5456094)",
702837071,False,2,tertiary,,False,79.985,603,Пирин,"LINESTRING (22.9615486 42.5463434, 22.9608525 42.5468478)",
702837071,False,2,tertiary,,True,104.648,603,Пирин,"LINESTRING (22.9615486 42.5463434, 22.9624796 42.545699)",
107671848,False,2,tertiary,,True,13.327,603,Пирин,"LINESTRING (22.9624796 42.545699, 22.9626263 42.5456472)",
702837071,False,2,tertiary,,False,104.648,603,Пирин,"LINESTRING (22.9624796 42.545699, 22.9615486 42.5463434)",
"[702837072, 695495498]",True,2,primary,50,False,154.25,6,бул. Райко Даскалов,"LINESTRING (22.9624796 42.545699, 22.9621288 42.5452045, 22.9617013 42.5445697, 22.9616245 42.5444632)",
279534567,False,2,unclassified,,False,11.003,,Иван Вазов,"LINESTRING (22.9588686 42.5417132, 22.958993 42.5416759)",
279534567,False,2,unclassified,,True,8.364,,Иван Вазов,"LINESTRING (22.9588686 42.5417132, 22.9587729 42.5417394)",
279534567,False,2,unclassified,,False,47.912,,Иван Вазов,"LINESTRING (22.9582013 42.5418305, 22.9587729 42.5417394)",
182798970,False,2,residential,50,False,180.898,,Подпоручик Константин Цанков,"LINESTRING (22.9582013 42.5418305, 22.958202 42.5419358, 22.9582181 42.5420405, 22.9582395 42.5421453, 22.9582828 42.5422726, 22.9583548 42.5423983, 22.9589894 42.5433301)",
279534567,False,2,unclassified,,True,85.44900000000001,,Иван Вазов,"LINESTRING (22.9582013 42.5418305, 22.957868 42.5418531, 22.9575553 42.5418666, 22.9571612 42.5418465)",
279534579,False,2,residential,50,True,81.32,,,"LINESTRING (22.9571612 42.5418465, 22.9570351 42.5425719)",
279534567,False,2,unclassified,,False,85.449,,Иван Вазов,"LINESTRING (22.9571612 42.5418465, 22.9575553 42.5418666, 22.957868 42.5418531, 22.9582013 42.5418305)",
695495495,False,2,tertiary,,True,11.123,627,Дупнишка,"LINESTRING (22.9616943 42.5443774, 22.9616245 42.5444632)",
"[695495492, 182734645]",True,2,primary,50,False,160.525,6,бул. Райко Даскалов,"LINESTRING (22.9616943 42.5443774, 22.9618011 42.5445261, 22.9622054 42.5450783, 22.9622589 42.545157, 22.9626263 42.5456472)",
695495496,False,2,tertiary,,False,27.433,627,Дупнишка,"LINESTRING (22.9616943 42.5443774, 22.9617436 42.5443345, 22.9618093 42.5442783, 22.9618657 42.5442565, 22.9619527 42.5442299)",
107671848,False,2,tertiary,,False,13.327,603,Пирин,"LINESTRING (22.9626263 42.5456472, 22.9624796 42.545699)",
702823678,True,2,primary,50,False,90.133,6,бул. Райко Даскалов,"LINESTRING (22.9626263 42.5456472, 22.9626569 42.5456934, 22.9631093 42.5463755)",
182734635,False,2,residential,50,False,136.322,,Майор Чиляев,"LINESTRING (22.9623127 42.5474358, 22.9608525 42.5468478)",
182734635,False,2,residential,50,True,115.851,,Майор Чиляев,"LINESTRING (22.9623127 42.5474358, 22.9635449 42.5479471)",
182797779,False,2,residential,50,False,66.976,,Шар,"LINESTRING (22.9623127 42.5474358, 22.9619225 42.5479651)",
182797779,False,2,residential,50,True,75.751,,Шар,"LINESTRING (22.9623127 42.5474358, 22.9627652 42.5468417)",
182797779,False,2,residential,50,False,46.244,,Шар,"LINESTRING (22.9630414 42.546479, 22.9627652 42.5468417)",
1161379892,False,,residential,50,True,12.782,,,"LINESTRING (22.9630414 42.546479, 22.9631093 42.5463755)",
702837070,True,2,primary,50,False,98.186,6,бул. Райко Даскалов,"LINESTRING (22.9630414 42.546479, 22.9625127 42.545745, 22.9624796 42.545699)",
695495493,True,2,primary,50,False,26.224,6,бул. Райко Даскалов,"LINESTRING (22.9615387 42.5441713, 22.9616943 42.5443774)",
182734634,True,,tertiary,,False,34.903999999999996,627,Дупнишка,"LINESTRING (22.9615387 42.5441713, 22.9616449 42.5442069, 22.9619527 42.5442299)",
702837071,False,2,tertiary,,True,307.63800000000003,603,Пирин,"LINESTRING (22.9571099 42.5500314, 22.9571658 42.5499709, 22.9574176 42.5497203, 22.9582197 42.5488173, 22.9583015 42.5487357, 22.9583755 42.5486653, 22.9594362 42.5478741)",
182797779,False,2,residential,50,False,75.751,,Шар,"LINESTRING (22.9627652 42.5468417, 22.9623127 42.5474358)",
182797779,False,2,residential,50,True,46.244,,Шар,"LINESTRING (22.9627652 42.5468417, 22.9630414 42.546479)",
182798970,False,2,residential,50,False,42.97,,Подпоручик Константин Цанков,"LINESTRING (22.9627652 42.5468417, 22.9632231 42.5470302)",
182798970,False,2,residential,50,True,114.031,,Подпоручик Константин Цанков,"LINESTRING (22.9627652 42.5468417, 22.9615486 42.5463434)",
182798970,False,2,residential,50,False,77.739,,Подпоручик Константин Цанков,"LINESTRING (22.9602217 42.5450482, 22.9607876 42.5456094)",
182798970,False,2,residential,50,True,216.078,,Подпоручик Константин Цанков,"LINESTRING (22.9602217 42.5450482, 22.9589894 42.5433301)",
182798950,False,2,residential,50,False,104.01599999999999,,Алексадър Ботев,"LINESTRING (22.9602217 42.5450482, 22.9601627 42.5450917, 22.9594626 42.5457972)",
182798950,False,2,residential,50,True,132.204,,Алексадър Ботев,"LINESTRING (22.9602217 42.5450482, 22.9602941 42.5450048, 22.9615297 42.5445099, 22.9616245 42.5444632)",
182798970,False,2,residential,50,False,102.703,,Подпоручик Константин Цанков,"LINESTRING (22.9607876 42.5456094, 22.9615486 42.5463434)",
182798970,False,2,residential,50,True,77.739,,Подпоручик Константин Цанков,"LINESTRING (22.9607876 42.5456094, 22.9602217 42.5450482)",
279534585,False,2,residential,50,False,97.435,,Мирчо Христов,"LINESTRING (22.9607876 42.5456094, 22.9599615 42.5462398)",
182801382,False,2,residential,50,True,99.491,,Деян Гебрев,"LINESTRING (22.9599615 42.5462398, 22.9608525 42.5468478)",
279534585,False,2,residential,50,False,171.467,,Мирчо Христов,"LINESTRING (22.9599615 42.5462398, 22.9585601 42.5473852)",
279534585,False,2,residential,50,True,97.435,,Мирчо Христов,"LINESTRING (22.9599615 42.5462398, 22.9607876 42.5456094)",
182801382,False,2,residential,50,False,64.508,,Деян Гебрев,"LINESTRING (22.9599615 42.5462398, 22.9595941 42.5459691, 22.9594626 42.5457972)",
182798970,False,2,residential,50,True,42.97,,Подпоручик Константин Цанков,"LINESTRING (22.9632231 42.5470302, 22.9627652 42.5468417)",
182734635,False,2,residential,50,False,115.851,,Майор Чиляев,"LINESTRING (22.9635449 42.5479471, 22.9623127 42.5474358)",
182800686,False,2,residential,50,True,78.173,,Алексадър Ботев,"LINESTRING (22.9574697 42.5464631, 22.958084 42.5463603, 22.9584058 42.5463307)",
182800688,False,2,residential,50,False,181.495,,Бащевица,"LINESTRING (22.9574697 42.5464631, 22.9575717 42.5472555, 22.9568957 42.5479273)",
702837070,True,2,primary,50,False,235.006,6,бул. Райко Даскалов,"LINESTRING (22.9639542 42.5484757, 22.9639508 42.5484611, 22.9639172 42.5483142, 22.9636993 42.5477101, 22.9636892 42.5476821, 22.9634181 42.5470992, 22.9630414 42.546479)",
279534581,False,2,residential,50,False,75.509,,Христо Смирненски,"LINESTRING (22.9581537 42.5439391, 22.9573715 42.5442983)",
279534581,False,2,residential,50,True,96.297,,Христо Смирненски,"LINESTRING (22.9581537 42.5439391, 22.9589894 42.5433301)",
182801382,False,2,residential,50,False,180.343,,Деян Гебрев,"LINESTRING (22.9581537 42.5439391, 22.9572203 42.5426472, 22.9571586 42.5426077, 22.9570915 42.542584, 22.9570351 42.5425719)",
182801382,False,2,residential,50,True,232.807,,Деян Гебрев,"LINESTRING (22.9581537 42.5439391, 22.9593741 42.5456529, 22.9594626 42.5457972)",
182797779,False,2,residential,50,False,79.554,,Шар,"LINESTRING (22.9619225 42.5479651, 22.9614528 42.5485913)",
182797779,False,2,residential,50,True,66.976,,Шар,"LINESTRING (22.9619225 42.5479651, 22.9623127 42.5474358)",
182798952,False,2,residential,50,False,166.834,,Оборище,"LINESTRING (22.9619225 42.5479651, 22.9637159 42.5486761)",
182798952,False,2,residential,50,True,78.825,,Оборище,"LINESTRING (22.9619225 42.5479651, 22.9613536 42.5477278, 22.9610827 42.5476191)",
182798951,False,2,residential,50,True,103.94,,Полковник Митрев,"LINESTRING (22.9640023 42.5488106, 22.9628368 42.5491801)",
685513397,True,2,primary_link,50,False,17.415,,,"LINESTRING (22.9640023 42.5488106, 22.9639164 42.5487613, 22.9638336 42.5487153)",
182797779,False,2,residential,50,False,83.945,,Шар,"LINESTRING (22.9614528 42.5485913, 22.96097 42.5492572)",
182797779,False,2,residential,50,True,79.554,,Шар,"LINESTRING (22.9614528 42.5485913, 22.9619225 42.5479651)",
182798965,False,2,residential,50,False,82.28,,Ген. Кантарджиев,"LINESTRING (22.9614528 42.5485913, 22.9605677 42.5482415)",
182798965,False,2,residential,50,True,130.92,,Ген. Кантарджиев,"LINESTRING (22.9614528 42.5485913, 22.9628368 42.5491801)",
182798945,True,2,primary_link,50,False,47.102,,,"LINESTRING (22.9641475 42.5485521, 22.9642636 42.5486937, 22.9643346 42.5487629, 22.9644113 42.5488097, 22.9645175 42.5488688)",
702823678,True,2,primary,50,False,32.067,6,бул. Райко Даскалов,"LINESTRING (22.9641475 42.5485521, 22.9641855 42.5486644, 22.9642283 42.5487621, 22.9642645 42.5488268)",
182798950,False,2,residential,50,False,118.237,,Алексадър Ботев,"LINESTRING (22.9594626 42.5457972, 22.9584353 42.5465441)",
182798950,False,2,residential,50,True,104.01599999999999,,Алексадър Ботев,"LINESTRING (22.9594626 42.5457972, 22.9601627 42.5450917, 22.9602217 42.5450482)",
182801382,False,2,residential,50,False,232.807,,Деян Гебрев,"LINESTRING (22.9594626 42.5457972, 22.9593741 42.5456529, 22.9581537 42.5439391)",
182801382,False,2,residential,50,True,64.508,,Деян Гебрев,"LINESTRING (22.9594626 42.5457972, 22.9595941 42.5459691, 22.9599615 42.5462398)",
182797779,False,2,residential,50,False,83.668,,Шар,"LINESTRING (22.96097 42.5492572, 22.9604604 42.5499093)",
182797779,False,2,residential,50,True,83.945,,Шар,"LINESTRING (22.96097 42.5492572, 22.9614528 42.5485913)",
279534580,False,2,residential,50,False,64.73,,Кубрат,"LINESTRING (22.96097 42.5492572, 22.9616594 42.5495417)",
279534580,False,2,residential,50,True,83.997,,Кубрат,"LINESTRING (22.96097 42.5492572, 22.9600849 42.5488758)",
182798951,False,2,residential,50,True,81.682,,Полковник Митрев,"LINESTRING (22.9596665 42.5501069, 22.9586767 42.5500179)",
182798951,False,2,residential,50,False,69.47399999999999,,Полковник Митрев,"LINESTRING (22.9596665 42.5501069, 22.9597845 42.5501088, 22.9599132 42.5500871, 22.9604604 42.5499093)",
182798956,False,2,residential,50,True,142.631,,Свилен Русев,"LINESTRING (22.9596665 42.5501069, 22.9597343 42.5495746, 22.9597979 42.5493817, 22.9599328 42.5490959, 22.9600849 42.5488758)",
182798952,False,2,residential,50,False,19.869,,Оборище,"LINESTRING (22.9638336 42.5487153, 22.9640625 42.5487744)",
182798952,False,2,residential,50,True,10.581,,Оборище,"LINESTRING (22.9638336 42.5487153, 22.9637159 42.5486761)",
182798951,False,2,residential,50,False,104.494,,Полковник Митрев,"LINESTRING (22.9616594 42.5495417, 22.9628368 42.5491801)",
182798951,False,2,residential,50,True,106.384,,Полковник Митрев,"LINESTRING (22.9616594 42.5495417, 22.9604604 42.5499093)",
