osmid,ref,highway,oneway,reversed,length,geometry
517995124,RP 71,secondary,False,False,4.986,"LINESTRING (30.0930521 -3.7282359, 30.0930966 -3.7282421)"
903980423,,residential,False,False,100.075,"LINESTRING (30.0930521 -3.7282359, 30.0931735 -3.7273441)"
517995124,RP 71,secondary,False,True,124.38,"LINESTRING (30.0930521 -3.7282359, 30.0925937 -3.7282177, 30.0921353 -3.7281501, 30.0919399 -3.7281135)"
517995124,RP 71,secondary,False,False,42.993,"LINESTRING (30.0913837 -3.7280862, 30.0917707 -3.7281052)"
691362557,,unclassified,False,False,154.20499999999998,"LINESTRING (30.0913837 -3.7280862, 30.0913724 -3.7271144, 30.0913676 -3.7266995)"
691362557,,unclassified,False,True,154.20499999999998,"LINESTRING (30.0913676 -3.7266995, 30.0913724 -3.7271144, 30.0913837 -3.7280862)"
903980422,,residential,False,False,100.51899999999999,"LINESTRING (30.0913676 -3.7266995, 30.0914564 -3.7267647, 30.0917866 -3.7267442, 30.0918193 -3.7267432, 30.0921079 -3.7267344, 30.0922512 -3.7267301)"
908487367,,residential,False,False,170.63299999999998,"LINESTRING (30.0913676 -3.7266995, 30.0916745 -3.7272964, 30.0917884 -3.7276493, 30.0919266 -3.7279739, 30.0919399 -3.7281135)"
517995124,RP 71,secondary,False,True,167.836,"LINESTRING (30.0946013 -3.7283817, 30.0944651 -3.7283745, 30.0937816 -3.7283381, 30.0936841 -3.7283244, 30.0930966 -3.7282421)"
903980422,,residential,False,True,396.483,"LINESTRING (30.0946013 -3.7283817, 30.0947072 -3.7276047, 30.0947142 -3.727553, 30.0946824 -3.7274669, 30.0946497 -3.7274166, 30.0942743 -3.7273308, 30.0936225 -3.7270632, 30.0933273 -3.7269235, 30.0926945 -3.7266242, 30.0925023 -3.72672, 30.0922512 -3.7267301)"
903980423,,residential,False,True,100.075,"LINESTRING (30.0931735 -3.7273441, 30.0930521 -3.7282359)"
517995124,RP 71,secondary,False,False,18.797,"LINESTRING (30.0917707 -3.7281052, 30.0919399 -3.7281135)"
517995124,RP 71,secondary,False,True,42.993,"LINESTRING (30.0917707 -3.7281052, 30.0913837 -3.7280862)"
903980424,,residential,False,False,274.879,"LINESTRING (30.0917707 -3.7281052, 30.091779 -3.7287534, 30.0929946 -3.7288411, 30.0930966 -3.7282421)"
517995124,RP 71,secondary,False,True,4.986,"LINESTRING (30.0930966 -3.7282421, 30.0930521 -3.7282359)"
517995124,RP 71,secondary,False,False,167.836,"LINESTRING (30.0930966 -3.7282421, 30.0936841 -3.7283244, 30.0937816 -3.7283381, 30.0944651 -3.7283745, 30.0946013 -3.7283817)"
903980424,,residential,False,True,274.879,"LINESTRING (30.0930966 -3.7282421, 30.0929946 -3.7288411, 30.091779 -3.7287534, 30.0917707 -3.7281052)"
517995124,RP 71,secondary,False,True,18.797,"LINESTRING (30.0919399 -3.7281135, 30.0917707 -3.7281052)"
517995124,RP 71,secondary,False,False,124.38,"LINESTRING (30.0919399 -3.7281135, 30.0921353 -3.7281501, 30.0925937 -3.7282177, 30.0930521 -3.7282359)"
908487367,,residential,False,False,158.32999999999998,"LINESTRING (30.0919399 -3.7281135, 30.0919754 -3.7278157, 30.0921055 -3.7274222, 30.0921705 -3.7270936, 30.0922477 -3.7268258, 30.0922533 -3.7267697, 30.0922512 -3.7267301)"
908487367,,residential,False,True,170.63299999999998,"LINESTRING (30.0919399 -3.7281135, 30.0919266 -3.7279739, 30.0917884 -3.7276493, 30.0916745 -3.7272964, 30.0913676 -3.7266995)"
903980422,,residential,False,False,396.483,"LINESTRING (30.0922512 -3.7267301, 30.0925023 -3.72672, 30.0926945 -3.7266242, 30.0933273 -3.7269235, 30.0936225 -3.7270632, 30.0942743 -3.7273308, 30.0946497 -3.7274166, 30.0946824 -3.7274669, 30.0947142 -3.727553, 30.0947072 -3.7276047, 30.0946013 -3.7283817)"
903980422,,residential,False,True,100.519,"LINESTRING (30.0922512 -3.7267301, 30.0921079 -3.7267344, 30.0918193 -3.7267432, 30.0917866 -3.7267442, 30.0914564 -3.7267647, 30.0913676 -3.7266995)"
908487367,,residential,False,False,195.056,"LINESTRING (30.0922512 -3.7267301, 30.0922493 -3.7266524, 30.0922459 -3.7266136, 30.092249 -3.726423, 30.0922305 -3.7262601, 30.0922094 -3.7261712, 30.0922028 -3.7261432, 30.0920333 -3.7258112, 30.0922089 -3.7257497, 30.092363 -3.7257005, 30.0924523 -3.7256329, 30.0927358 -3.7254607)"
908487367,,residential,False,True,158.33,"LINESTRING (30.0922512 -3.7267301, 30.0922533 -3.7267697, 30.0922477 -3.7268258, 30.0921705 -3.7270936, 30.0921055 -3.7274222, 30.0919754 -3.7278157, 30.0919399 -3.7281135)"
908487367,,residential,False,True,195.05599999999995,"LINESTRING (30.0927358 -3.7254607, 30.0924523 -3.7256329, 30.092363 -3.7257005, 30.0922089 -3.7257497, 30.0920333 -3.7258112, 30.0922028 -3.7261432, 30.0922094 -3.7261712, 30.0922305 -3.7262601, 30.092249 -3.726423, 30.0922459 -3.7266136, 30.0922493 -3.7266524, 30.0922512 -3.7267301)"
