osmid,oneway,highway,reversed,length,geometry,lanes,ref,bridge
187009122,False,tertiary,False,304.89699999999993,"LINESTRING (30.1410613 -2.8259527, 30.1408965 -2.8256663, 30.1406867 -2.8252537, 30.1404021 -2.8247899, 30.1402566 -2.8244414, 30.1401025 -2.8241015, 30.1400447 -2.8239327, 30.140019 -2.8236868, 30.1400276 -2.8235222, 30.1400386 -2.8234594)",,,
410136571,False,primary,False,23.803,"LINESTRING (30.1406746 -2.8218347, 30.1405621 -2.8216525)",2,RN 6,
302431025,False,tertiary,False,314.45700000000005,"LINESTRING (30.1406746 -2.8218347, 30.1407774 -2.8217918, 30.1408895 -2.8217611, 30.1409843 -2.8217256, 30.1410898 -2.8217065, 30.1412495 -2.8216833, 30.1413631 -2.8216689, 30.1414005 -2.8216401, 30.1414262 -2.8215845, 30.1414249 -2.8215015, 30.1414184 -2.8214098, 30.1414005 -2.8211067, 30.1413534 -2.820847, 30.1412924 -2.8206054, 30.1412518 -2.8204483, 30.1411758 -2.8201854, 30.1411448 -2.8200561, 30.1411373 -2.8199118, 30.1411747 -2.819775, 30.1412079 -2.8196168)",,,
"[410136579, 410136571, 328618965]",False,primary,True,267.79100000000005,"LINESTRING (30.1406746 -2.8218347, 30.1407424 -2.8219489, 30.1409352 -2.8223049, 30.1410614 -2.8225786, 30.1411378 -2.8227134, 30.1412881 -2.8230049, 30.1414529 -2.823347, 30.141667 -2.8237467, 30.1417932 -2.8239669)",2,RN 6,yes
302431025,False,tertiary,False,267.904,"LINESTRING (30.1412079 -2.8196168, 30.1412333 -2.8193945, 30.1413026 -2.8192705, 30.1413072 -2.819201, 30.141279 -2.8190878, 30.1411913 -2.8190059, 30.1409143 -2.8189778, 30.1407808 -2.818919, 30.1404401 -2.8186983, 30.1402758 -2.8186089, 30.1400789 -2.818502, 30.1398339 -2.8183673, 30.1396969 -2.818284, 30.1396489 -2.8182519)",,,
302431025,False,tertiary,True,314.45699999999994,"LINESTRING (30.1412079 -2.8196168, 30.1411747 -2.819775, 30.1411373 -2.8199118, 30.1411448 -2.8200561, 30.1411758 -2.8201854, 30.1412518 -2.8204483, 30.1412924 -2.8206054, 30.1413534 -2.820847, 30.1414005 -2.8211067, 30.1414184 -2.8214098, 30.1414249 -2.8215015, 30.1414262 -2.8215845, 30.1414005 -2.8216401, 30.1413631 -2.8216689, 30.1412495 -2.8216833, 30.1410898 -2.8217065, 30.1409843 -2.8217256, 30.1408895 -2.8217611, 30.1407774 -2.8217918, 30.1406746 -2.8218347)",,,
"[410136579, 328618965, 410136571]",False,primary,False,267.791,"LINESTRING (30.1417932 -2.8239669, 30.141667 -2.8237467, 30.1414529 -2.823347, 30.1412881 -2.8230049, 30.1411378 -2.8227134, 30.1410614 -2.8225786, 30.1409352 -2.8223049, 30.1407424 -2.8219489, 30.1406746 -2.8218347)",2,RN 6,yes
399682109,False,residential,True,118.162,"LINESTRING (30.1404401 -2.8180865, 30.1401649 -2.8179699, 30.1399059 -2.8178339, 30.1396729 -2.8176862, 30.1395275 -2.8175543)",,,
302431025,False,tertiary,True,267.904,"LINESTRING (30.1396489 -2.8182519, 30.1396969 -2.818284, 30.1398339 -2.8183673, 30.1400789 -2.818502, 30.1402758 -2.8186089, 30.1404401 -2.8186983, 30.1407808 -2.818919, 30.1409143 -2.8189778, 30.1411913 -2.8190059, 30.141279 -2.8190878, 30.1413072 -2.819201, 30.1413026 -2.8192705, 30.1412333 -2.8193945, 30.1412079 -2.8196168)",,,
399682110,False,unclassified,False,87.864,"LINESTRING (30.1396489 -2.8182519, 30.1394477 -2.8179173, 30.1394091 -2.817754, 30.1395275 -2.8175543)",,,
