osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,maxspeed
5068758,Main Street,secondary,False,False,40.091,,"LINESTRING (-57.9504889 48.9517247, -57.9499404 48.9517405)",,,
128323248,Herald Avenue,secondary,False,False,30.975,2,"LINESTRING (-57.9504889 48.9517247, -57.950913 48.9517191)",,,
"[143744452, 143744453]",Mt Bernard Avenue,secondary,False,True,39.233000000000004,,"LINESTRING (-57.9504889 48.9517247, -57.9504255 48.9515857, -57.9503395 48.9513858)",,,
128361841,Main Street,secondary,False,False,18.11,2,"LINESTRING (-57.9478439 48.9519602, -57.947629 48.9520415)",,,
128361841,Main Street,secondary,False,True,15.767,2,"LINESTRING (-57.9478439 48.9519602, -57.9480386 48.9518989)",,,
5068756,Park Street,tertiary,True,False,35.959,,"LINESTRING (-57.946288 48.9522445, -57.9461178 48.9522163, -57.9460117 48.9521883, -57.9459148 48.9521611, -57.9458352 48.9521245)",,,
128361841,Main Street,secondary,False,False,38.3,2,"LINESTRING (-57.946288 48.9522445, -57.9460829 48.9523126, -57.9458468 48.9524284)",,,
128361841,Main Street,secondary,False,True,87.54400000000001,2,"LINESTRING (-57.946288 48.9522445, -57.9463956 48.9522353, -57.9467872 48.9522284, -57.9470783 48.9521998, -57.9472987 48.9521598, -57.9474551 48.9521073)",,,
5068756,Park Street,tertiary,True,False,98.40299999999998,,"LINESTRING (-57.9437659 48.9512507, -57.9433192 48.9511923, -57.9431684 48.9511615, -57.9430267 48.9511216, -57.9428757 48.9510726, -57.9427393 48.9510219, -57.9425269 48.9509294)",,,
5069371,Todd Street,tertiary,True,False,78.436,,"LINESTRING (-57.9425269 48.9509294, -57.9422159 48.9512689, -57.9419782 48.9515358)",,,
5069373,West Street,tertiary,True,False,97.627,,"LINESTRING (-57.9419782 48.9515358, -57.9431116 48.9520015)",,,
5069372,Legion Lane,unclassified,False,True,108.81200000000001,,"LINESTRING (-57.9436437 48.952709, -57.9441117 48.952955, -57.9442339 48.9530011, -57.9443437 48.9530205, -57.9444105 48.9529728, -57.9446867 48.9526701)",,,
128334578,Brook Street,unclassified,False,False,71.967,,"LINESTRING (-57.9444088 48.9496307, -57.9448343 48.9497318, -57.9453559 48.9498039)",,,
128361841,Main Street,secondary,False,False,78.10900000000001,2,"LINESTRING (-57.9458468 48.9524284, -57.945554 48.9527569, -57.945303 48.9530333)",,,
128361841,Main Street,secondary,False,True,38.3,2,"LINESTRING (-57.9458468 48.9524284, -57.9460829 48.9523126, -57.946288 48.9522445)",,,
235741806,Park Street,tertiary,True,False,36.578,1,"LINESTRING (-57.9458468 48.9524284, -57.9459282 48.9523117, -57.9459256 48.9522701, -57.9459122 48.9522197, -57.9458352 48.9521245)",,,
128361841,Main Street,secondary,False,False,45.178,2,"LINESTRING (-57.945303 48.9530333, -57.9449893 48.9533835)",,,
128361841,Main Street,secondary,False,True,78.10900000000001,2,"LINESTRING (-57.945303 48.9530333, -57.945554 48.9527569, -57.9458468 48.9524284)",,,
278118827,Main Street,primary,False,False,26.746,,"LINESTRING (-57.9431176 48.9559754, -57.9431462 48.9557356)",,,
278118848,Riverside Drive,primary,False,True,46.726,,"LINESTRING (-57.9431176 48.9559754, -57.9430272 48.9563914)",,,
5077101,Humber Road,tertiary,False,True,37.900999999999996,,"LINESTRING (-57.9431176 48.9559754, -57.9428687 48.95594, -57.9426066 48.9559171)",,,
128323272,,trunk_link,False,False,68.65799999999999,,"LINESTRING (-57.9431176 48.9559754, -57.94353 48.9560557, -57.943788 48.9560746, -57.944038 48.9560634)",,,
5077101,Humber Road,tertiary,False,False,37.900999999999996,,"LINESTRING (-57.9426066 48.9559171, -57.9428687 48.95594, -57.9431176 48.9559754)",,,
5077101,Humber Road,tertiary,False,True,74.57300000000001,,"LINESTRING (-57.9426066 48.9559171, -57.9424856 48.9559658, -57.9423834 48.9560317, -57.941938 48.9564166)",,,
128334578,Brook Street,unclassified,False,True,28.047,,"LINESTRING (-57.9480386 48.9518989, -57.9478937 48.9516653)",,,
128361841,Main Street,secondary,False,False,15.767,2,"LINESTRING (-57.9480386 48.9518989, -57.9478439 48.9519602)",,,
479525322,Mill Road,tertiary,False,True,30.532,,"LINESTRING (-57.9480386 48.9518989, -57.948262 48.952131)",,,
128361841,Main Street,secondary,False,True,32.617,2,"LINESTRING (-57.9480386 48.9518989, -57.9482437 48.9518291, -57.9484539 48.9517974)",,,
128323275,Mill Road,tertiary,False,False,38.776,,"LINESTRING (-57.9491388 48.9533481, -57.9489676 48.953018)",,,
479525323,Lewin Parkway,trunk,True,False,27.765,,"LINESTRING (-57.9491388 48.9533481, -57.9487837 48.9534374)",450-1,,
