osmid,lanes,highway,oneway,reversed,length,geometry,name,ref,maxspeed
31699304,2,unclassified,False,False,139.474,"LINESTRING (-82.8229663 42.3038864, -82.8228794 42.3050126, -82.8227965 42.305123)",,,
31701523,2,unclassified,False,False,350.365,"LINESTRING (-82.8229663 42.3038864, -82.8201396 42.3037939, -82.819984 42.3038176, -82.81987 42.3038618, -82.819793 42.3039512, -82.8197471 42.3040438, -82.8196862 42.3041945, -82.819557 42.3042956, -82.8194162 42.3043231, -82.819096 42.3043185)",Blanchard Drive,,
31704740,2,residential,False,False,6.86,"LINESTRING (-82.8189381 42.3074831, -82.8190215 42.3074819)",Orchard Park Drive,,
"[31704739, 31699319]",2,tertiary,False,True,139.041,"LINESTRING (-82.8189381 42.3074831, -82.8189664 42.3067589, -82.8189817 42.3062331)",Patillo Road,,
490107110,2,primary,True,False,11.106,"LINESTRING (-82.8192227 42.3034593, -82.819088 42.3034522)",County Road 22,22,80
479459706,1,tertiary,True,False,52.835,"LINESTRING (-82.8192227 42.3034593, -82.8192418 42.3030595, -82.8191822 42.3029987)",Patillo Road,,
490107108,2,tertiary,False,True,15.52,"LINESTRING (-82.819096 42.3043185, -82.8191158 42.3041797)",Patillo Road,,
31701523,2,unclassified,False,True,350.365,"LINESTRING (-82.819096 42.3043185, -82.8194162 42.3043231, -82.819557 42.3042956, -82.8196862 42.3041945, -82.8197471 42.3040438, -82.819793 42.3039512, -82.81987 42.3038618, -82.819984 42.3038176, -82.8201396 42.3037939, -82.8229663 42.3038864)",Blanchard Drive,,
31702365,2,tertiary,False,False,213.102,"LINESTRING (-82.819096 42.3043185, -82.8190655 42.3048096, -82.8190193 42.3055538, -82.8190076 42.3057646, -82.8189817 42.3062331)",Patillo Road,,
31698655,2,residential,False,False,113.426,"LINESTRING (-82.8247885 42.307118, -82.8246919 42.3076467, -82.8246817 42.3081332)",Powers Drive,,
31704052,2,residential,False,False,171.72600000000003,"LINESTRING (-82.8247885 42.307118, -82.8242119 42.3070658, -82.824073 42.3070585, -82.8239555 42.3070622, -82.8238311 42.3070676, -82.8236391 42.3070838, -82.8234802 42.3071083, -82.8233476 42.3071345, -82.8232074 42.3071704, -82.8227643 42.3073157)",Orchard Park Drive,,
31699304,2,unclassified,False,True,139.474,"LINESTRING (-82.8227965 42.305123, -82.8228794 42.3050126, -82.8229663 42.3038864)",,,
31703263,2,tertiary,False,True,158.782,"LINESTRING (-82.8192478 42.3013878, -82.819302 42.2999604)",Patillo Road,,
31700934,2,unclassified,False,False,421.073,"LINESTRING (-82.8192478 42.3013878, -82.8208357 42.301404, -82.8211433 42.3014176, -82.8213904 42.3014538, -82.8221085 42.3016328, -82.8224824 42.3017077, -82.8225812 42.3017141, -82.8227199 42.3017247, -82.8231935 42.3017536, -82.8243046 42.3017999)",Advance Boulevard,,
31704451,2,tertiary,False,False,125.90700000000001,"LINESTRING (-82.8192478 42.3013878, -82.8192194 42.3024805, -82.8192184 42.3025199)",Patillo Road,,
31703263,2,tertiary,False,False,158.782,"LINESTRING (-82.819302 42.2999604, -82.8192478 42.3013878)",Patillo Road,,
31702303,2,unclassified,False,False,594.6569999999999,"LINESTRING (-82.819302 42.2999604, -82.8241197 42.3000632, -82.8243869 42.3004771, -82.8243191 42.3013303, -82.8243155 42.3015031, -82.8243046 42.3017999)",,,
31701272,2,residential,False,True,107.119,"LINESTRING (-82.8210736 42.3075193, -82.8197711 42.3075063)",Orchard Park Drive,,
31701636,2,residential,False,True,142.607,"LINESTRING (-82.8210736 42.3075193, -82.8216219 42.3075257, -82.8218253 42.307517, -82.8220549 42.3074927, -82.8222509 42.3074547, -82.822447 42.3074099, -82.8226159 42.307366, -82.8227643 42.3073157)",Orchard Park Drive,,
31702337,2,residential,False,False,79.512,"LINESTRING (-82.8210736 42.3075193, -82.8210682 42.307831, -82.8210603 42.3079237, -82.8210374 42.3080658, -82.8209761 42.3082269)",De Carlo Drive,,
31701636,2,residential,False,False,142.607,"LINESTRING (-82.8227643 42.3073157, -82.8226159 42.307366, -82.822447 42.3074099, -82.8222509 42.3074547, -82.8220549 42.3074927, -82.8218253 42.307517, -82.8216219 42.3075257, -82.8210736 42.3075193)",Orchard Park Drive,,
31704038,2,residential,False,True,121.854,"LINESTRING (-82.8227643 42.3073157, -82.8225807 42.306982, -82.8225204 42.3069177, -82.8224279 42.3068772, -82.8216547 42.306794)",Allison Crescent,,
31704052,2,residential,False,True,171.72600000000003,"LINESTRING (-82.8227643 42.3073157, -82.8232074 42.3071704, -82.8233476 42.3071345, -82.8234802 42.3071083, -82.8236391 42.3070838, -82.8238311 42.3070676, -82.8239555 42.3070622, -82.824073 42.3070585, -82.8242119 42.3070658, -82.8247885 42.307118)",Orchard Park Drive,,
31701667,2,residential,False,False,5.234,"LINESTRING (-82.8197077 42.3075021, -82.8197711 42.3075063)",Orchard Park Drive,,
31701843,1,residential,True,False,57.70399999999999,"LINESTRING (-82.8197077 42.3075021, -82.8195422 42.3074584, -82.8192072 42.3074496, -82.8190215 42.3074819)",Orchard Park Drive,,
31700805,2,residential,False,False,133.525,"LINESTRING (-82.8202109 42.3066013, -82.8199438 42.306573, -82.8198368 42.3065879, -82.8198142 42.3066674, -82.8197711 42.3075063)",Seymour Crescent,,
31704740,2,residential,False,True,6.86,"LINESTRING (-82.8190215 42.3074819, -82.8189381 42.3074831)",Orchard Park Drive,,
31699723,1,residential,True,False,58.037,"LINESTRING (-82.8190215 42.3074819, -82.8191971 42.3075311, -82.8195324 42.3075396, -82.8197077 42.3075021)",Orchard Park Drive,,
31700732,2,residential,False,False,110.39900000000002,"LINESTRING (-82.8233397 42.3081079, -82.8234601 42.3081075, -82.82377 42.3081131, -82.8243339 42.3081264, -82.8246817 42.3081332)",Leffler Drive,,
31701272,2,residential,False,False,107.119,"LINESTRING (-82.8197711 42.3075063, -82.8210736 42.3075193)",Orchard Park Drive,,
31701667,2,residential,False,True,5.234,"LINESTRING (-82.8197711 42.3075063, -82.8197077 42.3075021)",Orchard Park Drive,,
31700805,2,residential,False,True,133.525,"LINESTRING (-82.8197711 42.3075063, -82.8198142 42.3066674, -82.8198368 42.3065879, -82.8199438 42.306573, -82.8202109 42.3066013)",Seymour Crescent,,
31704038,2,residential,False,False,121.85400000000001,"LINESTRING (-82.8216547 42.306794, -82.8224279 42.3068772, -82.8225204 42.3069177, -82.8225807 42.306982, -82.8227643 42.3073157)",Allison Crescent,,
31700934,2,unclassified,False,True,421.073,"LINESTRING (-82.8243046 42.3017999, -82.8231935 42.3017536, -82.8227199 42.3017247, -82.8225812 42.3017141, -82.8224824 42.3017077, -82.8221085 42.3016328, -82.8213904 42.3014538, -82.8211433 42.3014176, -82.8208357 42.301404, -82.8192478 42.3013878)",Advance Boulevard,,
31702303,2,unclassified,False,True,594.657,"LINESTRING (-82.8243046 42.3017999, -82.8243155 42.3015031, -82.8243191 42.3013303, -82.8243869 42.3004771, -82.8241197 42.3000632, -82.819302 42.2999604)",,,
31702337,2,residential,False,True,79.512,"LINESTRING (-82.8209761 42.3082269, -82.8210374 42.3080658, -82.8210603 42.3079237, -82.8210682 42.307831, -82.8210736 42.3075193)",De Carlo Drive,,
31698655,2,residential,False,True,113.426,"LINESTRING (-82.8246817 42.3081332, -82.8246919 42.3076467, -82.8247885 42.307118)",Powers Drive,,
31700732,2,residential,False,True,110.399,"LINESTRING (-82.8246817 42.3081332, -82.8243339 42.3081264, -82.82377 42.3081131, -82.8234601 42.3081075, -82.8233397 42.3081079)",Leffler Drive,,
31698797,2,residential,False,False,116.522,"LINESTRING (-82.8175658 42.3061931, -82.8189817 42.3062331)",,,
31698797,2,residential,False,True,116.522,"LINESTRING (-82.8189817 42.3062331, -82.8175658 42.3061931)",,,
31702365,2,tertiary,False,True,213.102,"LINESTRING (-82.8189817 42.3062331, -82.8190076 42.3057646, -82.8190193 42.3055538, -82.8190655 42.3048096, -82.819096 42.3043185)",Patillo Road,,
"[31704739, 31699319]",2,tertiary,False,False,139.041,"LINESTRING (-82.8189817 42.3062331, -82.8189664 42.3067589, -82.8189381 42.3074831)",Patillo Road,,
490107106,2,tertiary,False,False,53.323,"LINESTRING (-82.8192184 42.3025199, -82.8191822 42.3029987)",Patillo Road,,
31704451,2,tertiary,False,True,125.90700000000001,"LINESTRING (-82.8192184 42.3025199, -82.8192194 42.3024805, -82.8192478 42.3013878)",Patillo Road,,
490107105,4,primary,False,False,63.68,"LINESTRING (-82.8207065 42.3035752, -82.8199328 42.303552)",County Road 22,22,80
479459707,,primary_link,True,False,201.15099999999998,"LINESTRING (-82.8207065 42.3035752, -82.820506 42.3035161, -82.8201707 42.3034605, -82.8197818 42.3034367, -82.8196656 42.3034151, -82.8195431 42.3033673, -82.819409 42.3032741, -82.8193258 42.3031749, -82.8193182 42.3031084, -82.8193098 42.3030074, -82.8193075 42.3028773, -82.819272 42.3026531, -82.8192184 42.3025199)",,,
490107108,2,tertiary,False,False,15.52,"LINESTRING (-82.8191158 42.3041797, -82.819096 42.3043185)",Patillo Road,,
