osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
83030450,False,2,203,Bernardo O'Higgins,primary,50,False,129.759,"LINESTRING (-72.3358297 -39.6420967, -72.3357556 -39.6421047, -72.3356581 -39.6421153, -72.3354743 -39.6421287, -72.3352946 -39.6421338, -72.3351149 -39.6421287, -72.3349392 -39.6421194, -72.3347086 -39.6420998, -72.3344055 -39.6420719, -72.334321 -39.6420708)"
1113047567,False,3,203,Bernardo O'Higgins,primary,50,True,100.55700000000002,"LINESTRING (-72.3358297 -39.6420967, -72.335933 -39.6420801, -72.3360457 -39.6420605, -72.3361677 -39.6420285, -72.3362803 -39.6419841, -72.3364131 -39.6419221, -72.3368745 -39.6417022)"
83030469,True,2,,Ramón Freire,residential,50,False,118.63600000000001,"LINESTRING (-72.3290206 -39.6431923, -72.3290348 -39.643233, -72.3293648 -39.6441767, -72.32938 -39.6442227)"
170023325,True,2,,Martínez de Rosas,tertiary,50,False,114.19600000000001,"LINESTRING (-72.3290206 -39.6431923, -72.3289624 -39.643203, -72.3279603 -39.6434141, -72.3277734 -39.6434535, -72.3277337 -39.6434619)"
922142508,False,2,T-39,Avenida Juan Pablo II,primary,50,True,77.97,"LINESTRING (-72.3368745 -39.6417022, -72.3369938 -39.6416598, -72.337077 -39.6416392, -72.3371601 -39.641633, -72.3373118 -39.6416333, -72.3374404 -39.6416412, -72.3375852 -39.6416526, -72.3376925 -39.6416691, -72.3377623 -39.6416846)"
1019080411,False,2,203,Bernardo O'Higgins,primary,50,True,80.072,"LINESTRING (-72.3368745 -39.6417022, -72.3370648 -39.6415847, -72.3375487 -39.6413067, -72.3376188 -39.6412664)"
1113047567,False,3,203,Bernardo O'Higgins,primary,50,False,100.55700000000002,"LINESTRING (-72.3368745 -39.6417022, -72.3364131 -39.6419221, -72.3362803 -39.6419841, -72.3361677 -39.6420285, -72.3360457 -39.6420605, -72.335933 -39.6420801, -72.3358297 -39.6420967)"
83030453,True,2,203,Martínez de Rosas,secondary,50,False,117.425,"LINESTRING (-72.3329557 -39.6423528, -72.3329119 -39.6423624, -72.3327105 -39.6424061, -72.3317062 -39.6426242, -72.3316358 -39.6426395)"
204883599,True,2,,Pedro de Valdivia,primary,50,False,50.181999999999995,"LINESTRING (-72.3329557 -39.6423528, -72.3329421 -39.6423, -72.3329353 -39.6422735, -72.3329195 -39.6422123, -72.3329034 -39.6421261, -72.3328961 -39.6420636, -72.3328981 -39.6420089, -72.3329068 -39.6419593, -72.3329249 -39.6419077)"
284993491,True,2,203,Ramón Freire,secondary,50,False,118.54299999999999,"LINESTRING (-72.3286553 -39.642164, -72.3286741 -39.642217, -72.3289756 -39.6430658, -72.3290015 -39.6431385, -72.3290206 -39.6431923)"
324168092,False,2,203,Ramón Freire,secondary,50,True,103.68599999999999,"LINESTRING (-72.3286553 -39.642164, -72.3286315 -39.6421026, -72.3286149 -39.6420594, -72.3285234 -39.6418555, -72.3284939 -39.6418065, -72.328457 -39.6417693, -72.3284141 -39.6417326, -72.3280098 -39.6413975)"
1113047572,True,2,,Bernardo O'Higgins,secondary,50,False,117.561,"LINESTRING (-72.3286553 -39.642164, -72.3287267 -39.6421498, -72.3299425 -39.6419012, -72.3299824 -39.641893)"
324168092,False,2,203,Ramón Freire,secondary,50,False,44.764,"LINESTRING (-72.3276517 -39.6411042, -72.3280098 -39.6413975)"
