osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed
616351220,True,4,深南大道,primary,False,284.32099999999997,"LINESTRING (114.0560157 22.5430254, 114.0557649 22.5430783, 114.0554075 22.5431537, 114.0552252 22.5431898, 114.0550612 22.5432166, 114.0548951 22.5432359, 114.054723 22.5432475, 114.0545686 22.5432508, 114.0544133 22.5432468, 114.0542341 22.5432298, 114.0540351 22.5432008, 114.0538304 22.5431656, 114.053624 22.5431291, 114.05345 22.5430963, 114.0532901 22.5430613)",,,
25482589,True,,深南大道,primary_link,False,111.83299999999998,"LINESTRING (114.0559309 22.5422349, 114.0561695 22.5424214, 114.0561961 22.5424503, 114.0562203 22.5424835, 114.0562394 22.5425169, 114.056255 22.5425514, 114.0562654 22.5425859, 114.0562705 22.5426188, 114.0562714 22.5426556, 114.0562687 22.542694, 114.056263 22.5427333, 114.0562528 22.5427705, 114.0562367 22.542806, 114.0562167 22.5428388, 114.0561888 22.5428761, 114.0561482 22.542923, 114.056097 22.5429705, 114.0560157 22.5430254)",,,
1050725174,True,4,深南大道,primary,False,120.64299999999999,"LINESTRING (114.0559309 22.5422349, 114.0564108 22.5423596, 114.0566135 22.5424101, 114.0567704 22.5424467, 114.0569223 22.5424798, 114.0570669 22.5425104)",,,
1050725174,True,4,深南大道,primary,False,271.409,"LINESTRING (114.0533359 22.5421526, 114.0537855 22.5420628, 114.0539449 22.5420341, 114.0540988 22.5420117, 114.0542493 22.5419963, 114.0544011 22.5419883, 114.0545505 22.5419866, 114.0546957 22.5419908, 114.0548438 22.5419992, 114.054982 22.542015, 114.0551172 22.5420387, 114.0552814 22.5420728, 114.0554618 22.542114, 114.0557048 22.5421747, 114.0559309 22.5422349)",,,
996208011,True,3,金田路,primary,False,77.88,"LINESTRING (114.0580539 22.5444604, 114.0580417 22.5451607)",,,
40988589,True,1,,primary_link,False,263.48199999999997,"LINESTRING (114.0580979 22.5406656, 114.0582119 22.5414068, 114.0582253 22.5415115, 114.0582333 22.5416335, 114.0582697 22.5422611, 114.0582901 22.5423319, 114.0583095 22.5423828, 114.0583606 22.5424309, 114.0584214 22.5424558, 114.0584992 22.5424684, 114.058971 22.5424712)",,,
"[996208008, 996208011, 40988591]",True,3,金田路,primary,False,421.994,"LINESTRING (114.0580979 22.5406656, 114.0580865 22.5413091, 114.0580533 22.5437908, 114.0580539 22.5444604)",yes,,
40988609,True,,,primary_link,False,138.111,"LINESTRING (114.0510865 22.5448152, 114.0510097 22.5446489, 114.0509862 22.5445381, 114.0509788 22.5444104, 114.0509487 22.5435904)",,,
545243417,True,,,primary_link,False,126.872,"LINESTRING (114.0509487 22.5435904, 114.0509364 22.5435378, 114.0509269 22.5435083, 114.0509094 22.5434703, 114.0508896 22.5434368, 114.0508659 22.5434051, 114.050837 22.5433757, 114.0508015 22.5433461, 114.050768 22.5433224, 114.0507338 22.5433042, 114.0506928 22.5432894, 114.0506524 22.5432802, 114.0506117 22.5432765, 114.0498947 22.5432713)",,,
672979254,True,,,primary_link,False,98.842,"LINESTRING (114.0509487 22.5435904, 114.0509504 22.542815, 114.0509518 22.5427015)",,no,
1050725173,True,4,深南大道,primary,False,36.223,"LINESTRING (114.0506454 22.5424182, 114.0509981 22.5424156)",,,
535867201,True,,,primary_link,False,56.648999999999994,"LINESTRING (114.0506454 22.5424182, 114.0507554 22.542373, 114.0508381 22.5423189, 114.0509097 22.5422543, 114.0509701 22.542167, 114.0510064 22.5420637)",,,
616351220,True,4,深南大道,primary,False,12.694,"LINESTRING (114.0532901 22.5430613, 114.0531703 22.5430332)",,,
