osmid,oneway,lanes,name,highway,reversed,length,geometry
172558336,True,2,蔡新南路,secondary,False,346.406,"LINESTRING (116.857574 32.6050439, 116.8551278 32.6073803)"
245276132,False,,,tertiary,True,9.607,"LINESTRING (116.857574 32.6050439, 116.857496 32.6049878)"
172558336,True,2,蔡新南路,secondary,False,411.496,"LINESTRING (116.8524371 32.6101312, 116.8495822 32.612944)"
284464449,False,,,tertiary,False,9.607,"LINESTRING (116.8524371 32.6101312, 116.8523583 32.6100759)"
284464449,False,,,tertiary,True,527.245,"LINESTRING (116.8524371 32.6101312, 116.8549869 32.6119587, 116.8552078 32.6128185, 116.8556368 32.6134695, 116.8557083 32.6136084, 116.8557736 32.6137435)"
172558336,True,2,蔡新南路,secondary,False,396.341,"LINESTRING (116.8551278 32.6073803, 116.8524371 32.6101312)"
284464445,False,,,tertiary,True,9.607,"LINESTRING (116.8551278 32.6073803, 116.8550496 32.6073244)"
284464445,False,,,tertiary,False,9.607,"LINESTRING (116.8550496 32.6073244, 116.8551278 32.6073803)"
417820293,True,2,蔡新南路,secondary,False,346.435,"LINESTRING (116.8550496 32.6073244, 116.857496 32.6049878)"
284464449,False,,,tertiary,True,9.607,"LINESTRING (116.8523583 32.6100759, 116.8524371 32.6101312)"
417820293,True,2,蔡新南路,secondary,False,396.428,"LINESTRING (116.8523583 32.6100759, 116.8550496 32.6073244)"
245276132,False,,,tertiary,False,9.607,"LINESTRING (116.857496 32.6049878, 116.857574 32.6050439)"
284464449,False,,,tertiary,False,527.245,"LINESTRING (116.8557736 32.6137435, 116.8557083 32.6136084, 116.8556368 32.6134695, 116.8552078 32.6128185, 116.8549869 32.6119587, 116.8524371 32.6101312)"
1263510279,False,,,residential,False,164.663,"LINESTRING (116.8557736 32.6137435, 116.8559664 32.613522, 116.8561113 32.6133594, 116.8568891 32.6126001)"
1263510279,False,,,residential,True,164.66299999999998,"LINESTRING (116.8568891 32.6126001, 116.8561113 32.6133594, 116.8559664 32.613522, 116.8557736 32.6137435)"
1263510285,False,,,residential,False,9.616,"LINESTRING (116.8495023 32.6128897, 116.8495822 32.612944)"
417820293,True,2,蔡新南路,secondary,False,411.70799999999997,"LINESTRING (116.8495023 32.6128897, 116.8495828 32.6128257, 116.8523583 32.6100759)"
1263510285,False,,,residential,True,9.616,"LINESTRING (116.8495822 32.612944, 116.8495023 32.6128897)"
