osmid,name,highway,oneway,reversed,length,geometry
27888771,广场北路,secondary,False,False,71.729,"LINESTRING (93.5174247 42.8294474, 93.5174828 42.8292366, 93.5176062 42.8290416, 93.5177882 42.828873)"
148799745,爱国北路,tertiary,False,False,55.55,"LINESTRING (93.5174247 42.8294474, 93.5173724 42.829292, 93.5172551 42.8290984, 93.5171575 42.8289927)"
384595515,,residential,False,False,48.465,"LINESTRING (93.5107778 42.8216264, 93.5101962 42.8217158)"
332115925,爱国南路,residential,False,True,34.15,"LINESTRING (93.5107778 42.8216264, 93.5106585 42.8217296, 93.5106277 42.8217823, 93.5106181 42.8218391, 93.5106306 42.8218956)"
148799761,,residential,False,True,132.739,"LINESTRING (93.5165694 42.8235395, 93.5174839 42.824527)"
1094400080,中山北路,residential,False,True,10.999,"LINESTRING (93.5165694 42.8235395, 93.5164952 42.8234569)"
1130835614,广场南路,primary,True,False,298.482,"LINESTRING (93.5165694 42.8235395, 93.5134976 42.8249988)"
148799761,,residential,False,False,132.739,"LINESTRING (93.5174839 42.824527, 93.5165694 42.8235395)"
148799745,爱国北路,tertiary,False,True,207.784,"LINESTRING (93.5134976 42.8249988, 93.5149066 42.8265557)"
1094400093,爱国南路,tertiary,False,False,10.651,"LINESTRING (93.5134976 42.8249988, 93.5134216 42.8249209)"
332115918,广东路,primary,True,False,603.321,"LINESTRING (93.5134976 42.8249988, 93.5111172 42.8261727, 93.5109146 42.82627, 93.5073279 42.8279926)"
392370779,,residential,False,False,145.506,"LINESTRING (93.5141979 42.8234683, 93.5127337 42.824216)"
332115925,爱国南路,residential,False,True,96.39,"LINESTRING (93.5127337 42.824216, 93.5134216 42.8249209)"
392370779,,residential,False,True,145.506,"LINESTRING (93.5127337 42.824216, 93.5141979 42.8234683)"
332115925,爱国南路,residential,False,False,309.894,"LINESTRING (93.5127337 42.824216, 93.5106641 42.8219474, 93.5106306 42.8218956)"
104242642,广场南路,primary,True,False,238.234,"LINESTRING (93.519004 42.8223556, 93.5165694 42.8235395)"
27888771,广场北路,secondary,False,True,71.729,"LINESTRING (93.5177882 42.828873, 93.5176062 42.8290416, 93.5174828 42.8292366, 93.5174247 42.8294474)"
411672847,,secondary_link,False,True,59.8,"LINESTRING (93.5177882 42.828873, 93.5175594 42.8290087, 93.5174836 42.8290413, 93.5173983 42.8290564, 93.5173106 42.8290529, 93.517228 42.8290311, 93.5171575 42.8289927)"
148799745,爱国北路,tertiary,False,False,327.329,"LINESTRING (93.5171575 42.8289927, 93.5158869 42.8276171, 93.5153192 42.8270092, 93.5150564 42.8267338, 93.5149066 42.8265557)"
148799745,爱国北路,tertiary,False,True,55.55,"LINESTRING (93.5171575 42.8289927, 93.5172551 42.8290984, 93.5173724 42.829292, 93.5174247 42.8294474)"
411672847,,secondary_link,False,False,59.8,"LINESTRING (93.5171575 42.8289927, 93.517228 42.8290311, 93.5173106 42.8290529, 93.5173983 42.8290564, 93.5174836 42.8290413, 93.5175594 42.8290087, 93.5177882 42.828873)"
384595515,,residential,False,True,48.465,"LINESTRING (93.5101962 42.8217158, 93.5107778 42.8216264)"
411688983,,unclassified,False,True,43.894999999999996,"LINESTRING (93.5101962 42.8217158, 93.5103308 42.8217153, 93.5104576 42.8217483, 93.5105616 42.8218109, 93.5106306 42.8218956)"
332115925,爱国南路,residential,False,False,34.15,"LINESTRING (93.5106306 42.8218956, 93.5106181 42.8218391, 93.5106277 42.8217823, 93.5106585 42.8217296, 93.5107778 42.8216264)"
332115925,爱国南路,residential,False,True,309.894,"LINESTRING (93.5106306 42.8218956, 93.5106641 42.8219474, 93.5127337 42.824216)"
411688983,,unclassified,False,False,43.895,"LINESTRING (93.5106306 42.8218956, 93.5105616 42.8218109, 93.5104576 42.8217483, 93.5103308 42.8217153, 93.5101962 42.8217158)"
806783568,,residential,False,True,352.94900000000007,"LINESTRING (93.5082502 42.8237302, 93.5086525 42.8239781, 93.5091675 42.8244226, 93.5100043 42.8252292, 93.5105569 42.8254141, 93.5108198 42.8257822, 93.5109676 42.825989, 93.5110357 42.8260726)"
659851532,,residential,False,True,265.921,"LINESTRING (93.5130635 42.8275344, 93.5133786 42.8277616, 93.5134833 42.8277695, 93.51408 42.8275068, 93.5137555 42.8270878, 93.5149066 42.8265557)"
148799745,爱国北路,tertiary,False,False,207.784,"LINESTRING (93.5149066 42.8265557, 93.5134976 42.8249988)"
148799745,爱国北路,tertiary,False,True,327.329,"LINESTRING (93.5149066 42.8265557, 93.5150564 42.8267338, 93.5153192 42.8270092, 93.5158869 42.8276171, 93.5171575 42.8289927)"
659851532,,residential,False,False,265.921,"LINESTRING (93.5149066 42.8265557, 93.5137555 42.8270878, 93.51408 42.8275068, 93.5134833 42.8277695, 93.5133786 42.8277616, 93.5130635 42.8275344)"
806783566,,primary_link,True,False,49.861,"LINESTRING (93.5190029 42.8222711, 93.5191253 42.8220468, 93.519145 42.8218405)"
332115925,爱国南路,residential,False,False,96.39,"LINESTRING (93.5134216 42.8249209, 93.5127337 42.824216)"
1094400079,广场南路,primary,True,False,298.89,"LINESTRING (93.5134216 42.8249209, 93.5164952 42.8234569)"
