osmid,highway,oneway,reversed,length,geometry
163992311,residential,False,False,220.198,"LINESTRING (90.8062067 46.1924783, 90.8033645 46.1927032)"
163992311,residential,False,True,189.146,"LINESTRING (90.8062067 46.1924783, 90.8086488 46.1922895)"
163992314,residential,False,False,194.177,"LINESTRING (90.8062067 46.1924783, 90.8065136 46.1942116)"
163992314,residential,False,True,148.454,"LINESTRING (90.8062067 46.1924783, 90.8059725 46.1911531)"
553310413,secondary,False,False,15.647,"LINESTRING (90.8025485 46.1879101, 90.8025762 46.1880495)"
553310413,secondary,False,True,23.477,"LINESTRING (90.8025485 46.1879101, 90.8025084 46.1877008)"
237594009,residential,False,False,388.808,"LINESTRING (90.8025485 46.1879101, 90.8015223 46.1880081, 90.8014276 46.1880429, 90.801074 46.1883432, 90.800943 46.1884377, 90.8005459 46.1886567, 90.8004277 46.1887438, 90.8003469 46.1888251, 90.8003008 46.1889079, 90.8002777 46.1889954, 90.8002777 46.189089, 90.800284 46.1892397, 90.8004236 46.1904309)"
163992311,residential,False,False,55.257,"LINESTRING (90.8007667 46.1928928, 90.8000535 46.1929494)"
163992311,residential,False,True,201.069,"LINESTRING (90.8007667 46.1928928, 90.8033645 46.1927032)"
237594009,residential,False,False,134.826,"LINESTRING (90.8007667 46.1928928, 90.8009336 46.1940998)"
237594009,residential,False,True,140.874,"LINESTRING (90.8007667 46.1928928, 90.8005962 46.1916314)"
163992314,residential,False,False,238.552,"LINESTRING (90.80537 46.1878278, 90.805761 46.189956)"
163992314,residential,False,True,51.589,"LINESTRING (90.80537 46.1878278, 90.805307 46.1873659)"
240740714,tertiary,False,False,216.474,"LINESTRING (90.80537 46.1878278, 90.8025762 46.1880495)"
163992311,residential,False,False,201.069,"LINESTRING (90.8033645 46.1927032, 90.8007667 46.1928928)"
163992311,residential,False,True,220.198,"LINESTRING (90.8033645 46.1927032, 90.8062067 46.1924783)"
553310413,secondary,False,False,194.114,"LINESTRING (90.8033645 46.1927032, 90.8036523 46.1944375)"
553310413,secondary,False,True,144.395,"LINESTRING (90.8033645 46.1927032, 90.8031456 46.1914135)"
