osmid,name,highway,oneway,reversed,length,lanes,geometry
226583682,华阳路,tertiary,False,False,337.668,,"LINESTRING (118.3997651 35.0876421, 118.3996559 35.0906775)"
791380870,东夷大街,tertiary,False,False,220.702,,"LINESTRING (118.3997651 35.0876421, 118.3973413 35.0875653)"
791380870,东夷大街,tertiary,False,False,6.309,,"LINESTRING (118.3931132 35.0874314, 118.3930442 35.087437)"
791380870,东夷大街,tertiary,False,True,384.995,,"LINESTRING (118.3931132 35.0874314, 118.3973413 35.0875653)"
226583682,华阳路,tertiary,False,True,108.463,,"LINESTRING (118.3996364 35.0916528, 118.3996559 35.0906775)"
935677743,北京东路 辅道,tertiary,True,False,98.321,,"LINESTRING (118.3996364 35.0916528, 118.4007164 35.0916223)"
226390833,东兴路,primary,True,False,45.765,3,"LINESTRING (118.3925649 35.0874758, 118.3927027 35.0875967, 118.3928481 35.0878123)"
244958282,东兴路,primary,True,False,44.682,3,"LINESTRING (118.3925649 35.0874758, 118.3924246 35.0873501, 118.3922922 35.0871454)"
791380870,东夷大街,tertiary,False,False,48.653999999999996,,"LINESTRING (118.3925649 35.0874758, 118.3923276 35.0874974, 118.3920334 35.0875238)"
791380870,东夷大街,tertiary,False,True,43.824,,"LINESTRING (118.3925649 35.0874758, 118.3927767 35.0874587, 118.3930442 35.087437)"
226583682,华阳路,tertiary,False,False,108.463,,"LINESTRING (118.3996559 35.0906775, 118.3996364 35.0916528)"
226583682,华阳路,tertiary,False,True,337.668,,"LINESTRING (118.3996559 35.0906775, 118.3997651 35.0876421)"
371749148,,residential,False,True,113.472,,"LINESTRING (118.3996559 35.0906775, 118.3984091 35.0906532)"
215414972,,residential,False,True,421.60200000000003,,"LINESTRING (118.400947 35.0936152, 118.3965227 35.0935008, 118.3963544 35.0936)"
244663693,北京东路,trunk,True,False,213.179,2,"LINESTRING (118.3964552 35.091823, 118.3973965 35.0918383, 118.3987967 35.0917877)"
935677743,北京东路 辅道,tertiary,True,False,252.41500000000002,,"LINESTRING (118.3964552 35.091823, 118.3974734 35.0917201, 118.3992205 35.0916658)"
935677741,北京东路,trunk,True,False,47.336,2,"LINESTRING (118.3967792 35.0919826, 118.3962608 35.0920187)"
244958282,东兴路,primary,True,False,30.522,3,"LINESTRING (118.3952923 35.0921311, 118.3951324 35.0918898)"
226390836,北京东路,trunk,True,False,69.962,2,"LINESTRING (118.3952923 35.0921311, 118.3951125 35.0921881, 118.3945742 35.0923561)"
226390836,北京东路,trunk,True,False,12.25,2,"LINESTRING (118.3954228 35.092104, 118.3952923 35.0921311)"
244954953,东兴路,primary,True,False,82.809,2,"LINESTRING (118.3954228 35.092104, 118.3958286 35.0927706)"
215414972,,residential,False,False,421.60200000000003,,"LINESTRING (118.3963544 35.0936, 118.3965227 35.0935008, 118.400947 35.0936152)"
935677741,北京东路,trunk,True,False,76.832,2,"LINESTRING (118.3962608 35.0920187, 118.3954228 35.092104)"
244955554,,trunk_link,True,False,104.172,1,"LINESTRING (118.3962608 35.0920187, 118.396015 35.0921194, 118.3958812 35.0922287, 118.3958269 35.0923124, 118.3957923 35.0924502, 118.3958286 35.0927706)"
244954953,东兴路,primary,True,False,103.89800000000001,2,"LINESTRING (118.3958286 35.0927706, 118.3962891 35.0934913, 118.3963544 35.0936)"
244955550,,primary,True,False,82.205,3,"LINESTRING (118.3956989 35.0927913, 118.3952923 35.0921311)"
244955553,,trunk_link,True,False,118.98700000000001,1,"LINESTRING (118.3956989 35.0927913, 118.3953206 35.0925034, 118.3950757 35.0923883, 118.3948847 35.0923457, 118.3945742 35.0923561)"
244663693,北京东路,trunk,True,False,42.389,2,"LINESTRING (118.3959898 35.0918406, 118.3964552 35.091823)"
226390836,北京东路,trunk,True,False,42.407,2,"LINESTRING (118.3945742 35.0923561, 118.3941323 35.0924774)"
244958283,,trunk_link,True,False,102.09,1,"LINESTRING (118.3944635 35.0920997, 118.394645 35.091932, 118.3947329 35.0918066, 118.3947822 35.0916505, 118.3947866 35.0914939, 118.3947406 35.0912653)"
289188442,北京东路,trunk,True,False,65.274,2,"LINESTRING (118.3944635 35.0920997, 118.3949575 35.0919301, 118.3951324 35.0918898)"
244954953,东兴路,primary,True,False,28.604,2,"LINESTRING (118.395288 35.0918716, 118.3954228 35.092104)"
244663693,北京东路,trunk,True,False,63.947,2,"LINESTRING (118.395288 35.0918716, 118.3954828 35.0918608, 118.3959898 35.0918406)"
244958282,东兴路,primary,True,False,238.376,3,"LINESTRING (118.3938305 35.08967, 118.3926629 35.0877509)"
226390833,东兴路,primary,True,False,58.368,3,"LINESTRING (118.395016 35.0913962, 118.395288 35.0918716)"
244955557,,trunk_link,True,False,103.012,1,"LINESTRING (118.395016 35.0913962, 118.3951814 35.0915159, 118.3954578 35.0916747, 118.395793 35.0918086, 118.3959898 35.0918406)"
244958282,东兴路,primary,True,False,195.765,3,"LINESTRING (118.3947406 35.0912653, 118.393866 35.0897295, 118.3938305 35.08967)"
244958282,东兴路,primary,True,False,78.057,3,"LINESTRING (118.3951324 35.0918898, 118.3947406 35.0912653)"
289188442,北京东路,trunk,True,False,14.301,2,"LINESTRING (118.3951324 35.0918898, 118.395288 35.0918716)"
264430962,,primary_link,True,False,49.718,,"LINESTRING (118.3920334 35.0875238, 118.3921829 35.0874014, 118.3922258 35.0873509, 118.3922922 35.0871454)"
791380870,东夷大街,tertiary,False,True,48.653999999999996,,"LINESTRING (118.3920334 35.0875238, 118.3923276 35.0874974, 118.3925649 35.0874758)"
226390833,东兴路,primary,True,False,343.33,3,"LINESTRING (118.3928481 35.0878123, 118.3939852 35.0896731, 118.3945264 35.0905777)"
226390833,东兴路,primary,True,False,37.528,3,"LINESTRING (118.3924507 35.0871518, 118.3925303 35.0873531, 118.3925649 35.0874758)"
264430943,,primary_link,True,False,68.17699999999999,,"LINESTRING (118.3924507 35.0871518, 118.3925836 35.0872368, 118.3927408 35.0872983, 118.3931132 35.0874314)"
791380870,东夷大街,tertiary,False,True,6.309,,"LINESTRING (118.3930442 35.087437, 118.3931132 35.0874314)"
264430914,,primary_link,True,False,46.679,,"LINESTRING (118.3930442 35.087437, 118.3928883 35.0876121, 118.392868 35.0876823, 118.3928481 35.0878123)"
791380870,东夷大街,tertiary,False,False,43.824,,"LINESTRING (118.3930442 35.087437, 118.3927767 35.0874587, 118.3925649 35.0874758)"
244958282,东兴路,primary,True,False,31.916,3,"LINESTRING (118.3926629 35.0877509, 118.3926059 35.0876204, 118.3925649 35.0874758)"
264430918,,primary_link,True,False,62.942,,"LINESTRING (118.3926629 35.0877509, 118.3923921 35.0876253, 118.3922001 35.0875594, 118.3920334 35.0875238)"
226390833,东兴路,primary,True,False,101.33,3,"LINESTRING (118.3945264 35.0905777, 118.395016 35.0913962)"
371749148,,residential,False,False,139.255,,"LINESTRING (118.3945264 35.0905777, 118.3947801 35.0905826, 118.3960565 35.0906075)"
371749149,,residential,True,False,86.682,,"LINESTRING (118.3960565 35.0906075, 118.3960921 35.0898285)"
371749148,,residential,False,False,214.11100000000002,,"LINESTRING (118.3960565 35.0906075, 118.3965085 35.0906163, 118.3978952 35.0906432, 118.3984091 35.0906532)"
371749148,,residential,False,True,139.255,,"LINESTRING (118.3960565 35.0906075, 118.3947801 35.0905826, 118.3945264 35.0905777)"
791380870,东夷大街,tertiary,False,False,384.995,,"LINESTRING (118.3973413 35.0875653, 118.3931132 35.0874314)"
