osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,bridge
333300667,2,北山东路,tertiary,False,False,59.213,,"LINESTRING (119.324677 31.5627216, 119.3252322 31.5624771)",
333300672,,北山西路,tertiary,False,False,317.907,,"LINESTRING (119.324677 31.5627216, 119.3216568 31.5639672)",
333300673,,西大街,tertiary,False,False,50.958,,"LINESTRING (119.324677 31.5627216, 119.3248333 31.5622831)",
333300668,2,环镇西路,secondary,False,True,155.139,X108,"LINESTRING (119.3212008 31.5604819, 119.3213646 31.5618701)",
333300669,,振兴街,tertiary,False,False,429.19999999999993,,"LINESTRING (119.3212008 31.5604819, 119.3242385 31.5597073, 119.3255307 31.5600661)",
333300669,,振兴街,tertiary,False,False,137.256,,"LINESTRING (119.3265316 31.5603441, 119.3279685 31.5601873)",
333300669,,振兴街,tertiary,False,True,99.745,,"LINESTRING (119.3265316 31.5603441, 119.3255307 31.5600661)",
333300679,,镇中街,residential,False,False,151.234,,"LINESTRING (119.3265316 31.5603441, 119.3263911 31.5606786, 119.3252902 31.5610387)",
333300679,,镇中街,residential,False,True,191.62099999999998,,"LINESTRING (119.3265316 31.5603441, 119.3267927 31.5597555, 119.3277941 31.5590708)",
536401485,,环镇东路,tertiary,False,False,286.706,,"LINESTRING (119.3307008 31.5601631, 119.3305477 31.5627382)",
"[536401480, 536401482, 333300669]",,"['振兴桥', '振兴街']",tertiary,False,True,258.895,,"LINESTRING (119.3307008 31.5601631, 119.3293729 31.5601749, 119.329191 31.5601765, 119.3279685 31.5601873)",yes
"[333300680, 536401485, 536401487]",,"['竹箦新桥', '环镇东路']",tertiary,False,True,485.03499999999997,,"LINESTRING (119.3307008 31.5601631, 119.3306151 31.5583112, 119.3304835 31.5580549, 119.3303946 31.5579764, 119.330268 31.5579536, 119.3288358 31.5578675, 119.3285747 31.557855, 119.3279139 31.5578386)",yes
536401475,2,北山东路,tertiary,False,False,207.33,,"LINESTRING (119.3283628 31.5626346, 119.3305477 31.5627382)",
536401475,2,北山东路,tertiary,False,True,16.9,,"LINESTRING (119.3283628 31.5626346, 119.3281849 31.5626236)",
"[536401472, 536401470, 333300670]",,"['竹箦桥', '竹溪北街']",tertiary,False,False,282.66,,"LINESTRING (119.3283628 31.5626346, 119.32853 31.5617948, 119.3284865 31.5616133, 119.3280862 31.56078, 119.3280211 31.5606156, 119.327992 31.5604658, 119.3279685 31.5601873)",yes
333300669,,振兴街,tertiary,False,True,137.256,,"LINESTRING (119.3279685 31.5601873, 119.3265316 31.5603441)",
333300671,,竹溪南街,tertiary,False,False,125.244,,"LINESTRING (119.3279685 31.5601873, 119.3277941 31.5590708)",
