osmid,name,highway,oneway,reversed,length,geometry,ref,junction,lanes
260166300,剑川大道,secondary,False,False,203.878,"LINESTRING (119.1320095 28.0731043, 119.1320968 28.0749362)",,,
260166270,华楼街,tertiary,False,True,173.998,"LINESTRING (119.1320095 28.0731043, 119.132272 28.0731634, 119.133691 28.0735993)",,,
260166270,华楼街,tertiary,False,False,203.617,"LINESTRING (119.1363178 28.0744061, 119.1343578 28.0738041)",,,
260166270,华楼街,tertiary,False,True,257.822,"LINESTRING (119.1363178 28.0744061, 119.138776 28.0752257)",,,
260166291,龙翔路,tertiary,False,True,101.972,"LINESTRING (119.1363178 28.0744061, 119.135971 28.0752706)",,,
260166270,华楼街,tertiary,False,False,257.822,"LINESTRING (119.138776 28.0752257, 119.1363178 28.0744061)",,,
792328030,环城东路,primary,False,True,280.959,"LINESTRING (119.138776 28.0752257, 119.1378096 28.0776042)",S215,,
260166270,华楼街,tertiary,False,True,298.41200000000003,"LINESTRING (119.138776 28.0752257, 119.1411281 28.0759468, 119.1416447 28.0761173)",,,
792300624,贤良街,tertiary,False,True,130.282,"LINESTRING (119.1321134 28.0757865, 119.1333545 28.0762032)",,,
260166300,剑川大道,secondary,False,True,94.57499999999999,"LINESTRING (119.1321134 28.0757865, 119.1321162 28.0756177, 119.1320968 28.0749362)",,,
260166291,龙翔路,tertiary,False,False,87.935,"LINESTRING (119.135345 28.0768365, 119.1356431 28.0760907)",,,
260166291,龙翔路,tertiary,False,True,95.217,"LINESTRING (119.135345 28.0768365, 119.135011 28.0776405)",,,
792300624,贤良街,tertiary,False,False,112.458,"LINESTRING (119.135345 28.0768365, 119.1342633 28.0765019)",,,
792300624,贤良街,tertiary,False,True,256.426,"LINESTRING (119.135345 28.0768365, 119.1378096 28.0776042)",,,
792300624,贤良街,tertiary,False,False,256.426,"LINESTRING (119.1378096 28.0776042, 119.135345 28.0768365)",,,
792300624,贤良街,tertiary,False,True,298.224,"LINESTRING (119.1378096 28.0776042, 119.1406702 28.0785113)",,,
792328030,环城东路,primary,False,False,280.959,"LINESTRING (119.1378096 28.0776042, 119.138776 28.0752257)",S215,,
792328030,环城东路,primary,False,True,144.162,"LINESTRING (119.1378096 28.0776042, 119.1373083 28.0788229)",S215,,
792300610,,residential,True,False,282.849,"LINESTRING (119.1406702 28.0785113, 119.1416447 28.0761173)",,,
792300624,贤良街,tertiary,False,False,298.224,"LINESTRING (119.1406702 28.0785113, 119.1378096 28.0776042)",,,
792300624,贤良街,tertiary,False,True,16.271,"LINESTRING (119.1406702 28.0785113, 119.1408259 28.0785617)",,,
260166291,龙翔路,tertiary,False,False,103.754,"LINESTRING (119.1346471 28.0785166, 119.135011 28.0776405)",,,
260166316,中山东路,secondary,False,False,201.564,"LINESTRING (119.1346471 28.0785166, 119.1365761 28.0791405)",,,
260166316,中山东路,secondary,False,True,105.894,"LINESTRING (119.1346471 28.0785166, 119.1336337 28.0781888)",,,
369132338,龙翔路,residential,False,True,171.97,"LINESTRING (119.1346471 28.0785166, 119.1340031 28.079955)",,,
260166217,,primary,True,False,41.998000000000005,"LINESTRING (119.1370061 28.0791158, 119.1370907 28.0790984, 119.1371772 28.0791056, 119.1372567 28.0791364, 119.137321 28.0791879, 119.1373616 28.0792494)",S215,roundabout,
260166233,,primary,True,False,44.209,"LINESTRING (119.1370061 28.0791158, 119.1371902 28.0789628, 119.1373083 28.0788229)",S215,,
260166316,中山东路,secondary,False,True,201.564,"LINESTRING (119.1365761 28.0791405, 119.1346471 28.0785166)",,,
260166297,,secondary,True,False,42.663,"LINESTRING (119.1365761 28.0791405, 119.1367945 28.0791538, 119.1370061 28.0791158)",,,
260166217,,primary,True,False,27.387999999999998,"LINESTRING (119.1373616 28.0792494, 119.1373801 28.0793336, 119.1373661 28.0794129, 119.1373232 28.0794837)",S215,roundabout,
260166250,,secondary,True,False,49.672,"LINESTRING (119.1373616 28.0792494, 119.1374938 28.0794098, 119.137737 28.0795349)",X107,,
260166217,,primary,True,False,42.885999999999996,"LINESTRING (119.1368637 28.0794386, 119.1368398 28.0793644, 119.1368439 28.0792873, 119.1368757 28.0792155, 119.1369317 28.0791562, 119.1370061 28.0791158)",S215,roundabout,
260166296,,secondary,True,False,44.044,"LINESTRING (119.1368637 28.0794386, 119.1367493 28.0792735, 119.1365761 28.0791405)",,,
260166217,,primary,True,False,54.05999999999999,"LINESTRING (119.1373232 28.0794837, 119.1372554 28.0795383, 119.1371708 28.0795699, 119.1370791 28.0795747, 119.1369909 28.0795523, 119.1369162 28.0795051, 119.1368637 28.0794386)",S215,roundabout,
792300614,,primary,True,False,68.002,"LINESTRING (119.1373232 28.0794837, 119.137196 28.0796841, 119.1371257 28.0798175, 119.1370537 28.0800435)",S215,,
943440421,中山东路,secondary,False,False,139.618,"LINESTRING (119.137737 28.0795349, 119.1390727 28.0799682)",X107,,
260166251,,secondary,True,False,41.194,"LINESTRING (119.137737 28.0795349, 119.1375204 28.0794897, 119.1373232 28.0794837)",X107,,
260166231,兰龙线,primary,False,True,16.14,"LINESTRING (119.1370537 28.0800435, 119.1370462 28.0801885)",S215,,2
792300613,,primary,True,False,69.969,"LINESTRING (119.1370537 28.0800435, 119.1369824 28.0797341, 119.1368637 28.0794386)",S215,,
943440421,中山东路,secondary,False,False,94.504,"LINESTRING (119.1390727 28.0799682, 119.1399768 28.0802615)",X107,,
943440421,中山东路,secondary,False,True,139.618,"LINESTRING (119.1390727 28.0799682, 119.137737 28.0795349)",X107,,
260166316,中山东路,secondary,False,False,99.71,"LINESTRING (119.1326795 28.0778801, 119.1336337 28.0781888)",,,
304987541,,residential,False,False,92.841,"LINESTRING (119.1326795 28.0778801, 119.1323314 28.0786565)",,,
