osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref
38509597,5ta,tertiary,50,False,True,136.427,"LINESTRING (-82.5714956 23.045677, -82.5712466 23.0455943, -82.5702618 23.0452126)",,
38509597,5ta,tertiary,50,False,False,17.268,"LINESTRING (-82.5678088 23.0443078, -82.567848 23.044327, -82.5678652 23.0443339, -82.5679621 23.0443725)",,
38509597,5ta,tertiary,50,False,True,20.179000000000002,"LINESTRING (-82.5678088 23.0443078, -82.5676894 23.0442451, -82.5676406 23.0442134)",,
603014266,,trunk_link,,True,False,25.659,"LINESTRING (-82.5678088 23.0443078, -82.5678161 23.0441762, -82.5678314 23.0441428, -82.567878 23.044097)",,
38509578,Carretera Panamericana,trunk,60,True,False,27.524,"LINESTRING (-82.5676406 23.0442134, -82.567878 23.044097)",2,CN
984556500,5ta,tertiary,50,False,True,7.847,"LINESTRING (-82.5676406 23.0442134, -82.5675963 23.0441558)",,
38509597,5ta,tertiary,50,False,False,20.179000000000002,"LINESTRING (-82.5676406 23.0442134, -82.5676894 23.0442451, -82.5678088 23.0443078)",,
38509597,5ta,tertiary,50,False,True,100.651,"LINESTRING (-82.568882 23.0446931, -82.5679621 23.0443725)",,
38509597,5ta,tertiary,50,False,False,110.02,"LINESTRING (-82.568882 23.0446931, -82.5698245 23.0450404, -82.5698778 23.0450657)",,
368236775,7ma,tertiary,50,False,True,96.562,"LINESTRING (-82.568882 23.0446931, -82.5688222 23.0448281, -82.5685259 23.0454973)",,
"[368236987, 984864773]",,residential,,False,True,185.78100000000003,"LINESTRING (-82.568882 23.0446931, -82.5689383 23.0445603, -82.5690781 23.0442302, -82.5691336 23.0440899, -82.5697279 23.0441553, -82.5698598 23.0442082, -82.5701412 23.0443144, -82.570183 23.0443625)",,
38509597,5ta,tertiary,50,False,True,42.552,"LINESTRING (-82.5702618 23.0452126, -82.5698778 23.0450657)",,
38509597,5ta,tertiary,50,False,False,136.427,"LINESTRING (-82.5702618 23.0452126, -82.5712466 23.0455943, -82.5714956 23.045677)",,
984864772,,residential,,False,False,84.491,"LINESTRING (-82.5702618 23.0452126, -82.5703253 23.0450587, -82.5704104 23.0448528, -82.5705551 23.0445023)",,
38509597,5ta,tertiary,50,False,False,100.651,"LINESTRING (-82.5679621 23.0443725, -82.568882 23.0446931)",,
38509597,5ta,tertiary,50,False,True,17.268,"LINESTRING (-82.5679621 23.0443725, -82.5678652 23.0443339, -82.567848 23.044327, -82.5678088 23.0443078)",,
368236989,,residential,,False,True,58.831,"LINESTRING (-82.5698533 23.0437119, -82.5703886 23.043905)",,
368236919,,residential,,False,False,55.05,"LINESTRING (-82.5703886 23.043905, -82.570183 23.0443625)",,
368236989,,residential,,False,False,58.831,"LINESTRING (-82.5703886 23.043905, -82.5698533 23.0437119)",,
368236989,,residential,,False,True,25.71,"LINESTRING (-82.5703886 23.043905, -82.5706186 23.0439981)",,
368236919,,residential,,False,True,55.05,"LINESTRING (-82.570183 23.0443625, -82.5703886 23.043905)",,
368236987,,residential,,False,True,41.125,"LINESTRING (-82.570183 23.0443625, -82.5705551 23.0445023)",,
368236919,,residential,,False,False,84.198,"LINESTRING (-82.570183 23.0443625, -82.5699454 23.0449099, -82.5698778 23.0450657)",,
"[368236987, 984864773]",,residential,,False,False,185.781,"LINESTRING (-82.570183 23.0443625, -82.5701412 23.0443144, -82.5698598 23.0442082, -82.5697279 23.0441553, -82.5691336 23.0440899, -82.5690781 23.0442302, -82.5689383 23.0445603, -82.568882 23.0446931)",,
368236987,,residential,,False,False,41.125,"LINESTRING (-82.5705551 23.0445023, -82.570183 23.0443625)",,
"[984864772, 368236989]",,residential,,False,False,68.52,"LINESTRING (-82.5705551 23.0445023, -82.570745 23.0440428, -82.5706186 23.0439981)",,
984864772,,residential,,False,True,84.49100000000001,"LINESTRING (-82.5705551 23.0445023, -82.5704104 23.0448528, -82.5703253 23.0450587, -82.5702618 23.0452126)",,
38509597,5ta,tertiary,50,False,False,42.552,"LINESTRING (-82.5698778 23.0450657, -82.5702618 23.0452126)",,
38509597,5ta,tertiary,50,False,True,110.02,"LINESTRING (-82.5698778 23.0450657, -82.5698245 23.0450404, -82.568882 23.0446931)",,
368236919,,residential,,False,True,84.198,"LINESTRING (-82.5698778 23.0450657, -82.5699454 23.0449099, -82.570183 23.0443625)",,
368236775,7ma,tertiary,50,False,False,96.562,"LINESTRING (-82.5685259 23.0454973, -82.5688222 23.0448281, -82.568882 23.0446931)",,
368236775,7ma,tertiary,50,False,True,141.439,"LINESTRING (-82.5685259 23.0454973, -82.5683859 23.0457775, -82.5683259 23.0458421, -82.5682392 23.0458857, -82.5681832 23.0459138, -82.5678787 23.0459821, -82.5675232 23.0460618, -82.5674135 23.0460864)",,
"[404796480, 368236991]",5ta,residential,,False,False,154.045,"LINESTRING (-82.5685259 23.0454973, -82.5688925 23.045635, -82.5691218 23.0457211, -82.5692483 23.0457686, -82.5692322 23.0458198, -82.5692182 23.0458643, -82.5689794 23.0463576, -82.5689671 23.0463829)",,
"[404796480, 368237001]",9na,residential,,False,True,285.485,"LINESTRING (-82.5685259 23.0454973, -82.5681474 23.0453701, -82.5679491 23.0453035, -82.5678174 23.0452955, -82.567472 23.0453728, -82.5673553 23.0453967, -82.5670865 23.0454517, -82.5668111 23.045508, -82.5660307 23.0456675, -82.5658236 23.0457098)",,
368236958,,residential,,False,False,7.217,"LINESTRING (-82.5648687 23.0456382, -82.5648325 23.0455825)",,
368236958,,residential,,False,True,31.828000000000003,"LINESTRING (-82.5648687 23.0456382, -82.5649048 23.0456916, -82.564957 23.0457786, -82.5650318 23.0458817)",,
955936936,Carretera Panamericana,trunk,80,True,False,291.91,"LINESTRING (-82.5648687 23.0456382, -82.5667614 23.0446652, -82.5673596 23.0443584)",2,CN
368237001,9na,residential,,False,True,83.242,"LINESTRING (-82.5658236 23.0457098, -82.5650318 23.0458817)",,
404796470,,residential,,False,True,74.501,"LINESTRING (-82.5658236 23.0457098, -82.5660019 23.0463594)",,
