osmid,highway,oneway,reversed,length,geometry
113137931,tertiary,False,True,97.511,"LINESTRING (-6.0471168 7.4251823, -6.0468605 7.424343)"
362629975,residential,False,True,118.899,"LINESTRING (-6.0471168 7.4251823, -6.0474167 7.4262094)"
113137931,tertiary,False,False,103.449,"LINESTRING (-6.0471168 7.4251823, -6.0475579 7.4253577, -6.0479925 7.4255159)"
362629184,residential,False,False,54.514,"LINESTRING (-6.0485399 7.4299822, -6.0480478 7.4299349)"
362629184,residential,False,True,148.428,"LINESTRING (-6.0485399 7.4299822, -6.0498751 7.4301521)"
362629922,residential,False,True,84.793,"LINESTRING (-6.0485399 7.4299822, -6.048323 7.4292506)"
362636488,residential,False,True,96.574,"LINESTRING (-6.0485399 7.4299822, -6.0487755 7.4308187)"
362629184,residential,False,False,148.428,"LINESTRING (-6.0498751 7.4301521, -6.0485399 7.4299822)"
362629184,residential,False,True,31.846,"LINESTRING (-6.0498751 7.4301521, -6.0501597 7.4302009)"
362629437,residential,False,True,51.675000000000004,"LINESTRING (-6.0498751 7.4301521, -6.0499185 7.4300222, -6.0499724 7.4296987)"
362629184,residential,False,False,148.729,"LINESTRING (-6.0514984 7.4303649, -6.0501597 7.4302009)"
362629184,residential,False,True,71.057,"LINESTRING (-6.0514984 7.4303649, -6.0521421 7.4303955)"
1110046048,tertiary,False,False,62.552,"LINESTRING (-6.0514984 7.4303649, -6.0514787 7.4309271)"
113137931,tertiary,False,True,168.077,"LINESTRING (-6.0514984 7.4303649, -6.0515336 7.4296165, -6.0515526 7.4288544)"
362629184,residential,False,False,71.057,"LINESTRING (-6.0521421 7.4303955, -6.0514984 7.4303649)"
362629184,residential,False,True,62.241,"LINESTRING (-6.0521421 7.4303955, -6.0527057 7.4304269)"
362634659,residential,False,False,255.319,"LINESTRING (-6.0521421 7.4303955, -6.0521871 7.4280998)"
362636483,residential,False,True,171.356,"LINESTRING (-6.0521421 7.4303955, -6.0520973 7.4319359)"
362629184,residential,False,False,62.241,"LINESTRING (-6.0527057 7.4304269, -6.0521421 7.4303955)"
362629184,residential,False,True,62.406,"LINESTRING (-6.0527057 7.4304269, -6.0532714 7.4304447)"
362634660,residential,False,False,256.811,"LINESTRING (-6.0527057 7.4304269, -6.0527824 7.4281186)"
362636410,residential,False,True,172.918,"LINESTRING (-6.0527057 7.4304269, -6.0526471 7.4319809)"
362629184,residential,False,False,62.406,"LINESTRING (-6.0532714 7.4304447, -6.0527057 7.4304269)"
362629184,residential,False,True,7.737,"LINESTRING (-6.0532714 7.4304447, -6.0533415 7.4304478)"
362634658,residential,False,False,257.715,"LINESTRING (-6.0532714 7.4304447, -6.0533549 7.4281285)"
362629184,residential,False,False,60.448,"LINESTRING (-6.0543515 7.4304841, -6.0538035 7.4304686)"
362629184,residential,False,True,258.305,"LINESTRING (-6.0543515 7.4304841, -6.0544353 7.4281626)"
362629923,residential,False,False,130.128,"LINESTRING (-6.0479087 7.4279306, -6.0475988 7.4268014)"
362629923,residential,False,True,153.722,"LINESTRING (-6.0479087 7.4279306, -6.048323 7.4292506)"
362630532,residential,False,False,77.389,"LINESTRING (-6.0479087 7.4279306, -6.0472359 7.4281288)"
362629922,residential,False,False,84.793,"LINESTRING (-6.048323 7.4292506, -6.0485399 7.4299822)"
362629922,residential,False,True,159.715,"LINESTRING (-6.048323 7.4292506, -6.0497125 7.4288448)"
362629923,residential,False,False,153.722,"LINESTRING (-6.048323 7.4292506, -6.0479087 7.4279306)"
362629923,residential,False,True,25.171,"LINESTRING (-6.048323 7.4292506, -6.0482085 7.4292814, -6.0481038 7.4293137)"
362629437,residential,False,False,73.577,"LINESTRING (-6.0507159 7.4267362, -6.0505364 7.4273735)"
362629437,residential,False,True,86.356,"LINESTRING (-6.0507159 7.4267362, -6.0509123 7.4259844)"
113137931,tertiary,False,False,191.233,"LINESTRING (-6.0507159 7.4267362, -6.0509924 7.4268698, -6.0511751 7.4270261, -6.0513425 7.4272221, -6.0514511 7.4274289, -6.0515249 7.4276371, -6.051569 7.4278491, -6.0515828 7.4280971)"
113137931,tertiary,False,True,225.71800000000002,"LINESTRING (-6.0507159 7.4267362, -6.050037 7.4264311, -6.0488431 7.4259167)"
362629437,residential,False,True,73.577,"LINESTRING (-6.0505364 7.4273735, -6.0507159 7.4267362)"
362629437,residential,False,False,145.827,"LINESTRING (-6.0505364 7.4273735, -6.0503752 7.4280307, -6.0502364 7.4286507)"
362629438,residential,False,False,169.622,"LINESTRING (-6.0505364 7.4273735, -6.0507335 7.4275489, -6.0508101 7.427661, -6.0508678 7.4277754, -6.0508999 7.4279243, -6.0509126 7.4280596, -6.0509081 7.4283393, -6.0508947 7.4286279, -6.0508813 7.42877)"
362629438,residential,False,True,99.519,"LINESTRING (-6.0505364 7.4273735, -6.0498023 7.4270796, -6.049702 7.4270327)"
362629437,residential,False,False,9.938,"LINESTRING (-6.0502364 7.4286507, -6.050204 7.4287341)"
362629438,residential,False,True,72.335,"LINESTRING (-6.0502364 7.4286507, -6.0508813 7.42877)"
362629437,residential,False,True,145.827,"LINESTRING (-6.0502364 7.4286507, -6.0503752 7.4280307, -6.0505364 7.4273735)"
362629438,residential,False,False,72.335,"LINESTRING (-6.0508813 7.42877, -6.0502364 7.4286507)"
362629466,residential,False,False,74.611,"LINESTRING (-6.0508813 7.42877, -6.0515526 7.4288544)"
