osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,bridge
493374017,Calle San Antonio de Padua,residential,False,False,99.562,,,"LINESTRING (-69.0337951 18.758055, -69.0330896 18.7586512)",,
493374017,Calle San Antonio de Padua,residential,False,True,8.409,,,"LINESTRING (-69.0337951 18.758055, -69.0338599 18.7580108)",,
338232955,Avenida Manuela Díez Jiménez,primary,True,False,48.629,2,RD-4,"LINESTRING (-69.0337951 18.758055, -69.0338197 18.7580842, -69.0340835 18.7583966)",,
493372918,,residential,False,False,52.979,,,"LINESTRING (-69.0401641 18.7590972, -69.039772 18.7587986)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,False,106.34,,,"LINESTRING (-69.0401641 18.7590972, -69.0398039 18.7595224, -69.0395014 18.7598175)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,True,87.11099999999999,,,"LINESTRING (-69.0401641 18.7590972, -69.0404163 18.7587943, -69.0406241 18.7584487)",,
388948753,Calle Juan Morel Campos,residential,False,False,95.398,,,"LINESTRING (-69.0349188 18.7593831, -69.0342104 18.759918)",,
388948753,Calle Juan Morel Campos,residential,False,True,9.04,,,"LINESTRING (-69.0349188 18.7593831, -69.0349827 18.7593288)",,
338232955,Avenida Manuela Díez Jiménez,primary,True,False,92.528,2,RD-4,"LINESTRING (-69.0349188 18.7593831, -69.0349603 18.7594326, -69.0354651 18.7600349)",,
493336155,Calle Francisco Bobadilla,residential,False,True,23.967,,,"LINESTRING (-69.0320369 18.7594942, -69.03216 18.7596755)",,
493374017,Calle San Antonio de Padua,residential,False,True,96.602,,,"LINESTRING (-69.0320369 18.7594942, -69.0327371 18.7589328)",,
"[493336155, 493336151]",Calle Francisco Bobadilla,residential,False,False,129.666,,,"LINESTRING (-69.0320369 18.7594942, -69.0318559 18.7592276, -69.0320969 18.758917, -69.0324229 18.7585709)",,
388948756,Calle Gastón Fernando Deligne,tertiary,False,True,7.926,,,"LINESTRING (-69.0354651 18.7600349, -69.0355216 18.7599878)",,
388948753,Calle Juan Morel Campos,residential,False,False,9.04,,,"LINESTRING (-69.0349827 18.7593288, -69.0349188 18.7593831)",,
388948753,Calle Juan Morel Campos,residential,False,True,63.503,,,"LINESTRING (-69.0349827 18.7593288, -69.0354464 18.7589636)",,
493314033,Avenida Manuela Díez Jiménez,primary,True,False,45.757000000000005,2,RD-4,"LINESTRING (-69.0349827 18.7593288, -69.0349432 18.7592825, -69.0347096 18.7590087)",,
367815704,El Seibo- Higüey,primary,False,True,36.35,,RD-4,"LINESTRING (-69.0322898 18.756198, -69.0320671 18.7559482)",80,
"[338232955, 493314034, 338233099]",Avenida Manuela Díez Jiménez,primary,True,False,260.841,2,RD-4,"LINESTRING (-69.0322898 18.756198, -69.0324172 18.7564323, -69.0331063 18.7572584, -69.0337537 18.7580051, -69.0337951 18.758055)",80,yes
493324370,,residential,False,True,121.45100000000001,,,"LINESTRING (-69.0322898 18.756198, -69.0326336 18.7558729, -69.032934 18.7557104, -69.0331959 18.7555336)",,
493374017,Calle San Antonio de Padua,residential,False,False,8.409,,,"LINESTRING (-69.0338599 18.7580108, -69.0337951 18.758055)",,
493374017,Calle San Antonio de Padua,residential,False,True,82.083,,,"LINESTRING (-69.0338599 18.7580108, -69.0344411 18.7575188)",,
493314033,Avenida Manuela Díez Jiménez,primary,True,False,82.089,2,RD-4,"LINESTRING (-69.0338599 18.7580108, -69.0338153 18.7579564, -69.0333816 18.7574278)",,
