osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction
177869245,Aia,residential,False,False,157.168,"LINESTRING (25.5541858 58.10299, 25.5541161 58.102932, 25.5535046 58.1025574, 25.552436 58.101922)",,,,
"[183054521, 212502802, 214709063]","['Kalda', 'Lossimäe']",residential,False,False,445.961,"LINESTRING (25.5541858 58.10299, 25.5543892 58.1031341, 25.5552713 58.1034601, 25.5544958 58.1038254, 25.5530903 58.1043752, 25.551534 58.1046911, 25.5511425 58.1047706, 25.5509923 58.1048011, 25.5504085 58.1043569, 25.5503428 58.104307)",,,,
254492555,Tartu mnt,primary,False,False,273.072,"LINESTRING (25.5541858 58.10299, 25.5533908 58.1031885, 25.552454 58.1033766, 25.5521413 58.1034553, 25.5517767 58.1035926, 25.5511332 58.1039129, 25.5505114 58.1042387, 25.5503428 58.104307)",2,6,50,
254492555,Tartu mnt,primary,False,True,187.523,"LINESTRING (25.5541858 58.10299, 25.5543899 58.102916, 25.5546256 58.1028176, 25.5548014 58.1027297, 25.5550332 58.102581, 25.5551702 58.1024646, 25.5554433 58.102206, 25.5559532 58.1017231, 25.5560392 58.1016452)",2,6,50,
254492555,Tartu mnt,primary,False,False,15.892,"LINESTRING (25.5503428 58.104307, 25.5501023 58.1043724)",2,6,50,
"[183054521, 212502802, 214709063]","['Lossimäe', 'Kalda']",residential,False,True,445.96099999999996,"LINESTRING (25.5503428 58.104307, 25.5504085 58.1043569, 25.5509923 58.1048011, 25.5511425 58.1047706, 25.551534 58.1046911, 25.5530903 58.1043752, 25.5544958 58.1038254, 25.5552713 58.1034601, 25.5543892 58.1031341, 25.5541858 58.10299)",,,,
254492555,Tartu mnt,primary,False,True,273.072,"LINESTRING (25.5503428 58.104307, 25.5505114 58.1042387, 25.5511332 58.1039129, 25.5517767 58.1035926, 25.5521413 58.1034553, 25.552454 58.1033766, 25.5533908 58.1031885, 25.5541858 58.10299)",2,6,50,
"[1078301593, 178950026]",Heina,residential,True,False,150.006,"LINESTRING (25.547381 58.105723, 25.547454 58.1057111, 25.5481359 58.1055707, 25.5483702 58.1054813, 25.5484432 58.1054183, 25.5484545 58.1053517, 25.5484386 58.1052731, 25.5483765 58.1051784, 25.5482565 58.1049955, 25.5481353 58.1048109, 25.5480979 58.1047539)",,,,
1077447211,Viljandi mnt,secondary,False,True,65.22800000000001,"LINESTRING (25.547381 58.105723, 25.5473005 58.1055192, 25.5472866 58.1054699, 25.5471409 58.105262, 25.5471347 58.1052524, 25.5470758 58.1051608)",2,49,50,
183054535,Rahumäe,residential,False,False,112.109,"LINESTRING (25.54732 58.1038381, 25.5473691 58.1039904, 25.5473755 58.1040102, 25.5474635 58.1042321, 25.5475383 58.1044208, 25.5476086 58.104561, 25.5476939 58.1047363, 25.5477481 58.1048196)",,,,
