osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,bridge,junction
"[666535731, 44027548]",True,Rue André Gay,unclassified,50,False,119.119,"LINESTRING (5.3581881 45.9594178, 5.3573363 45.9591058, 5.3568989 45.9589503, 5.3568215 45.9589228)",,,
68910372,True,Rue Alexandre Bérard,tertiary,,False,111.16100000000002,"LINESTRING (5.3581881 45.9594178, 5.3582083 45.959355, 5.3582135 45.9592394, 5.3583275 45.9591112, 5.3583686 45.9590368, 5.3585003 45.9587516, 5.3585555 45.9586161, 5.35857 45.9585703, 5.3585816 45.9584686)",,,
42463241,False,Rue Aristide Briand,tertiary,,False,66.309,"LINESTRING (5.3585816 45.9584686, 5.35842 45.958429, 5.3580109 45.9583631, 5.3578687 45.9583563, 5.3577449 45.958361)",,,
43943930,True,Rue Aimé Vingtrinier,residential,,False,39.984,"LINESTRING (5.3585816 45.9584686, 5.3587072 45.9585004, 5.3590835 45.9585521)",,,
44024718,False,Rue Amédée Bonnet,tertiary,30,False,68.698,"LINESTRING (5.3585816 45.9584686, 5.3586037 45.958301, 5.358673 45.9580563, 5.3587267 45.9578597)",,,
43945615,False,Route de Bettant,tertiary,,False,84.172,"LINESTRING (5.3620004 45.9554191, 5.3619797 45.9553819, 5.3617906 45.9550419, 5.3616559 45.954702)",D 77a,,
44116186,False,Rue de Vareilles,residential,,False,11.503,"LINESTRING (5.3620004 45.9554191, 5.3620444 45.9554478, 5.3621089 45.9554899)",,,
"[44024718, 462663846]",False,Rue Amédée Bonnet,tertiary,30,True,248.63299999999998,"LINESTRING (5.3620004 45.9554191, 5.3618351 45.955573, 5.3616572 45.9557014, 5.36153 45.9557656, 5.3612106 45.9559549, 5.3602923 45.9564025, 5.3598154 45.9566247, 5.3596229 45.9567323, 5.3595287 45.9568257)",,,
42463241,False,Rue Aristide Briand,tertiary,,False,181.282,"LINESTRING (5.3577449 45.958361, 5.3575852 45.9583838, 5.3574891 45.9583912, 5.3573729 45.958396, 5.3572737 45.9583949, 5.3570532 45.958381, 5.3561632 45.9582935, 5.3555653 45.9582495, 5.3554178 45.9582387)",,,
42463241,False,Rue Aristide Briand,tertiary,,True,66.30900000000001,"LINESTRING (5.3577449 45.958361, 5.3578687 45.9583563, 5.3580109 45.9583631, 5.35842 45.958429, 5.3585816 45.9584686)",,,
"[666535728, 666535730]",True,Rue de la République,unclassified,50,False,94.886,"LINESTRING (5.3577449 45.958361, 5.3573189 45.9586056, 5.3568834 45.9588833, 5.3568215 45.9589228)",,,
"[666535728, 44151585]",True,Rue de la République,unclassified,50,False,268.69100000000003,"LINESTRING (5.3562941 45.9592515, 5.3562291 45.9592985, 5.3556217 45.9597378, 5.3554805 45.9598704, 5.3550762 45.9602498, 5.3547097 45.9606326, 5.3544974 45.96086, 5.3548023 45.9610195, 5.3548786 45.9611142)",,,
"[43945608, 666535729]",False,Rue Victor Hugo,unclassified,50,False,88.12100000000001,"LINESTRING (5.3562941 45.9592515, 5.3564579 45.9593124, 5.3567742 45.95943, 5.356977 45.9595087, 5.3571492 45.959571, 5.3573012 45.9596226)",,,
