osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction
835820535,3,D 9,Avenue de la Marne,secondary,False,True,39.972,"LINESTRING (2.2830502 48.9073438, 2.2834293 48.9076029)",,
835820535,3,D 9,Avenue de la Marne,secondary,False,False,66.388,"LINESTRING (2.2830502 48.9073438, 2.2825254 48.9069917, 2.2824677 48.9069529, 2.2824144 48.9069174)",,
19794282,2,D 9,Avenue de la Marne,secondary,False,False,148.93200000000002,"LINESTRING (2.2863756 48.9096, 2.2863358 48.9095909, 2.2863042 48.9095808, 2.2862733 48.9095681, 2.2861918 48.9095115, 2.2858177 48.9092512, 2.2849494 48.9086504)",50,
23185256,2,D 9,Avenue de la Marne,secondary,False,False,129.777,"LINESTRING (2.2863756 48.9096, 2.286472 48.9096219, 2.2865115 48.9096317, 2.2870342 48.9097632, 2.2880018 48.910002, 2.2880375 48.9100111)",50,
35744711,2,D 909,Rue Gallieni,secondary,False,True,67.05799999999999,"LINESTRING (2.2863756 48.9096, 2.2864672 48.9094623, 2.2864802 48.9094414, 2.2866379 48.9091863, 2.2867245 48.9090423)",,
863261882,2,D 909,Avenue d'Argenteuil,secondary,False,False,69.753,"LINESTRING (2.2863756 48.9096, 2.2863249 48.9096873, 2.2862993 48.9097299, 2.2861751 48.9099357, 2.2860678 48.9101098, 2.2860515 48.9101362, 2.2860233 48.910183)",50,
"[1214601517, 19794303]",,,Rue Denis Papin,living_street,True,False,139.943,"LINESTRING (2.2824144 48.9069174, 2.2824897 48.9068716, 2.2835823 48.9062614, 2.283611 48.9062477, 2.2836445 48.9062352, 2.2836972 48.9062208, 2.283739 48.9062138, 2.2838116 48.9062059, 2.2838719 48.9062029, 2.283904 48.9062028, 2.283942 48.9062041)",20,
835820535,3,D 9,Avenue de la Marne,secondary,False,True,66.388,"LINESTRING (2.2824144 48.9069174, 2.2824677 48.9069529, 2.2825254 48.9069917, 2.2830502 48.9073438)",,
25869252,,D 909,Rue Maurice Bokanowski,secondary,True,False,26.862,"LINESTRING (2.2858042 48.907094, 2.2860856 48.9072494)",,
117344087,,D 909,Grande Rue Charles de Gaulle,secondary,False,True,18.913,"LINESTRING (2.2858042 48.907094, 2.2858973 48.9072527)",50,
1214601518,,D 909,Grande Rue Charles de Gaulle,secondary,False,True,32.925,"LINESTRING (2.2858042 48.907094, 2.2857327 48.9069744, 2.2857122 48.90694, 2.2856887 48.9068883, 2.2856861 48.9068755, 2.2856849 48.9068522, 2.2856867 48.9068306, 2.2856902 48.9068119)",50,
19794282,2,D 9,Avenue de la Marne,secondary,False,True,38.609,"LINESTRING (2.2845811 48.9084015, 2.2846901 48.9084769, 2.2847117 48.9084913, 2.2849494 48.9086504)",50,
307467052,,D 9,Avenue de la Marne,secondary,False,False,120.38199999999999,"LINESTRING (2.2845811 48.9084015, 2.2844794 48.9083315, 2.2844599 48.9083177, 2.2841694 48.9081103, 2.2839373 48.9079513, 2.2835689 48.907699, 2.2835457 48.9076826, 2.2834477 48.907616)",,
56042714,,D 909,Rue Gallieni,secondary,True,False,25.031,"LINESTRING (2.2873591 48.9079966, 2.2873533 48.9080524, 2.2873313 48.9081203, 2.2872845 48.9082152)",,
1214601519,,,Rue Maurice Bokanowski,residential,True,False,145.9,"LINESTRING (2.2873591 48.9079966, 2.2874678 48.908004, 2.2875501 48.9080252, 2.2890649 48.9086626)",,
19794417,,,Rue de la Station,living_street,True,False,95.72,"LINESTRING (2.2856902 48.9068119, 2.2855287 48.9068099, 2.2853607 48.9068078, 2.2853001 48.9068039, 2.2852582 48.906798, 2.2851917 48.9067808, 2.2851355 48.9067636, 2.2850766 48.9067382, 2.2846728 48.9065552, 2.2846612 48.9065474, 2.2846415 48.9065331, 2.2846244 48.9065084, 2.2846174 48.9064886, 2.2846194 48.9064683, 2.2846322 48.9064484)",,
