osmid,highway,oneway,reversed,length,geometry,name,bridge,maxspeed,tunnel,lanes,junction
27757190,tertiary,False,False,44.31700000000001,"LINESTRING (1.8597951 50.9546763, 1.8597428 50.9547342, 1.8597046 50.954769, 1.8596719 50.9548039, 1.8596278 50.9548602, 1.8595366 50.9549632, 1.8594854 50.9550235)",,,,,,
30168023,tertiary,False,True,185.995,"LINESTRING (1.8597951 50.9546763, 1.8596854 50.9546511, 1.8595596 50.9546259, 1.8594776 50.95461, 1.8593725 50.95459, 1.8584224 50.9544226, 1.8578959 50.9543337, 1.8576603 50.9542939, 1.8575992 50.9542838, 1.8574057 50.9542519, 1.8573416 50.9542398, 1.8572429 50.9542167)",Rue Mollien,,,,,
583042225,tertiary,False,False,67.128,"LINESTRING (1.8597951 50.9546763, 1.8599215 50.9547092, 1.8600055 50.9547311, 1.8605667 50.9548773, 1.8606813 50.9549061)",Rue Mollien,,,,,
"[4597110, 209213887]",tertiary,True,False,135.608,"LINESTRING (1.8572429 50.9542167, 1.857313 50.9541354, 1.85771 50.9537204, 1.8579404 50.9534583, 1.8579659 50.9534269, 1.8579914 50.9533955, 1.8580397 50.9533303, 1.8581516 50.9531427)",Quai de la Gendarmerie,,,,,
"[27851008, 209195871, 27851007]",tertiary,False,True,105.21100000000001,"LINESTRING (1.8572429 50.9542167, 1.8571776 50.9542028, 1.8571186 50.9541868, 1.8570637 50.9541719, 1.85698 50.9541482, 1.8563358 50.9539462, 1.8562308 50.9539156, 1.8561477 50.9538912, 1.8560779 50.9538717, 1.8560016 50.9538506, 1.8558817 50.9538179)","['Rue Mollien', 'Rue Paul Bert', 'Pont Mollien']",yes,,,,
30168023,tertiary,False,False,185.99499999999998,"LINESTRING (1.8572429 50.9542167, 1.8573416 50.9542398, 1.8574057 50.9542519, 1.8575992 50.9542838, 1.8576603 50.9542939, 1.8578959 50.9543337, 1.8584224 50.9544226, 1.8593725 50.95459, 1.8594776 50.95461, 1.8595596 50.9546259, 1.8596854 50.9546511, 1.8597951 50.9546763)",Rue Mollien,,,,,
851671736,tertiary,True,False,103.26700000000001,"LINESTRING (1.859991 50.9513188, 1.8601205 50.9511924, 1.8607051 50.9506216, 1.8607304 50.9505969, 1.8607556 50.9505643, 1.8607753 50.9505334)",Quai de la Gendarmerie,,,,,
585123051,residential,False,True,10.071,"LINESTRING (1.8502101 50.9555622, 1.8500702 50.9555413)",Rue Edison,,,,,
177278317,residential,False,False,200.57100000000003,"LINESTRING (1.8502101 50.9555622, 1.8503041 50.9555699, 1.8503836 50.9555714, 1.8530521 50.9553619)",Rue de Rome,,,,,
589512753,tertiary,True,False,85.26100000000001,"LINESTRING (1.8502101 50.9555622, 1.8501192 50.9557497, 1.8500423 50.9559154, 1.8499098 50.956194, 1.8498943 50.9562132, 1.8498753 50.9562282, 1.8498459 50.9562444, 1.8497926 50.9562695)",Boulevard Georges Clemenceau,,30,,,
53783345,residential,False,False,103.01,"LINESTRING (1.8530521 50.9553619, 1.8544785 50.9555874)",Rue de Varsovie,,,,,
53783354,residential,False,False,118.266,"LINESTRING (1.8530521 50.9553619, 1.8540649 50.9562129)",Rue de Strasbourg,,,,,
177278317,residential,False,True,200.571,"LINESTRING (1.8530521 50.9553619, 1.8503836 50.9555714, 1.8503041 50.9555699, 1.8502101 50.9555622)",Rue de Rome,,,,,
"[583041800, 583041801, 53783352]",residential,False,True,82.803,"LINESTRING (1.8530521 50.9553619, 1.852536 50.9549354, 1.8524285 50.954839, 1.8523472 50.9547643)",Rue de la Duchesse de Kingston,,,yes,,
53783354,residential,False,True,118.266,"LINESTRING (1.8540649 50.9562129, 1.8530521 50.9553619)",Rue de Strasbourg,,,,,
583041805,tertiary,False,False,75.345,"LINESTRING (1.8540649 50.9562129, 1.8544785 50.9555874)",Rue d'Edimbourg,,,,,
