osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,ref
71521772,Rue du Chemin de Fer,residential,False,False,64.61800000000001,"LINESTRING (4.3688035 46.6771801, 4.3687401 46.6771336, 4.3686845 46.677106, 4.3682234 46.6768692, 4.3681409 46.6768197)",,,,
191437128,Boulevard de Lattre de Tassigny,primary,False,False,97.435,"LINESTRING (4.3688035 46.6771801, 4.3680319 46.6775859, 4.3679975 46.677604, 4.3677899 46.6777132)",,,,
30686742,Rue Jules Guesde,unclassified,True,False,42.752,"LINESTRING (4.3666232 46.6781512, 4.3665664 46.6781024, 4.3665328 46.678062, 4.3664688 46.6779656, 4.3663966 46.677897, 4.3663041 46.6778405)",,,,
"[153858896, 210233056, 134436109]","[""Pont d'Écluse de Montceau"", 'Avenue des Alouettes', 'Boulevard Maréchal de Lattre de Tassigny']",primary,False,False,25.49,"LINESTRING (4.3666232 46.6781512, 4.366528 46.6781748, 4.3664318 46.6782473, 4.3663835 46.6782994)",yes,,,
191437128,Boulevard de Lattre de Tassigny,primary,False,True,18.634,"LINESTRING (4.3666232 46.6781512, 4.366727 46.6781419, 4.3668657 46.6781312)",,,,
283611865,Rue Paul Bert,unclassified,True,False,63.367,"LINESTRING (4.3610606 46.6730266, 4.360625 46.6725414)",,,,
75297921,Quai Général de Gaulle,unclassified,True,False,87.547,"LINESTRING (4.3610606 46.6730266, 4.3603677 46.6729734, 4.3602439 46.6729639, 4.3600839 46.6727693)",,,,
1126475317,Quai Gauthey,unclassified,False,False,65.68,"LINESTRING (4.3598218 46.6724214, 4.3594941 46.6718752)",,,,
"[1039378193, 71521729, 178202783]",Rue des Oiseaux,secondary,True,False,30.693,"LINESTRING (4.3598218 46.6724214, 4.3597216 46.6724503, 4.3595414 46.6725022, 4.3594518 46.6725297)",movable,10,,
"[1126475315, 71521724, 171990078]","['Pont Mobile de Montceau', 'Rue Louise Cécile']",secondary,True,False,32.544000000000004,"LINESTRING (4.3584636 46.6711527, 4.358515 46.6711206, 4.3586948 46.6710179, 4.3588003 46.6709744)",movable,50,,
"[1039378194, 924424331]",Quai Jules Chagot,secondary,False,True,170.927,"LINESTRING (4.3584636 46.6711527, 4.3586133 46.6713035, 4.3586926 46.6714026, 4.3590397 46.6719142, 4.3592695 46.6722575, 4.3594518 46.6725297)",,"['50', '30']",,
191437128,Boulevard de Lattre de Tassigny,primary,False,False,84.675,"LINESTRING (4.3677899 46.6777132, 4.3675926 46.6778087, 4.3675745 46.6778175, 4.3673233 46.677939, 4.3671177 46.678036, 4.3670089 46.6780875, 4.36694 46.6781132, 4.3668657 46.6781312)",,,,
191437128,Boulevard de Lattre de Tassigny,primary,False,True,97.435,"LINESTRING (4.3677899 46.6777132, 4.3679975 46.677604, 4.3680319 46.6775859, 4.3688035 46.6771801)",,,,
29421538,Rue Rouget de Lisle,residential,True,False,186.142,"LINESTRING (4.3616047 46.6712546, 4.3616586 46.6712651, 4.3617474 46.6713038, 4.3618183 46.6713456, 4.3619365 46.6714416, 4.362931 46.6723983, 4.3630695 46.6725725)",,,,
117974196,Rue des Oiseaux,residential,False,True,21.658,"LINESTRING (4.3616047 46.6712546, 4.3615387 46.6713375, 4.3614953 46.6713781, 4.3614435 46.6714132)",,,,
118164020,Rue de la Gare,secondary,True,False,17.7,"LINESTRING (4.3612926 46.6712923, 4.3614435 46.6714132)",,,,
118025346,Rue Victor Hugo,residential,True,False,24.641,"LINESTRING (4.3612926 46.6712923, 4.3613594 46.6712709, 4.3614817 46.67125, 4.3616047 46.6712546)",,,,
118164020,Rue de la Gare,secondary,True,False,63.388,"LINESTRING (4.3607548 46.6708578, 4.3608381 46.6709249, 4.3612216 46.6712342, 4.3612926 46.6712923)",,,,
