osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,bridge,lanes
421141506,True,Rue Hector Berlioz,residential,False,13.780000000000001,"LINESTRING (3.7996629 43.6896452, 3.7997259 43.689622, 3.7997678 43.6895995, 3.7998044 43.6895765)",,,,,
52685770,False,Rue du Parc,residential,False,109.17800000000001,"LINESTRING (3.8031569 43.6891089, 3.8031777 43.689154, 3.8032253 43.689222, 3.8033501 43.689362, 3.8035944 43.6896245, 3.803776 43.6899188, 3.8038235 43.689959)",,,,,
421141511,False,Avenue du Pichagret,residential,False,67.578,"LINESTRING (3.8031569 43.6891089, 3.8032516 43.6890743, 3.8033279 43.6890169, 3.8036922 43.6887565, 3.8037738 43.688701)",,,,,
421141511,False,Avenue du Pichagret,residential,True,42.512,"LINESTRING (3.8031569 43.6891089, 3.8030905 43.6891182, 3.8030076 43.6891228, 3.8028927 43.6891056, 3.8028233 43.6890795, 3.8026887 43.6889905)",,,,,
60783547,False,Rue des Aires,residential,True,14.557,"LINESTRING (3.8039365 43.6924368, 3.803937 43.6924558, 3.8039333 43.6924964, 3.8039249 43.692536, 3.8039081 43.6925647)",,,,,
185592891,False,Rue de la Cannelle,residential,False,4.648,"LINESTRING (3.8039365 43.6924368, 3.8039588 43.6924321, 3.8039903 43.6924218)",,,,,
185592891,False,Rue de la Cannelle,residential,True,50.141999999999996,"LINESTRING (3.8039365 43.6924368, 3.8039061 43.6924355, 3.8038483 43.6924273, 3.8035977 43.692378, 3.8033356 43.6923188)",,,,,
58414229,False,Rue du Thym,residential,False,50.406,"LINESTRING (3.8015219 43.6876688, 3.8019565 43.6875445, 3.8020571 43.6875133, 3.8021066 43.6875079)",,,,,
58414229,False,Rue du Thym,residential,True,108.007,"LINESTRING (3.8015219 43.6876688, 3.8004266 43.688032, 3.8003287 43.688068, 3.8003036 43.6880777)",,,,,
60883321,False,Rue de la Treille,residential,False,15.467,"LINESTRING (3.8041149 43.6877088, 3.8041367 43.687847)",,,,,
60883321,False,Rue de la Treille,residential,True,24.25,"LINESTRING (3.8041149 43.6877088, 3.8040848 43.6874918)",,,,,
58414229,False,Rue du Thym,residential,True,205.31599999999992,"LINESTRING (3.8041149 43.6877088, 3.8040711 43.6877143, 3.803241 43.687796, 3.8031511 43.6877911, 3.8031122 43.6877858, 3.8030713 43.6877727, 3.8030324 43.6877552, 3.8029975 43.6877295, 3.8029734 43.6877031, 3.802953 43.6876741, 3.8027824 43.6873511, 3.8027541 43.6873174, 3.8027349 43.6873027, 3.8027139 43.6872907, 3.8026804 43.687282, 3.8026428 43.6872762, 3.8026059 43.687271, 3.8025704 43.6872713, 3.8025461 43.687278, 3.8025259 43.687287, 3.8022677 43.6874587, 3.8021945 43.6874927, 3.8021066 43.6875079)",,,,,
914835966,False,Rue de la Gaffe,residential,False,95.441,"LINESTRING (3.8058779 43.6870171, 3.807012 43.6872704)",,,,,
"[28475192, 1139048120]",False,Rue de Valmont,tertiary,False,137.355,"LINESTRING (3.8058779 43.6870171, 3.8056677 43.6875829, 3.8055304 43.6880184, 3.8055163 43.6880748, 3.8055135 43.6881116, 3.8055184 43.6882201)",D 102,,,,
60882527,False,Rue de la Gaffe,residential,True,42.688,"LINESTRING (3.8058779 43.6870171, 3.8057263 43.6869873, 3.805573 43.6869606, 3.8053658 43.6869162)",,,,,
29032477,True,Grand Rue,tertiary,False,70.109,"LINESTRING (3.8061809 43.6920186, 3.8060452 43.6922939, 3.8059104 43.6926178)",D 102,50,,,
1254309773,False,Rue de Valmont,tertiary,True,149.684,"LINESTRING (3.8061809 43.6920186, 3.8061853 43.691977, 3.8061739 43.6919513, 3.8061532 43.6919382, 3.8061136 43.6919212, 3.806072 43.6918868, 3.8060533 43.6918655, 3.8060425 43.6918388, 3.8057562 43.6907325)",D 102,,,,
28475295,True,,secondary,False,2.313,"LINESTRING (3.8071494 43.6905471, 3.8071708 43.6905332)",,50,roundabout,,
1254300716,True,,secondary,False,18.539,"LINESTRING (3.8073537 43.6905392, 3.8073783 43.6905595, 3.8073949 43.6905837, 3.8074024 43.6906102, 3.8074016 43.6906316, 3.8073948 43.6906524, 3.8073823 43.6906719, 3.8073647 43.6906891)",,50,roundabout,,
