osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access
4236850,False,2,Rue Châtelain,tertiary,50,False,33.202,"LINESTRING (4.792213 45.7378675, 4.7924685 45.737628)",
5105802,False,,Allée Plein Sud,residential,,False,49.1,"LINESTRING (4.792213 45.7378675, 4.7925875 45.7382234)",
4236850,False,2,Rue Châtelain,tertiary,50,True,61.498999999999995,"LINESTRING (4.792213 45.7378675, 4.7918438 45.7381976, 4.7917155 45.7382977)",
4236850,False,2,Rue Châtelain,tertiary,50,False,9.928,"LINESTRING (4.7933503 45.7368996, 4.7934386 45.736835)",
4236850,False,2,Rue Châtelain,tertiary,50,True,106.035,"LINESTRING (4.7933503 45.7368996, 4.7930199 45.7371737, 4.7924685 45.737628)",
4481813,False,,Rue des Provences,residential,,False,154.89700000000002,"LINESTRING (4.7933503 45.7368996, 4.7921568 45.7358814, 4.7921044 45.7358131)",
4481813,False,,Rue des Provences,residential,,False,38.182,"LINESTRING (4.7921044 45.7358131, 4.7921058 45.7357026, 4.7921211 45.7355789, 4.7921328 45.7354705)",
4481813,False,,Rue des Provences,residential,,True,154.89700000000002,"LINESTRING (4.7921044 45.7358131, 4.7921568 45.7358814, 4.7933503 45.7368996)",
5105806,False,,Chemin de la Chonchance,residential,,False,102.98100000000001,"LINESTRING (4.7921044 45.7358131, 4.7919395 45.7358374, 4.79118 45.7362743, 4.7912675 45.7363794)",
4481813,False,,Rue des Provences,residential,,True,38.182,"LINESTRING (4.7921328 45.7354705, 4.7921211 45.7355789, 4.7921058 45.7357026, 4.7921044 45.7358131)",
139669296,False,2,Chemin du Plan du Loup,tertiary,50,False,37.522,"LINESTRING (4.7921328 45.7354705, 4.7919545 45.7354361, 4.7916739 45.7353651)",
139669296,False,2,Chemin du Plan du Loup,tertiary,50,True,95.622,"LINESTRING (4.7921328 45.7354705, 4.7922693 45.7354761, 4.7924142 45.7354705, 4.7925606 45.7354499, 4.7927293 45.7354134, 4.7933173 45.7352671)",
2079194,True,,Chemin du Plan du Loup,residential,,False,54.683,"LINESTRING (4.7949944 45.7350848, 4.7951657 45.735017, 4.7956728 45.7350007)",destination
139669296,False,2,Chemin du Plan du Loup,tertiary,50,False,135.161,"LINESTRING (4.7949944 45.7350848, 4.7948872 45.7350464, 4.7947665 45.7350361, 4.7943547 45.7350483, 4.7942314 45.7350567, 4.7940919 45.7350783, 4.7933173 45.7352671)",
180699979,False,2,Avenue du 11 Novembre 1918,tertiary,50,False,110.618,"LINESTRING (4.7949944 45.7350848, 4.7950642 45.7351354, 4.7951151 45.7351943, 4.7951701 45.7352701, 4.7955336 45.7358645, 4.7955931 45.7359819)",
180699979,False,2,Avenue du 11 Novembre 1918,tertiary,50,True,110.618,"LINESTRING (4.7955931 45.7359819, 4.7955336 45.7358645, 4.7951701 45.7352701, 4.7951151 45.7351943, 4.7950642 45.7351354, 4.7949944 45.7350848)",
240168596,False,2,Rue Châtelain,tertiary,50,False,74.88600000000001,"LINESTRING (4.7955931 45.7359819, 4.7957877 45.7359337, 4.7962966 45.7358078, 4.7965025 45.7357568)",
"[4236850, 524372574]",False,2,Rue Châtelain,tertiary,50,True,187.939,"LINESTRING (4.7955931 45.7359819, 4.7954072 45.736031, 4.7948203 45.7361858, 4.7946345 45.7362562, 4.7944649 45.7363153, 4.7939039 45.736532, 4.7937686 45.7366036, 4.7934981 45.7367933)",
