osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,ref,bridge,lanes,width
8284675,False,Rue Alphonse Daudet,residential,30,True,23.875,"LINESTRING (1.3521942 43.5863378, 1.3519956 43.5864972)",,,,,
205662119,True,Rue Alphonse Daudet,residential,,False,23.508000000000003,"LINESTRING (1.3521942 43.5863378, 1.3522374 43.5862138, 1.3522527 43.5861797, 1.3522719 43.5861341)",,,,,
321461804,False,,residential,,True,30.192999999999998,"LINESTRING (1.3440113 43.5788146, 1.3438875 43.578912, 1.3438207 43.5789043, 1.3436978 43.5788903)",,,,,
32140547,False,Rue des Primevères,residential,30,True,7.265,"LINESTRING (1.3413283 43.5805453, 1.3412598 43.5805878)",,,,,
6228735,True,Place des Iris,residential,30,False,64.872,"LINESTRING (1.3413283 43.5805453, 1.3413968 43.5806047, 1.341779 43.5809397, 1.3418032 43.5809599, 1.3418435 43.5809937)",,,,,
32140547,False,Rue des Primevères,residential,30,False,81.32900000000001,"LINESTRING (1.3413283 43.5805453, 1.3414769 43.5804492, 1.341834 43.5802282, 1.3420752 43.5800538)",,,,,
32140545,False,Rue des Violettes,residential,30,False,2.792,"LINESTRING (1.3418169 43.5810098, 1.3418435 43.5809937)",,,,,
32140545,False,Rue des Violettes,residential,30,True,4.988,"LINESTRING (1.3418169 43.5810098, 1.3417682 43.5810375)",,,,,
32140543,False,Rue Bertrand Panouse,residential,30,False,67.688,"LINESTRING (1.3418169 43.5810098, 1.3418421 43.5810318, 1.3418742 43.5810566, 1.3423926 43.5814119, 1.3424159 43.5814357)",,,,,
32140543,False,Rue Bertrand Panouse,residential,30,False,16.401,"LINESTRING (1.3424159 43.5814357, 1.342466 43.5814666, 1.3425694 43.5815326)",,,,,
32140543,False,Rue Bertrand Panouse,residential,30,True,67.688,"LINESTRING (1.3424159 43.5814357, 1.3423926 43.5814119, 1.3418742 43.5810566, 1.3418421 43.5810318, 1.3418169 43.5810098)",,,,,
"[629865432, 7741510]",True,Rue des Lilas,residential,30,False,124.86,"LINESTRING (1.3424159 43.5814357, 1.3423704 43.5814619, 1.3413393 43.5820703, 1.3413036 43.5820924, 1.341242 43.5821283, 1.341214 43.5821448)",,,,,
32140543,False,Rue Bertrand Panouse,residential,30,False,61.24,"LINESTRING (1.3425694 43.5815326, 1.3431294 43.5819051)",,,,,
32140543,False,Rue Bertrand Panouse,residential,30,True,16.401,"LINESTRING (1.3425694 43.5815326, 1.342466 43.5814666, 1.3424159 43.5814357)",,,,,
226949795,False,Impasse du Clos des Roses,residential,30,False,64.40899999999999,"LINESTRING (1.3425694 43.5815326, 1.3426235 43.5815017, 1.3427118 43.5814483, 1.3429601 43.5812981, 1.3430804 43.5812254, 1.3430461 43.5811304)",,,,,
32140543,False,Rue Bertrand Panouse,residential,30,True,61.24,"LINESTRING (1.3431294 43.5819051, 1.3425694 43.5815326)",,,,,
226949794,False,Impasse Bertrand Panouse,residential,30,False,66.21300000000001,"LINESTRING (1.3431294 43.5819051, 1.3432011 43.5818626, 1.3432744 43.5818156, 1.3435734 43.5816379, 1.34367 43.5815805, 1.3436503 43.5814949)",,,,,
1075270138,False,Rue Bertrand Panouse,living_street,20,False,164.05200000000002,"LINESTRING (1.3431294 43.5819051, 1.3432232 43.5819682, 1.3440651 43.582536, 1.3443269 43.5827179, 1.3446363 43.5828965)",,,,,
243517818,True,,living_street,20,False,24.352,"LINESTRING (1.3454685 43.5833792, 1.345493 43.5833664, 1.3455218 43.5833595, 1.3455521 43.5833593, 1.3455814 43.5833658, 1.3456064 43.5833786, 1.3456249 43.5833963, 1.3456335 43.5834124, 1.3456365 43.5834296, 1.3456337 43.5834468, 1.3456252 43.583463, 1.3456116 43.5834773)",roundabout,,,,
456459648,False,Rue Bertrand Panouse,living_street,20,True,69.707,"LINESTRING (1.3454685 43.5833792, 1.3454384 43.5833534, 1.3454147 43.5833369, 1.344921 43.58304, 1.3448675 43.583008, 1.3448431 43.5829799, 1.3448276 43.5829621)",,,,,
6229111,False,Rue Gaston Doumergue,living_street,20,False,64.137,"LINESTRING (1.3456116 43.5834773, 1.3456483 43.583497, 1.3457001 43.5835248, 1.3461334 43.5837608, 1.3461655 43.5837787, 1.3462495 43.5838225)",,,,,
1247582940,True,,living_street,20,False,14.536,"LINESTRING (1.3456116 43.5834773, 1.3455885 43.5834912, 1.3455606 43.5834994, 1.3455306 43.5835011, 1.3455013 43.5834962, 1.3454754 43.5834851, 1.3454553 43.5834689)",roundabout,,,,
"[456459651, 456666494, 6229111]",False,Rue Gaston Doumergue,living_street,20,False,67.592,"LINESTRING (1.3462495 43.5838225, 1.3463376 43.5838729, 1.3463952 43.5839058, 1.3464477 43.5839337, 1.3469158 43.584192)",,,,,
6229111,False,Rue Gaston Doumergue,living_street,20,True,64.137,"LINESTRING (1.3462495 43.5838225, 1.3461655 43.5837787, 1.3461334 43.5837608, 1.3457001 43.5835248, 1.3456483 43.583497, 1.3456116 43.5834773)",,,,,
23966440,False,Impasse Max Baylac,living_street,20,False,156.124,"LINESTRING (1.3462495 43.5838225, 1.3462746 43.5837979, 1.3463039 43.5837689, 1.3463228 43.5837502, 1.3464467 43.5836684, 1.3469551 43.5833179, 1.3471891 43.5831761, 1.3472271 43.5831532, 1.3473029 43.5831067, 1.3473699 43.5830638, 1.3474929 43.5829872, 1.3475385 43.5829718, 1.3476828 43.5828832)",,,,,
"[8599840, 7742082, 6229292, 208111600, 168968275, 168968276]",False,"['Rue du Touch', 'Allée des Platanes']",tertiary,30,False,496.8019999999999,"LINESTRING (1.3469158 43.584192, 1.3469535 43.5841609, 1.3469747 43.5841445, 1.3477069 43.5835755, 1.3477805 43.5835127, 1.347812 43.5834831, 1.3479099 43.5833947, 1.3480065 43.5833238, 1.3481368 43.5832491, 1.3482606 43.5831945, 1.349052 43.5828893, 1.3491629 43.5828138, 1.3492073 43.5827674, 1.3492668 43.5827065, 1.3496222 43.5822987, 1.3497057 43.58222, 1.3497651 43.5821612, 1.3498668 43.5820906, 1.3500798 43.5819596, 1.350159 43.5818918, 1.3502108 43.5818388, 1.3502391 43.5818032, 1.3502864 43.5817403, 1.3503206 43.581682, 1.3503702 43.5815975, 1.3504934 43.5813373, 1.3505345 43.581248, 1.3506185 43.5811155, 1.3507548 43.5809744, 1.3508517 43.5808902)",,M 63w,yes,2,
208111598,False,Rue Gaston Doumergue,living_street,20,False,39.297,"LINESTRING (1.3469158 43.584192, 1.3470129 43.5842427, 1.3473162 43.5843939)",,M 63w,,,
