osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge
61929145,улица Пушкина,residential,False,False,100.601,,"LINESTRING (40.6252842 43.1010558, 40.6247336 43.1018663)",
61929145,улица Пушкина,residential,False,True,105.745,,"LINESTRING (40.6252842 43.1010558, 40.6258948 43.1002158)",
203559145,улица 23 Июля,residential,False,False,106.81,2,"LINESTRING (40.6252842 43.1010558, 40.6264789 43.101458)",
203559145,улица 23 Июля,residential,False,True,131.938,2,"LINESTRING (40.6252842 43.1010558, 40.625073 43.1010437, 40.6247955 43.1010425, 40.6236606 43.1010739)",
61929118,Очамчирская улица,residential,False,False,56.651,,"LINESTRING (40.6247054 43.1028619, 40.6253281 43.1030918)",
61929118,Очамчирская улица,residential,False,False,104.777,,"LINESTRING (40.6253281 43.1030918, 40.6264863 43.1035075)",
61929118,Очамчирская улица,residential,False,True,56.651,,"LINESTRING (40.6253281 43.1030918, 40.6247054 43.1028619)",
61929139,улица Анатолия Возба,residential,False,False,99.998,2,"LINESTRING (40.6253281 43.1030918, 40.6248013 43.1039047)",
61929139,улица Анатолия Возба,residential,False,True,104.072,2,"LINESTRING (40.6253281 43.1030918, 40.6259147 43.1022596)",
61929118,Очамчирская улица,residential,False,False,108.626,,"LINESTRING (40.6264863 43.1035075, 40.6276793 43.1039498)",
61929118,Очамчирская улица,residential,False,True,104.777,,"LINESTRING (40.6264863 43.1035075, 40.6253281 43.1030918)",
203658150,Ейская улица,residential,False,False,102.54,2,"LINESTRING (40.6264863 43.1035075, 40.6270593 43.1026857)",
203658150,Ейская улица,residential,False,True,107.208,2,"LINESTRING (40.6264863 43.1035075, 40.6258813 43.1043645)",
61929118,Очамчирская улица,residential,False,False,106.281,,"LINESTRING (40.6276793 43.1039498, 40.6288391 43.1043931)",
61929118,Очамчирская улица,residential,False,True,108.626,,"LINESTRING (40.6276793 43.1039498, 40.6264863 43.1035075)",
61929141,улица Харазия,residential,False,False,105.957,,"LINESTRING (40.6276793 43.1039498, 40.6271402 43.1048176)",
61929141,улица Харазия,residential,False,True,100.132,,"LINESTRING (40.6276793 43.1039498, 40.6282466 43.1031502)",
61929118,Очамчирская улица,residential,False,False,110.471,,"LINESTRING (40.6288391 43.1043931, 40.6300583 43.1048343)",
61929118,Очамчирская улица,residential,False,True,106.281,,"LINESTRING (40.6288391 43.1043931, 40.6276793 43.1039498)",
61929122,Адыгская улица,residential,False,False,101.828,2,"LINESTRING (40.6288391 43.1043931, 40.6294368 43.103588)",
61929122,Адыгская улица,residential,False,True,108.028,2,"LINESTRING (40.6288391 43.1043931, 40.628262 43.1052685)",
61929118,Очамчирская улица,residential,False,True,110.471,,"LINESTRING (40.6300583 43.1048343, 40.6288391 43.1043931)",
203723664,улица Дзидзария,tertiary,False,True,102.15,2,"LINESTRING (40.6300583 43.1048343, 40.6306501 43.1040236)",
203723664,улица Дзидзария,tertiary,False,False,106.892,2,"LINESTRING (40.6300583 43.1048343, 40.6298553 43.1051041, 40.629423 43.1056763)",
61929120,улица Гулиа,residential,False,False,101.498,,"LINESTRING (40.6248013 43.1039047, 40.6258813 43.1043645)",
61929139,улица Анатолия Возба,residential,False,False,99.159,2,"LINESTRING (40.6248013 43.1039047, 40.6242413 43.1046972)",
61929139,улица Анатолия Возба,residential,False,True,99.998,2,"LINESTRING (40.6248013 43.1039047, 40.6253281 43.1030918)",
61929120,улица Гулиа,residential,False,True,115.501,,"LINESTRING (40.6248013 43.1039047, 40.6243291 43.1037582, 40.6242194 43.10376, 40.6236937 43.1035916, 40.6235963 43.1035918, 40.6234683 43.1035994)",
61929120,улица Гулиа,residential,False,False,113.947,,"LINESTRING (40.6258813 43.1043645, 40.6271402 43.1048176)",
61929120,улица Гулиа,residential,False,True,101.498,,"LINESTRING (40.6258813 43.1043645, 40.6248013 43.1039047)",
203658150,Ейская улица,residential,False,False,107.208,2,"LINESTRING (40.6258813 43.1043645, 40.6264863 43.1035075)",
203658150,Ейская улица,residential,False,True,96.586,2,"LINESTRING (40.6258813 43.1043645, 40.6253344 43.1051359)",
