osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access
24561181,2,Münsterstraße,tertiary,50,False,False,38.216,"LINESTRING (8.0420567 52.1552317, 8.0421612 52.1552169, 8.0423077 52.1552338, 8.0425571 52.1553403)",,
"[25556188, 184447575]",2,Charlottenburger Ring,primary,50,False,False,419.111,"LINESTRING (8.0420567 52.1552317, 8.0420583 52.1552948, 8.0420243 52.1553896, 8.0419252 52.155579, 8.041703 52.1559073, 8.0414994 52.1561464, 8.0412883 52.1563338, 8.0410336 52.1565134, 8.0406564 52.1566899, 8.0400148 52.1569671, 8.03977 52.157072, 8.0394708 52.1572155, 8.0392989 52.1573392, 8.0391914 52.1574523, 8.0391298 52.1575786, 8.0391019 52.1577242, 8.0390995 52.1578132, 8.0390971 52.157901, 8.039132 52.1581434, 8.039148 52.1582547, 8.0391518 52.1582811)",B 51,
30411863,2,Münsterstraße,primary,50,False,True,79.269,"LINESTRING (8.0420567 52.1552317, 8.0420105 52.1551619, 8.0418769 52.1550869, 8.0416846 52.1550025, 8.0413 52.1548281, 8.0411967 52.1547671)",B 51,
35712780,,Am Gografenhof,residential,20,False,False,16.214,"LINESTRING (8.0464317 52.1587654, 8.0465035 52.1586264)",,
35712780,,Am Gografenhof,residential,20,False,True,16.214,"LINESTRING (8.0465035 52.1586264, 8.0464317 52.1587654)",,
29496277,,Arkadenstraße,residential,20,False,False,134.182,"LINESTRING (8.0465035 52.1586264, 8.0463202 52.1585773, 8.0457501 52.1584939, 8.0457378 52.1584923, 8.0455194 52.1584904, 8.0452596 52.1584882, 8.0448288 52.1584844, 8.0445696 52.1584809)",,
35712780,,Am Gografenhof,residential,20,False,False,36.037,"LINESTRING (8.0465035 52.1586264, 8.0466244 52.1584726, 8.0467187 52.1583306)",,
"[38233914, 26578317]",,Hagenberg,residential,"['20', '30']",False,False,101.963,"LINESTRING (8.0471142 52.1578275, 8.0472124 52.1578284, 8.0473019 52.1578395, 8.0474147 52.1578645, 8.0474415 52.1578711, 8.0476833 52.157931, 8.0481436 52.1580311, 8.0485416 52.1580839)",,yes
50095236,,Hagenberg,residential,20,False,True,42.952999999999996,"LINESTRING (8.0471142 52.1578275, 8.0470113 52.1578494, 8.0469355 52.1578792, 8.0468053 52.1579667, 8.0467618 52.1580374, 8.0467513 52.1581073)",,
188100209,,Kleestraße,residential,20,False,True,33.474999999999994,"LINESTRING (8.0471142 52.1578275, 8.0470797 52.1576766, 8.0470912 52.1575281)",,
25556186,2,Bielefelder Straße,tertiary,50,False,False,42.707,"LINESTRING (8.0425571 52.1553403, 8.0429103 52.1550232)",,
24561181,2,Münsterstraße,tertiary,50,False,True,38.216,"LINESTRING (8.0425571 52.1553403, 8.0423077 52.1552338, 8.0421612 52.1552169, 8.0420567 52.1552317)",,
72036353,,Münsterstraße,residential,30,False,False,117.38100000000001,"LINESTRING (8.0425571 52.1553403, 8.0432254 52.1556696, 8.043387 52.155755, 8.0435686 52.1558459, 8.0437733 52.1559571, 8.0439132 52.1559734)",,
30411863,2,Münsterstraße,primary,50,False,False,79.26899999999999,"LINESTRING (8.0411967 52.1547671, 8.0413 52.1548281, 8.0416846 52.1550025, 8.0418769 52.1550869, 8.0420105 52.1551619, 8.0420567 52.1552317)",B 51,
30411863,2,Münsterstraße,primary,50,False,True,164.809,"LINESTRING (8.0411967 52.1547671, 8.0407962 52.1545591, 8.0405272 52.1543647, 8.0404871 52.1543289, 8.0403417 52.1541987, 8.0397557 52.1535935)",B 51,
31989838,,Rottstraße,residential,,False,False,140.137,"LINESTRING (8.0411967 52.1547671, 8.0410943 52.1548076, 8.0409483 52.1548333, 8.0407071 52.1548419, 8.0400231 52.154771, 8.0391887 52.1546887)",,
26552938,,Große Straße,residential,30,False,False,71.045,"LINESTRING (8.0439132 52.1559734, 8.0439745 52.1559552, 8.0442623 52.1558885, 8.0444679 52.1558572, 8.0447297 52.1558522, 8.0449215 52.155856)",,
27567875,,Rathausstraße,residential,,False,True,85.37799999999999,"LINESTRING (8.0439132 52.1559734, 8.0440524 52.1562015, 8.0442747 52.1565614, 8.0443183 52.156614, 8.0443871 52.1566824)",,
72036353,,Münsterstraße,residential,30,False,True,117.381,"LINESTRING (8.0439132 52.1559734, 8.0437733 52.1559571, 8.0435686 52.1558459, 8.043387 52.155755, 8.0432254 52.1556696, 8.0425571 52.1553403)",,
28674096,,Drostenhof,residential,20,False,False,62.401,"LINESTRING (8.0450934 52.1559092, 8.0452281 52.1558354, 8.0453526 52.1558249, 8.0455951 52.1557967, 8.0459489 52.1557508)",,
28674096,,Drostenhof,residential,20,False,False,79.441,"LINESTRING (8.0459489 52.1557508, 8.0464202 52.1555962, 8.0469311 52.15537)",,
