osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction
"[1015613093, 1015613094, 114588688, 114588691, 4919223]",3,L 1078,Kirchheimer Straße,secondary,50,False,False,138.345,yes,"LINESTRING (10.3539515 48.8593155, 10.3541826 48.8595932, 10.3543783 48.8597293, 10.3545157 48.8598248, 10.35459 48.8598764, 10.3550579 48.8601577, 10.3552078 48.8602272)",
"[390676409, 314189962]",3,B 29,Neue Nördlinger Straße,primary,50,False,True,111.994,,"LINESTRING (10.3539515 48.8593155, 10.3536189 48.8594037, 10.3528977 48.8595788, 10.3525121 48.8596571)",
"[314189961, 220230573, 824759503]","['5', '3']",B 29,Neue Nördlinger Straße,primary,50,False,True,98.62,,"LINESTRING (10.3539515 48.8593155, 10.3540948 48.8592722, 10.3541813 48.8592461, 10.3543592 48.8591923, 10.3547162 48.8590844, 10.3547613 48.859069, 10.3550959 48.8589549, 10.3551659 48.858931)",
87575458,2,B 29,Aalener Straße,primary,50,False,False,80.524,,"LINESTRING (10.3457329 48.8620542, 10.3458469 48.8620115, 10.3459917 48.8619572, 10.346419 48.8617947, 10.346609 48.8617121, 10.3466771 48.8616825)",
858837784,,,Alte Kirchheimer Straße,residential,,False,True,57.62,,"LINESTRING (10.3567901 48.862127, 10.3561669 48.8618101)",
133739278,,,Wettegasse,residential,30,False,False,128.381,,"LINESTRING (10.3559247 48.8586722, 10.3555357 48.8582821, 10.3553885 48.8581345, 10.3551739 48.8578927, 10.35514 48.857852, 10.3550049 48.8576897)",
314189960,3,B 29,Neue Nördlinger Straße,primary,50,False,False,62.527,,"LINESTRING (10.3559247 48.8586722, 10.3555652 48.8587948, 10.3555393 48.8588037, 10.3551659 48.858931)",
47515269,,,Burgstallweg,residential,20,False,False,11.949,,"LINESTRING (10.3540432 48.8569116, 10.3539068 48.8569707)",
314189952,3,L 1070,Bahnhofstraße,secondary,50,False,False,39.1,,"LINESTRING (10.3540432 48.8569116, 10.3542206 48.8572433)",
36296253,,L 1070,Bahnhofstraße,secondary,50,False,True,99.012,,"LINESTRING (10.3540432 48.8569116, 10.3539725 48.8566694, 10.3539446 48.856574, 10.3539365 48.8565461, 10.3539118 48.8563495, 10.3539201 48.8561699, 10.3539246 48.8560739, 10.3539318 48.8560289)",
314189952,3,L 1070,Bahnhofstraße,secondary,50,False,True,39.1,,"LINESTRING (10.3542206 48.8572433, 10.3540432 48.8569116)",
"[314189953, 314189954, 314189955, 314189956, 314189957, 226413020]",3,L 1070,Am Stadtgraben,secondary,50,False,False,201.02000000000004,,"LINESTRING (10.3542206 48.8572433, 10.3542803 48.8573599, 10.354405 48.85752, 10.3545491 48.8577049, 10.3546119 48.857796, 10.3546341 48.8578673, 10.354722 48.8581493, 10.3547791 48.8582846, 10.3548109 48.8583612, 10.3548798 48.8584738, 10.3551038 48.8587994, 10.3551659 48.858931)",
408250880,,,Hauptstraße,residential,20,False,True,85.513,,"LINESTRING (10.3542206 48.8572433, 10.3540511 48.8573095, 10.3537307 48.8574346, 10.3531996 48.8576171)",
1194506340,,,Nördlinger Straße,residential,50,False,False,31.116999999999997,,"LINESTRING (10.3542206 48.8572433, 10.3543739 48.8571358, 10.3545116 48.8570392)",
"[314189961, 220230573, 824759503]","['5', '3']",B 29,Neue Nördlinger Straße,primary,50,False,False,98.62,,"LINESTRING (10.3551659 48.858931, 10.3550959 48.8589549, 10.3547613 48.859069, 10.3547162 48.8590844, 10.3543592 48.8591923, 10.3541813 48.8592461, 10.3540948 48.8592722, 10.3539515 48.8593155)",
"[314189953, 314189954, 314189955, 314189956, 314189957, 226413020]",3,L 1070,Am Stadtgraben,secondary,50,False,True,201.01999999999998,,"LINESTRING (10.3551659 48.858931, 10.3551038 48.8587994, 10.3548798 48.8584738, 10.3548109 48.8583612, 10.3547791 48.8582846, 10.354722 48.8581493, 10.3546341 48.8578673, 10.3546119 48.857796, 10.3545491 48.8577049, 10.354405 48.85752, 10.3542803 48.8573599, 10.3542206 48.8572433)",
314189960,3,B 29,Neue Nördlinger Straße,primary,50,False,True,62.527,,"LINESTRING (10.3551659 48.858931, 10.3555393 48.8588037, 10.3555652 48.8587948, 10.3559247 48.8586722)",
858837785,,L 1078,Kirchheimer Straße,secondary,50,False,True,66.60900000000001,,"LINESTRING (10.3584966 48.8604799, 10.3582227 48.8604881, 10.3581557 48.8604832, 10.3575868 48.86048)",
"[96647010, 37053397]",,,Mörikestraße,residential,,True,False,104.88,,"LINESTRING (10.3472647 48.8561159, 10.348037 48.8560837, 10.3481896 48.8560709, 10.3482006 48.85607, 10.3483346 48.8560588, 10.3484772 48.855997, 10.3485015 48.8559548, 10.3485097 48.8558758)",
37053398,,,Alte Neresheimer Straße,residential,,False,True,64.137,,"LINESTRING (10.3472647 48.8561159, 10.3472927 48.8563456, 10.3473005 48.8564093, 10.3473021 48.8564964, 10.3472962 48.8566917)",
96647009,,,Alte Neresheimer Straße,residential,,False,False,172.28099999999998,,"LINESTRING (10.3472647 48.8561159, 10.3472023 48.8558789, 10.3471415 48.8557588, 10.3470546 48.8556283, 10.3467977 48.8552639, 10.3464738 48.8549074, 10.3462813 48.8547242)",
81396095,,,Mörikestraße,residential,,False,True,86.36,,"LINESTRING (10.3485097 48.8558758, 10.3485017 48.8558386, 10.3484444 48.8555721, 10.3484089 48.8553117, 10.3484325 48.8551038)",
37053382,,,Sandbergweg,residential,30,False,False,87.451,,"LINESTRING (10.3472962 48.8566917, 10.347247 48.856741, 10.3470932 48.8568216, 10.3465985 48.8570563, 10.3463558 48.8571714)",
37053398,,,Alte Neresheimer Straße,residential,,False,False,64.137,,"LINESTRING (10.3472962 48.8566917, 10.3473021 48.8564964, 10.3473005 48.8564093, 10.3472927 48.8563456, 10.3472647 48.8561159)",
37053399,,,Alte Neresheimer Straße,residential,,False,False,184.65599999999998,,"LINESTRING (10.3472962 48.8566917, 10.3472988 48.8567895, 10.3473068 48.8569915, 10.3473293 48.8570929, 10.3473511 48.8572054, 10.3473815 48.8572961, 10.3474513 48.8573889, 10.3476292 48.8575106, 10.3477544 48.8575724, 10.3478459 48.8576176, 10.3480589 48.8577056, 10.3482726 48.8577966, 10.3485182 48.8579011, 10.348592 48.8579595)",
37053382,,,Sandbergweg,residential,30,False,False,30.169999999999998,,"LINESTRING (10.3463558 48.8571714, 10.3462902 48.8571203, 10.3460204 48.8570189)",
37053382,,,Sandbergweg,residential,30,False,True,87.451,,"LINESTRING (10.3463558 48.8571714, 10.3465985 48.8570563, 10.3470932 48.8568216, 10.347247 48.856741, 10.3472962 48.8566917)",
47515269,,,Burgstallweg,residential,20,False,True,191.46899999999997,,"LINESTRING (10.3514988 48.8566625, 10.3517834 48.8566114, 10.3521093 48.856573, 10.3521438 48.8565689, 10.3522874 48.856552, 10.352509 48.8565387, 10.3529405 48.856567, 10.3532267 48.856643, 10.3533563 48.8566912, 10.3534355 48.8567207, 10.3534603 48.8567339, 10.3539068 48.8569707)",
47515270,,,Bahnhofweg,living_street,,False,True,46.774,,"LINESTRING (10.3514988 48.8566625, 10.3515895 48.8569094, 10.3516618 48.8570691)",
408839686,,,Am Stadtgraben,residential,20,False,False,76.102,,"LINESTRING (10.3514988 48.8566625, 10.3514241 48.8566675, 10.3513244 48.8566546, 10.35112 48.856597, 10.351033 48.8565907, 10.3509043 48.8566162, 10.3506986 48.8566958, 10.3505319 48.8567415)",
47515270,,,Bahnhofweg,living_street,,False,False,26.885,,"LINESTRING (10.3516996 48.8573096, 10.3516618 48.8570691)",
47515270,,,Bahnhofweg,living_street,,False,True,8.111,,"LINESTRING (10.3516996 48.8573096, 10.3516717 48.8573802)",
