osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
270599248,2,K 1,Schwingestraße,tertiary,50,False,False,120.023,"LINESTRING (9.3928242 53.5268302, 9.3928998 53.5267771, 9.3929965 53.5267128, 9.3931194 53.5266396, 9.3932708 53.5265618, 9.3933165 53.5265405, 9.3933431 53.5265281, 9.3935084 53.5264508, 9.393677 53.5263756, 9.3937841 53.5263267, 9.3938809 53.5262825, 9.3942006 53.5261304)"
218602049,2,K 50,Bahnhofstraße,tertiary,50,False,False,109.213,"LINESTRING (9.3989453 53.5206977, 9.3990974 53.5197197)"
37040494,2,K 50,Bahnhofstraße,tertiary,50,False,True,142.17499999999998,"LINESTRING (9.3989453 53.5206977, 9.3987833 53.5217543, 9.3987525 53.5218908, 9.3987323 53.5219698)"
37062183,,,Am Walde,residential,,False,False,81.915,"LINESTRING (9.3989453 53.5206977, 9.3990054 53.5207009, 9.4001767 53.5207796)"
175886172,,,Ohfeldstraße,residential,,False,True,69.524,"LINESTRING (9.3989453 53.5206977, 9.3988472 53.5206679, 9.3987426 53.5206378, 9.3980079 53.5204143)"
37025469,,,Alte Dorfstraße,residential,,False,False,45.805,"LINESTRING (9.4001176 53.5267588, 9.4001927 53.5267788, 9.4007426 53.5268266, 9.4007971 53.5268225)"
37040492,,,Alte Dorfstraße,residential,30,False,False,125.17500000000001,"LINESTRING (9.4001176 53.5267588, 9.400054 53.5267178, 9.4000218 53.5266887, 9.3995783 53.526209, 9.3992016 53.525806, 9.3991802 53.5257825)"
37040494,2,K 50,Bahnhofstraße,tertiary,50,False,False,142.175,"LINESTRING (9.3987323 53.5219698, 9.3987525 53.5218908, 9.3987833 53.5217543, 9.3989453 53.5206977)"
1004939282,,K 50,Bahnhofstraße,tertiary,,True,False,46.668000000000006,"LINESTRING (9.3987323 53.5219698, 9.3987169 53.5221452, 9.3986877 53.5222638, 9.3986613 53.522387)"
37025470,,,Am Friedhof,residential,30,False,False,98.727,"LINESTRING (9.4021833 53.5233094, 9.4021697 53.5233427, 9.4021451 53.5234195, 9.402085 53.5235814, 9.4019793 53.5238564, 9.4019719 53.5238758, 9.4019303 53.5239635, 9.4018415 53.5241735)"
37026014,,,Mühlenweg,residential,30,False,False,115.895,"LINESTRING (9.4021833 53.5233094, 9.4023023 53.5232438, 9.4035963 53.5226936)"
309707683,,K 1,Hauptstraße,tertiary,50,False,False,99.866,"LINESTRING (9.4021833 53.5233094, 9.4016489 53.5231852, 9.4015914 53.5231721, 9.4015359 53.5231593, 9.4012084 53.523079, 9.4007806 53.522976)"
37025469,,,Alte Dorfstraße,residential,,False,True,45.805,"LINESTRING (9.4007971 53.5268225, 9.4007426 53.5268266, 9.4001927 53.5267788, 9.4001176 53.5267588)"
309707678,,,Am Friedhof,residential,30,False,True,87.16399999999999,"LINESTRING (9.4007971 53.5268225, 9.4008199 53.5267903, 9.4009904 53.5263679, 9.4011144 53.5260621)"
218602049,2,K 50,Bahnhofstraße,tertiary,50,False,True,126.983,"LINESTRING (9.3992556 53.5185816, 9.3990974 53.5197197)"
175886142,,,Alte Sägerei,residential,,False,False,50.688,"LINESTRING (9.3992556 53.5185816, 9.3993247 53.518586, 9.4000177 53.5186315)"
266107931,,,Rapsfeld,residential,,False,True,118.036,"LINESTRING (9.3992556 53.5185816, 9.399163 53.5185749, 9.3981917 53.5185287, 9.3980288 53.5185494, 9.3975076 53.5186559)"
37026039,,,Waldblick,residential,30,False,True,258.54,"LINESTRING (9.4007806 53.522976, 9.4009502 53.5226715, 9.4010023 53.5225557, 9.4010241 53.5224475, 9.4010336 53.5224006, 9.4010245 53.5222483, 9.4009749 53.5221438, 9.4008745 53.5219917, 9.400465 53.5215394, 9.4003302 53.5213681, 9.400237 53.5212101, 9.400195 53.5210903, 9.4001756 53.5209319, 9.4001702 53.5208908, 9.4001767 53.5207796)"
309707683,,K 1,Hauptstraße,tertiary,50,False,False,154.677,"LINESTRING (9.4007806 53.522976, 9.400473 53.522898, 9.3999256 53.5227469, 9.3989462 53.5224732, 9.3986613 53.522387)"
309707683,,K 1,Hauptstraße,tertiary,50,False,True,99.866,"LINESTRING (9.4007806 53.522976, 9.4012084 53.523079, 9.4015359 53.5231593, 9.4015914 53.5231721, 9.4016489 53.5231852, 9.4021833 53.5233094)"
37040496,,,Am Brink,residential,30,False,False,4.779,"LINESTRING (9.3953533 53.521419, 9.3953415 53.5213766)"
37026041,,,Kurze Straße,residential,,False,True,360.285,"LINESTRING (9.3953533 53.521419, 9.3953731 53.5214562, 9.3953537 53.5215407, 9.395337 53.5217452, 9.395322 53.5219777, 9.3953052 53.5221478, 9.3952823 53.5223785, 9.3952241 53.5229129, 9.3950826 53.5242123, 9.3950634 53.5243891, 9.3950741 53.5244234, 9.3951076 53.5244561, 9.3951586 53.5244943, 9.3953165 53.5245984)"
1191929270,2,K 70,Dinghorner Straße,tertiary,50,True,False,40.145,"LINESTRING (9.3953533 53.521419, 9.3952414 53.5213907, 9.3951379 53.5213595, 9.3950094 53.5213209, 9.3948189 53.521249)"
37026044,,,Ahornweg,residential,30,False,True,86.824,"LINESTRING (9.3975763 53.5259542, 9.3977743 53.5267261)"
37040493,,,Schulweg,residential,30,False,False,107.725,"LINESTRING (9.3975763 53.5259542, 9.3991802 53.5257825)"
37040493,,,Schulweg,residential,30,False,True,197.827,"LINESTRING (9.3975763 53.5259542, 9.3947921 53.5262626, 9.3947091 53.5262703, 9.3946326 53.5262735)"
"[37026032, 37026014]",,,"[""An'n Möhlendiek"", 'Mühlenweg']",residential,30,False,False,428.34799999999996,"LINESTRING (9.4035963 53.5226936, 9.4054629 53.5219017, 9.4051361 53.5216159, 9.4042827 53.5215114, 9.4032357 53.5214975, 9.4032283 53.5215862, 9.403504 53.5218985, 9.4035153 53.5219394, 9.4034962 53.521968, 9.4034518 53.521997, 9.4032179 53.5221288, 9.4029388 53.5223266)"
662620164,,,Am Walde,residential,30,False,True,59.773,"LINESTRING (9.4035963 53.5226936, 9.4035268 53.5226371, 9.4029388 53.5223266)"
37026014,,,Mühlenweg,residential,30,False,True,115.895,"LINESTRING (9.4035963 53.5226936, 9.4023023 53.5232438, 9.4021833 53.5233094)"
37026039,,,Waldblick,residential,30,False,False,258.54,"LINESTRING (9.4001767 53.5207796, 9.4001702 53.5208908, 9.4001756 53.5209319, 9.400195 53.5210903, 9.400237 53.5212101, 9.4003302 53.5213681, 9.400465 53.5215394, 9.4008745 53.5219917, 9.4009749 53.5221438, 9.4010245 53.5222483, 9.4010336 53.5224006, 9.4010241 53.5224475, 9.4010023 53.5225557, 9.4009502 53.5226715, 9.4007806 53.522976)"
37062183,,,Am Walde,residential,,False,False,62.44800000000001,"LINESTRING (9.4001767 53.5207796, 9.4004382 53.5207847, 9.401118 53.5208238)"
37062183,,,Am Walde,residential,,False,True,81.915,"LINESTRING (9.4001767 53.5207796, 9.3990054 53.5207009, 9.3989453 53.5206977)"
175886172,,,Ohfeldstraße,residential,,False,True,224.723,"LINESTRING (9.3980079 53.5204143, 9.3949101 53.5195823)"
37040495,,,Im Ohfeld,residential,,False,False,246.90299999999996,"LINESTRING (9.3980079 53.5204143, 9.39794 53.5210318, 9.3978881 53.5210712, 9.3978091 53.521093, 9.3977234 53.521088, 9.397596 53.521058, 9.3956737 53.5205271, 9.3955901 53.5205197, 9.3954947 53.5205192)"
37040499,,,Maisfeld,residential,,False,False,102.066,"LINESTRING (9.3980079 53.5204143, 9.3980971 53.5196828, 9.3978185 53.5196016)"
175886172,,,Ohfeldstraße,residential,,False,False,69.524,"LINESTRING (9.3980079 53.5204143, 9.3987426 53.5206378, 9.3988472 53.5206679, 9.3989453 53.5206977)"
37040499,,,Maisfeld,residential,,False,False,30.389,"LINESTRING (9.3978185 53.5196016, 9.3974071 53.5194797)"
37040498,,,Rübenfeld,residential,,False,False,56.081,"LINESTRING (9.3978185 53.5196016, 9.3978555 53.5191707, 9.3979293 53.5191125)"
37040499,,,Maisfeld,residential,,False,True,102.066,"LINESTRING (9.3978185 53.5196016, 9.3980971 53.5196828, 9.3980079 53.5204143)"
266107931,,,Rapsfeld,residential,,False,False,118.036,"LINESTRING (9.3975076 53.5186559, 9.3980288 53.5185494, 9.3981917 53.5185287, 9.399163 53.5185749, 9.3992556 53.5185816)"
37040495,,,Im Ohfeld,residential,,False,False,131.986,"LINESTRING (9.3954947 53.5205192, 9.3948762 53.5203522, 9.3948157 53.520299, 9.3948819 53.5198051, 9.3949101 53.5195823)"
37040495,,,Im Ohfeld,residential,,False,True,246.90300000000002,"LINESTRING (9.3954947 53.5205192, 9.3955901 53.5205197, 9.3956737 53.5205271, 9.397596 53.521058, 9.3977234 53.521088, 9.3978091 53.521093, 9.3978881 53.5210712, 9.39794 53.5210318, 9.3980079 53.5204143)"
37040496,,,Am Brink,residential,30,False,True,44.491,"LINESTRING (9.3954947 53.5205192, 9.3954355 53.5208261, 9.3954229 53.520917)"
37040495,,,Im Ohfeld,residential,,False,False,39.24,"LINESTRING (9.3949101 53.5195823, 9.3949646 53.5192309)"
175886172,,,Ohfeldstraße,residential,,False,False,224.723,"LINESTRING (9.3949101 53.5195823, 9.3980079 53.5204143)"
37040495,,,Im Ohfeld,residential,,False,True,131.98600000000002,"LINESTRING (9.3949101 53.5195823, 9.3948819 53.5198051, 9.3948157 53.520299, 9.3948762 53.5203522, 9.3954947 53.5205192)"
37040487,,,Im Dorfe,residential,30,False,True,76.945,"LINESTRING (9.4018415 53.5241735, 9.4007084 53.5240151)"
37025470,,,Am Friedhof,residential,30,False,True,98.72700000000002,"LINESTRING (9.4018415 53.5241735, 9.4019303 53.5239635, 9.4019719 53.5238758, 9.4019793 53.5238564, 9.402085 53.5235814, 9.4021451 53.5234195, 9.4021697 53.5233427, 9.4021833 53.5233094)"
309707680,,,Am Friedhof,residential,30,False,False,109.41600000000001,"LINESTRING (9.4018415 53.5241735, 9.4018067 53.5242549, 9.4017066 53.5245249, 9.4015005 53.5250585, 9.4014703 53.5251324)"
309707679,,,Am Friedhof,residential,30,False,True,106.021,"LINESTRING (9.4011144 53.5260621, 9.4014703 53.5251324)"
37040487,,,Im Dorfe,residential,30,False,False,285.32599999999996,"LINESTRING (9.4011144 53.5260621, 9.4001957 53.5259412, 9.4001126 53.52589, 9.4000446 53.5258229, 9.4000191 53.5257714, 9.4002492 53.5252013, 9.4004602 53.5246568, 9.4007084 53.5240151)"
309707678,,,Am Friedhof,residential,30,False,False,87.164,"LINESTRING (9.4011144 53.5260621, 9.4009904 53.5263679, 9.4008199 53.5267903, 9.4007971 53.5268225)"
37040487,,,Im Dorfe,residential,30,False,False,76.945,"LINESTRING (9.4007084 53.5240151, 9.4018415 53.5241735)"
309707685,,,Im Dorfe,residential,,False,False,20.576,"LINESTRING (9.4007084 53.5240151, 9.4007762 53.5238345)"
37040487,,,Im Dorfe,residential,30,False,True,285.326,"LINESTRING (9.4007084 53.5240151, 9.4004602 53.5246568, 9.4002492 53.5252013, 9.4000191 53.5257714, 9.4000446 53.5258229, 9.4001126 53.52589, 9.4001957 53.5259412, 9.4011144 53.5260621)"
37040493,,,Schulweg,residential,30,False,True,107.725,"LINESTRING (9.3991802 53.5257825, 9.3975763 53.5259542)"
37040492,,,Alte Dorfstraße,residential,30,False,False,229.28999999999996,"LINESTRING (9.3991802 53.5257825, 9.3991139 53.5257015, 9.399052 53.5256009, 9.3990165 53.5255209, 9.3989949 53.5254367, 9.3989192 53.5251261, 9.398906 53.5250799, 9.3988107 53.5247453, 9.3988028 53.5247176, 9.3987216 53.5244199, 9.3986965 53.5243436, 9.3986622 53.5242654, 9.3985566 53.5240617, 9.3985327 53.5240125, 9.3985028 53.5239708, 9.3984595 53.52393, 9.3983451 53.5238448, 9.3983349 53.5238356, 9.398303 53.5238115)"
37040492,,,Alte Dorfstraße,residential,30,False,True,125.175,"LINESTRING (9.3991802 53.5257825, 9.3992016 53.525806, 9.3995783 53.526209, 9.4000218 53.5266887, 9.400054 53.5267178, 9.4001176 53.5267588)"
37040499,,,Maisfeld,residential,,False,True,30.389,"LINESTRING (9.3974071 53.5194797, 9.3978185 53.5196016)"
"[37026032, 37026014]",,,"[""An'n Möhlendiek"", 'Mühlenweg']",residential,30,False,True,428.348,"LINESTRING (9.4029388 53.5223266, 9.4032179 53.5221288, 9.4034518 53.521997, 9.4034962 53.521968, 9.4035153 53.5219394, 9.403504 53.5218985, 9.4032283 53.5215862, 9.4032357 53.5214975, 9.4042827 53.5215114, 9.4051361 53.5216159, 9.4054629 53.5219017, 9.4035963 53.5226936)"
662620164,,,Am Walde,residential,30,False,False,59.773,"LINESTRING (9.4029388 53.5223266, 9.4035268 53.5226371, 9.4035963 53.5226936)"
662620164,,,Am Walde,residential,30,False,True,40.231,"LINESTRING (9.4029388 53.5223266, 9.4028379 53.5222748, 9.4027514 53.5222188, 9.4025643 53.5220448)"
51681534,,,Am Mühlenbeck,residential,,False,False,87.348,"LINESTRING (9.4014703 53.5251324, 9.402702 53.5254169)"
309707679,,,Am Friedhof,residential,30,False,False,106.021,"LINESTRING (9.4014703 53.5251324, 9.4011144 53.5260621)"
309707680,,,Am Friedhof,residential,30,False,True,109.416,"LINESTRING (9.4014703 53.5251324, 9.4015005 53.5250585, 9.4017066 53.5245249, 9.4018067 53.5242549, 9.4018415 53.5241735)"
560489775,,,Am Mühlenbeck,residential,,False,False,23.778,"LINESTRING (9.4050331 53.5259478, 9.4053888 53.5259797)"
175861839,,,Am Beck,residential,,False,False,141.498,"LINESTRING (9.4050331 53.5259478, 9.4050155 53.5261296, 9.4049508 53.5262964, 9.404868 53.5265096, 9.4044315 53.5271602)"
"[560489778, 560489775]",,,Am Mühlenbeck,residential,,False,True,89.625,"LINESTRING (9.4050331 53.5259478, 9.4042134 53.52576, 9.4037679 53.525658)"
37026044,,,Ahornweg,residential,30,False,False,86.824,"LINESTRING (9.3977743 53.5267261, 9.3975763 53.5259542)"
156047966,,,Kastanienweg,residential,30,False,False,71.587,"LINESTRING (9.3977743 53.5267261, 9.3967112 53.526849)"
156047966,,,Kastanienweg,residential,30,False,True,71.587,"LINESTRING (9.3967112 53.526849, 9.3977743 53.5267261)"
270599248,2,K 1,Schwingestraße,tertiary,50,False,False,44.274,"LINESTRING (9.3950233 53.5249542, 9.3950463 53.5249138, 9.3950806 53.5248535, 9.3950997 53.524828, 9.3951535 53.5247601, 9.395204 53.5247003, 9.395252 53.5246528, 9.3953165 53.5245984)"
270599248,2,K 1,Schwingestraße,tertiary,50,False,True,147.68099999999998,"LINESTRING (9.3950233 53.5249542, 9.3949528 53.5252765, 9.3948972 53.5254936, 9.3948749 53.5255669, 9.39485 53.5256204, 9.3948064 53.5256975, 9.3947649 53.5257605, 9.3947199 53.5258082, 9.394646 53.5258766, 9.3945499 53.5259515, 9.3944516 53.5260089, 9.3943155 53.5260755, 9.3942006 53.5261304)"
896212424,,,Sonnenkamp,residential,30,False,False,230.538,"LINESTRING (9.3950233 53.5249542, 9.3947486 53.5249263, 9.392741 53.5246927, 9.3925821 53.5246617, 9.3920037 53.5241797)"
37040493,,,Schulweg,residential,30,False,False,197.827,"LINESTRING (9.3946326 53.5262735, 9.3947091 53.5262703, 9.3947921 53.5262626, 9.3975763 53.5259542)"
37040493,,,Schulweg,residential,30,False,True,34.097,"LINESTRING (9.3946326 53.5262735, 9.3945461 53.5262714, 9.3944626 53.5262592, 9.3943814 53.5262354, 9.3942464 53.526157, 9.3942006 53.5261304)"
1191929269,2,K 70,Dinghorner Straße,tertiary,50,False,True,59.61,"LINESTRING (9.3940161 53.5210049, 9.3948189 53.521249)"
51681534,,,Am Mühlenbeck,residential,,False,True,87.348,"LINESTRING (9.402702 53.5254169, 9.4014703 53.5251324)"
"[560489778, 51681534]",,,Am Mühlenbeck,residential,,False,False,75.38600000000001,"LINESTRING (9.402702 53.5254169, 9.4027438 53.5254263, 9.4028914 53.5254597, 9.4036347 53.5256275, 9.4037679 53.525658)"
175861861,,,Im Vorfeld,residential,,False,False,133.921,"LINESTRING (9.402702 53.5254169, 9.4022216 53.5263101, 9.4026426 53.5264021)"
175861853,,,Heckenweg,residential,,False,False,145.494,"LINESTRING (9.4037679 53.525658, 9.4034459 53.5261922, 9.4032384 53.5265363, 9.4038262 53.5266737)"
"[560489778, 560489775]",,,Am Mühlenbeck,residential,,False,False,89.625,"LINESTRING (9.4037679 53.525658, 9.4042134 53.52576, 9.4050331 53.5259478)"
"[560489778, 51681534]",,,Am Mühlenbeck,residential,,False,True,75.386,"LINESTRING (9.4037679 53.525658, 9.4036347 53.5256275, 9.4028914 53.5254597, 9.4027438 53.5254263, 9.402702 53.5254169)"
560489775,,,Am Mühlenbeck,residential,,False,True,23.778,"LINESTRING (9.4053888 53.5259797, 9.4050331 53.5259478)"
175861861,,,Im Vorfeld,residential,,False,True,133.921,"LINESTRING (9.4026426 53.5264021, 9.4022216 53.5263101, 9.402702 53.5254169)"
175861853,,,Heckenweg,residential,,False,True,145.494,"LINESTRING (9.4038262 53.5266737, 9.4032384 53.5265363, 9.4034459 53.5261922, 9.4037679 53.525658)"
175861839,,,Am Beck,residential,,False,True,141.498,"LINESTRING (9.4044315 53.5271602, 9.404868 53.5265096, 9.4049508 53.5262964, 9.4050155 53.5261296, 9.4050331 53.5259478)"
175886142,,,Alte Sägerei,residential,,False,False,40.482,"LINESTRING (9.4000177 53.5186315, 9.4006262 53.5186721)"
266107936,,,Alte Sägerei,residential,30,False,False,52.036,"LINESTRING (9.4000177 53.5186315, 9.399918 53.5190957)"
175886142,,,Alte Sägerei,residential,,False,True,50.688,"LINESTRING (9.4000177 53.5186315, 9.3993247 53.518586, 9.3992556 53.5185816)"
266107936,,,Alte Sägerei,residential,30,False,True,52.036,"LINESTRING (9.399918 53.5190957, 9.4000177 53.5186315)"
37040495,,,Im Ohfeld,residential,,False,True,39.24,"LINESTRING (9.3949646 53.5192309, 9.3949101 53.5195823)"
218602049,2,K 50,Bahnhofstraße,tertiary,50,False,False,126.983,"LINESTRING (9.3990974 53.5197197, 9.3992556 53.5185816)"
218602049,2,K 50,Bahnhofstraße,tertiary,50,False,True,109.213,"LINESTRING (9.3990974 53.5197197, 9.3989453 53.5206977)"
415556326,,,Rudolf-Kinau-Weg,residential,,False,False,153.493,"LINESTRING (9.3990974 53.5197197, 9.3991539 53.5197229, 9.4008729 53.5198196, 9.401051 53.5198549, 9.4010863 53.5199717, 9.4011091 53.5200337, 9.4011185 53.5200594)"
175886144,,,Am Brink,residential,,False,True,56.047,"LINESTRING (9.394668 53.5206876, 9.3954229 53.520917)"
37026034,,,Am Walde,unclassified,,False,True,56.275,"LINESTRING (9.401118 53.5208238, 9.4019634 53.520883)"
37062183,,,Am Walde,residential,,False,True,62.44800000000001,"LINESTRING (9.401118 53.5208238, 9.4004382 53.5207847, 9.4001767 53.5207796)"
662620164,,,Am Walde,residential,30,False,False,167.003,"LINESTRING (9.401118 53.5208238, 9.4012087 53.5208548, 9.4012986 53.5209023, 9.4014094 53.5209924, 9.4025643 53.5220448)"
175886144,,,Am Brink,residential,,False,False,56.047,"LINESTRING (9.3954229 53.520917, 9.394668 53.5206876)"
37040496,,,Am Brink,residential,30,False,False,44.491,"LINESTRING (9.3954229 53.520917, 9.3954355 53.5208261, 9.3954947 53.5205192)"
37040496,,,Am Brink,residential,30,False,True,52.047999999999995,"LINESTRING (9.3954229 53.520917, 9.3954024 53.5212381, 9.3953765 53.5212766, 9.3953457 53.5213083, 9.3953381 53.5213411, 9.3953415 53.5213766)"
309707689,,K 1,Schwingestraße,tertiary,50,True,False,60.507999999999996,"LINESTRING (9.3986076 53.5228908, 9.3985416 53.522486, 9.3985345 53.5223486)"
"[1004939280, 270599248]",2,K 1,Schwingestraße,tertiary,50,False,True,105.399,"LINESTRING (9.3986076 53.5228908, 9.3986054 53.5229111, 9.3986046 53.5229181, 9.3985988 53.5229718, 9.3985889 53.5230412, 9.3985636 53.5232071, 9.3985614 53.5232216, 9.3985549 53.5232566, 9.3985217 53.5234271, 9.3985109 53.5234751, 9.398491 53.5235369, 9.3984623 53.5236005, 9.3984306 53.523653, 9.398392 53.5237102, 9.3983568 53.5237572, 9.398303 53.5238115)"
175886142,,,Alte Sägerei,residential,,False,True,40.482,"LINESTRING (9.4006262 53.5186721, 9.4000177 53.5186315)"
309707685,,,Im Dorfe,residential,,False,True,20.576,"LINESTRING (9.4007762 53.5238345, 9.4007084 53.5240151)"
415556326,,,Rudolf-Kinau-Weg,residential,,False,True,153.493,"LINESTRING (9.4011185 53.5200594, 9.4011091 53.5200337, 9.4010863 53.5199717, 9.401051 53.5198549, 9.4008729 53.5198196, 9.3991539 53.5197229, 9.3990974 53.5197197)"
37040498,,,Rübenfeld,residential,,False,True,56.081,"LINESTRING (9.3979293 53.5191125, 9.3978555 53.5191707, 9.3978185 53.5196016)"
896212424,,,Sonnenkamp,residential,30,False,True,230.53799999999998,"LINESTRING (9.3920037 53.5241797, 9.3925821 53.5246617, 9.392741 53.5246927, 9.3947486 53.5249263, 9.3950233 53.5249542)"
896212425,,,Hainbuchenweg,residential,30,False,False,94.876,"LINESTRING (9.3920037 53.5241797, 9.3924683 53.5239922, 9.3925173 53.5239706, 9.3925654 53.5239381, 9.3925944 53.5238851, 9.3926923 53.5235054)"
896212425,,,Hainbuchenweg,residential,30,False,True,94.876,"LINESTRING (9.3926923 53.5235054, 9.3925944 53.5238851, 9.3925654 53.5239381, 9.3925173 53.5239706, 9.3924683 53.5239922, 9.3920037 53.5241797)"
896288117,,,Am Walde,residential,30,False,False,51.313,"LINESTRING (9.4025643 53.5220448, 9.4019096 53.5222927)"
662620164,,,Am Walde,residential,30,False,False,40.231,"LINESTRING (9.4025643 53.5220448, 9.4027514 53.5222188, 9.4028379 53.5222748, 9.4029388 53.5223266)"
662620164,,,Am Walde,residential,30,False,True,167.003,"LINESTRING (9.4025643 53.5220448, 9.4014094 53.5209924, 9.4012986 53.5209023, 9.4012087 53.5208548, 9.401118 53.5208238)"
896288117,,,Am Walde,residential,30,False,True,51.313,"LINESTRING (9.4019096 53.5222927, 9.4025643 53.5220448)"
1004939283,,K 1,Hauptstraße,tertiary,50,False,False,9.407,"LINESTRING (9.3986613 53.522387, 9.3985345 53.5223486)"
309707683,,K 1,Hauptstraße,tertiary,50,False,True,154.677,"LINESTRING (9.3986613 53.522387, 9.3989462 53.5224732, 9.3999256 53.5227469, 9.400473 53.522898, 9.4007806 53.522976)"
1004939279,,K 1,Schwingestraße,tertiary,,True,False,56.16,"LINESTRING (9.3986613 53.522387, 9.3986528 53.5225176, 9.3986529 53.5225599, 9.3986462 53.5226415, 9.3986341 53.5227145, 9.3986245 53.5227724, 9.3986205 53.5228005, 9.3986076 53.5228908)"
