osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,lanes
9702224,L 364,Nikolaus-Becker-Straße,secondary,False,False,238.976,"LINESTRING (6.1246906 50.9629115, 6.1248482 50.963134, 6.1249547 50.9632497, 6.125031 50.9633196, 6.1251335 50.9633929, 6.1251535 50.9634072, 6.1253821 50.9635494, 6.1255781 50.963665, 6.1256625 50.963716, 6.1256825 50.9637281, 6.1257789 50.9637863, 6.1258413 50.963824, 6.1259701 50.9639019, 6.126004 50.9639224, 6.1261898 50.9640347, 6.1262445 50.9640677, 6.1263987 50.9641608, 6.126442 50.964187, 6.1267209 50.9643486, 6.1268404 50.9644154, 6.12698 50.9644736)",,,,
24043670,,Konrad-Adenauer-Straße,tertiary,False,False,56.872,"LINESTRING (6.1246906 50.9629115, 6.1243269 50.962908, 6.1238789 50.9628972)",20,,,
322459397,L 364,Theodor-Heuss-Ring,secondary,True,False,136.333,"LINESTRING (6.1246906 50.9629115, 6.1246086 50.9628413, 6.1245954 50.9627647, 6.1245664 50.9626138, 6.1244971 50.9624824, 6.1244671 50.9624312, 6.1243757 50.9623016, 6.1242324 50.9621857, 6.1239399 50.9620056, 6.1238858 50.9619681, 6.1238303 50.9618535)",,,,
9702224,L 364,Nikolaus-Becker-Straße,secondary,False,True,238.976,"LINESTRING (6.12698 50.9644736, 6.1268404 50.9644154, 6.1267209 50.9643486, 6.126442 50.964187, 6.1263987 50.9641608, 6.1262445 50.9640677, 6.1261898 50.9640347, 6.126004 50.9639224, 6.1259701 50.9639019, 6.1258413 50.963824, 6.1257789 50.9637863, 6.1256825 50.9637281, 6.1256625 50.963716, 6.1255781 50.963665, 6.1253821 50.9635494, 6.1251535 50.9634072, 6.1251335 50.9633929, 6.125031 50.9633196, 6.1249547 50.9632497, 6.1248482 50.963134, 6.1246906 50.9629115)",,,,
23137466,,Herzog-Wilhelm-Straße,tertiary,False,False,55.376,"LINESTRING (6.1141256 50.959915, 6.1142812 50.960017, 6.1144336 50.9601168, 6.114566 50.9602035, 6.1146736 50.960274)",50,,,
"[38294472, 38294473, 24043674, 93515132]",L 364,Theodor-Heuss-Ring,secondary,False,False,621.2159999999999,"LINESTRING (6.1141256 50.959915, 6.114287 50.9598366, 6.1144066 50.9597784, 6.1146539 50.9596582, 6.1147 50.9596358, 6.1148348 50.9595703, 6.1149275 50.9595253, 6.1154738 50.9592816, 6.1157387 50.9591699, 6.1158774 50.9591239, 6.1161006 50.9590602, 6.1163248 50.9589998, 6.1166471 50.95894, 6.1168504 50.9589032, 6.1170496 50.9588848, 6.117278 50.9588638, 6.1175564 50.9588546, 6.1178234 50.9588572, 6.1181394 50.9588737, 6.1184398 50.958917, 6.1188131 50.9589873, 6.1190832 50.959063, 6.119452 50.9591769, 6.1196319 50.959246, 6.1198132 50.9593328, 6.1200941 50.9594899, 6.1201485 50.9595137, 6.1201707 50.9595277, 6.1202586 50.9595881, 6.1203198 50.9596302, 6.1203947 50.9596817, 6.1205606 50.9597871, 6.1207518 50.9599105, 6.1212388 50.9602181, 6.1216145 50.9604569)",50,yes,,
38294473,L 364,Theodor-Heuss-Ring,secondary,False,True,114.12100000000001,"LINESTRING (6.1227815 50.9611715, 6.1226787 50.9611253, 6.1225808 50.961071, 6.1224983 50.9610185, 6.122347 50.9609224, 6.1220573 50.9607383, 6.1220367 50.9607252, 6.1216145 50.9604569)",,,,
505375024,L 364,Theodor-Heuss-Ring,secondary,True,False,17.686,"LINESTRING (6.1227815 50.9611715, 6.1228215 50.9611521, 6.1228686 50.9611406, 6.1229189 50.9611379, 6.1229684 50.9611444, 6.1230129 50.9611594)",,,roundabout,
24043677,L 364,Theodor-Heuss-Ring,secondary,True,False,23.951,"LINESTRING (6.1230274 50.9613309, 6.1229926 50.9613466, 6.1229529 50.9613565, 6.1229105 50.9613601, 6.122868 50.9613572, 6.1228279 50.9613479, 6.1227925 50.9613328, 6.1227638 50.9613128, 6.1227437 50.9612891)",,,roundabout,
24043678,L 364,Theodor-Heuss-Ring,secondary,False,False,80.986,"LINESTRING (6.1230274 50.9613309, 6.1231049 50.9613983, 6.123643 50.9617448, 6.1238303 50.9618535)",,,,2
24693495,,Haihover Straße,residential,False,True,143.518,"LINESTRING (6.1227437 50.9612891, 6.1226369 50.96134, 6.122519 50.9613887, 6.12246 50.9614225, 6.12241 50.9614511, 6.1220378 50.9616641, 6.1219974 50.9617059, 6.1219737 50.9617272, 6.1218075 50.9618768, 6.1216242 50.9620638, 6.1215782 50.9621048, 6.1214928 50.9621837, 6.1214185 50.9622547)",,,,
505375022,L 364,Theodor-Heuss-Ring,secondary,True,False,14.06,"LINESTRING (6.1227437 50.9612891, 6.1227335 50.9612646, 6.1227324 50.9612394, 6.1227404 50.9612146, 6.122757 50.9611916, 6.1227815 50.9611715)",,,roundabout,
12995784,,Martin-Heyden-Straße,residential,False,True,25.803,"LINESTRING (6.1240991 50.9673626, 6.1239628 50.967268, 6.1239431 50.9672539, 6.1238539 50.9671894)",50,,,
"[40025440, 42886040]",,Gillesweg,residential,True,False,199.35399999999998,"LINESTRING (6.1240991 50.9673626, 6.1241854 50.9673014, 6.1245522 50.9671536, 6.1248362 50.9670456, 6.1248766 50.9670302, 6.1250061 50.966981, 6.1250627 50.9669599, 6.1252294 50.9668976, 6.1252424 50.9668927, 6.1252568 50.9668873, 6.1254034 50.9668325, 6.1254812 50.9668035, 6.1256143 50.9667538, 6.1256805 50.966729, 6.1254316 50.9664144, 6.1252624 50.96618)",,,,
12995784,,Martin-Heyden-Straße,residential,False,False,60.20700000000001,"LINESTRING (6.1235298 50.9666879, 6.1235556 50.9667278, 6.1235877 50.9667774, 6.1236156 50.9668206, 6.1236215 50.9668299, 6.123724 50.9669883, 6.1237298 50.9669974, 6.1237904 50.9670911, 6.1238312 50.9671542, 6.1238539 50.9671894)",50,,,
12995784,,Martin-Heyden-Straße,residential,False,True,152.72099999999998,"LINESTRING (6.1235298 50.9666879, 6.1233764 50.9665053, 6.1233189 50.9664369, 6.1232146 50.9663009, 6.1230939 50.9661691, 6.1227154 50.9657918, 6.1226892 50.9657672, 6.1224388 50.9655323, 6.1224145 50.9655095)",50,,,
102157341,,An Merckenheim,residential,False,False,133.84,"LINESTRING (6.1235298 50.9666879, 6.123764 50.9666199, 6.1239389 50.9665675, 6.1241846 50.9664938, 6.1242199 50.9664832, 6.1243287 50.9664515, 6.1244174 50.9664257, 6.1244374 50.9664198, 6.1246231 50.9663651, 6.1248352 50.9663025, 6.1250325 50.9662443, 6.1251568 50.9662077, 6.1252624 50.96618)",,,,
