osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,width
"[151936312, 172586208]",B 13,Ingolstädter Straße,primary,50,False,False,222.80100000000004,3,"LINESTRING (11.1814728 48.8900414, 11.1812179 48.8904232, 11.1806064 48.8915756, 11.180473 48.8918044, 11.1803919 48.8919132)",,
151936312,B 13,Ingolstädter Straße,primary,50,False,True,162.321,,"LINESTRING (11.1814728 48.8900414, 11.1817182 48.8897971, 11.1824544 48.8891658, 11.1828177 48.8888813)",,
172586207,B 13,Ingolstädter Straße,primary,50,False,True,16.228,,"LINESTRING (11.180295 48.8920445, 11.1803919 48.8919132)",,
"[127908449, 172586210, 172586209]",B 13,Weißenburger Straße,primary,50,False,"[False, True]",125.618,3,"LINESTRING (11.180295 48.8920445, 11.1802482 48.8921058, 11.1801694 48.8922114, 11.1800092 48.8924031, 11.1797866 48.892654, 11.179756 48.8926885, 11.1795127 48.8929931, 11.1794794 48.8930384)",,
"[909697753, 909697748, 172586205, 172586206]",,Bahnhofplatz,unclassified,,False,"[False, True]",52.634,3,"LINESTRING (11.180295 48.8920445, 11.1804283 48.8920965, 11.1804515 48.8921062, 11.1805548 48.8921739, 11.1808189 48.892364)",,
"[26203520, 127908451, 24329084]",,"['Spitalbrücke', 'Bahnhofplatz']",unclassified,30,False,False,132.79399999999998,,"LINESTRING (11.1808189 48.892364, 11.1809008 48.8923942, 11.1809712 48.8924071, 11.1810705 48.8924107, 11.1811516 48.8923976, 11.1816118 48.8922887, 11.1821402 48.8921746, 11.1825065 48.8920978, 11.182533 48.8920811)",yes,
"[909697753, 909697748, 172586205, 172586206]",,Bahnhofplatz,unclassified,,False,"[False, True]",52.634,3,"LINESTRING (11.1808189 48.892364, 11.1805548 48.8921739, 11.1804515 48.8921062, 11.1804283 48.8920965, 11.180295 48.8920445)",,
"[496363561, 190814738, 142788796]",,"['Am Anger', 'Bahnhofplatz']",residential,30,False,True,122.03899999999999,,"LINESTRING (11.1808189 48.892364, 11.180599 48.8925547, 11.1805022 48.8926399, 11.1804676 48.8927136, 11.1804785 48.8927874, 11.1805317 48.8928701, 11.1805965 48.8929525, 11.1805912 48.8930181, 11.1805769 48.893063, 11.1805051 48.8932209, 11.1804306 48.8933267, 11.1804105 48.893348)",,
"[26203520, 127908451, 24329084]",,"['Spitalbrücke', 'Bahnhofplatz']",unclassified,30,False,True,132.794,,"LINESTRING (11.182533 48.8920811, 11.1825065 48.8920978, 11.1821402 48.8921746, 11.1816118 48.8922887, 11.1811516 48.8923976, 11.1810705 48.8924107, 11.1809712 48.8924071, 11.1809008 48.8923942, 11.1808189 48.892364)",yes,
"[39271417, 153018594, 153018597]",,Residenzplatz,residential,30,False,False,293.245,,"LINESTRING (11.182533 48.8920811, 11.1825369 48.8920608, 11.1825293 48.8920285, 11.1822979 48.8915647, 11.1822816 48.8915271, 11.1822499 48.8914538, 11.1822414 48.8914207, 11.1822504 48.8913767, 11.1822885 48.8913273, 11.1823904 48.8912397, 11.1828154 48.8909616, 11.1830438 48.8908496, 11.1833473 48.8907408, 11.1837561 48.8906291, 11.1840136 48.8905909, 11.1844285 48.8906159, 11.1845223 48.8906304, 11.1847001 48.890678)",,
"[24217370, 137550174]",,Residenzplatz,residential,30,False,False,106.49799999999999,,"LINESTRING (11.1847001 48.890678, 11.1846739 48.8905442, 11.1846106 48.8902768, 11.1843558 48.8897506)",,
"[39271417, 153018594, 153018597]",,Residenzplatz,residential,30,False,True,293.245,,"LINESTRING (11.1847001 48.890678, 11.1845223 48.8906304, 11.1844285 48.8906159, 11.1840136 48.8905909, 11.1837561 48.8906291, 11.1833473 48.8907408, 11.1830438 48.8908496, 11.1828154 48.8909616, 11.1823904 48.8912397, 11.1822885 48.8913273, 11.1822504 48.8913767, 11.1822414 48.8914207, 11.1822499 48.8914538, 11.1822816 48.8915271, 11.1822979 48.8915647, 11.1825293 48.8920285, 11.1825369 48.8920608, 11.182533 48.8920811)",,
